  Iter  Epoch       Start         End   Type   From     To            Opp          Count           Rate             Ne         ESS  Clump
    10      0           0         133   Coal      0     -1      310897.05       41.43151  0.00013326441      3751.9396       1.017     -1
    10      0           0         133   Coal      1     -1      297935.94         49.189  0.00016509925      3028.4814      1.0188     -1
    10      1         133       166.2   Coal      0     -1      168548.27      61.819397  0.00036677563      1363.2313      1.0381     -1
    10      1         133       166.2   Coal      1     -1       158949.1      6.7800592  4.2655537e-05      11721.808      1.0414     -1
    10      2       166.2      207.68   Coal      0     -1      260436.34      10.199196  3.9161953e-05      12767.494      1.0553     -1
    10      2       166.2      207.68   Coal      1     -1      248765.41      6.0078578  2.4150696e-05      20703.337      1.0609     -1
    10      3      207.68      259.53   Coal      0     -1      402407.56      8.0750387  2.0066817e-05      24916.757      1.1072     -1
    10      3      207.68      259.53   Coal      1     -1      382021.96      32.675946  8.5534209e-05      5845.6144       1.118     -1
    10      4      259.53      324.31   Coal      0     -1      627331.77      4.8663316  7.7571898e-06      64456.332      1.1638     -1
    10      4      259.53      324.31   Coal      1     -1      593805.36      21.776994  3.6673624e-05      13633.777      1.1794     -1
    10      5      324.31      405.26   Coal      0     -1      989817.04      9.1587387  9.2529612e-06      54036.755      1.1872     -1
    10      5      324.31      405.26   Coal      1     -1      922748.39      20.832851  2.2576957e-05      22146.474      1.2074     -1
    10      6      405.26      506.42   Coal      0     -1      1547009.5      39.846695  2.5757239e-05      19412.018      1.3079     -1
    10      6      405.26      506.42   Coal      1     -1      1440246.3      15.772335  1.0951138e-05      45657.356      1.3342     -1
    10      7      506.42      632.82   Coal      0     -1      2393050.4       148.4552  6.2035969e-05      8059.8402      1.3868     -1
    10      7      506.42      632.82   Coal      1     -1      2252316.7      17.431399  7.7393196e-06      64605.162      1.4209     -1
    10      8      632.82      790.79   Coal      0     -1      3650169.1      516.84946  0.00014159603      3531.1724      1.5342     -1
    10      8      632.82      790.79   Coal      1     -1      3484869.2      35.604424  1.0216861e-05      48938.711       1.585     -1
    10      9      790.79      988.18   Coal      0     -1      5520452.1      794.03328  0.00014383483      3476.2095       1.601     -1
    10      9      790.79      988.18   Coal      1     -1      5315167.5      46.663205   8.779254e-06      56952.447       1.666     -1
    10     10      988.18      1234.8   Coal      0     -1      8220787.6      1439.3202    0.000175083      2855.7884      1.8548     -1
    10     10      988.18      1234.8   Coal      1     -1      7966035.4      95.108746  1.1939282e-05      41878.564      1.9758     -1
    10     11      1234.8      1543.1   Coal      0     -1       12219285      2048.4887  0.00016764391      2982.5121      2.0736     -1
    10     11      1234.8      1543.1   Coal      1     -1       11855748      165.49413  1.3958979e-05       35819.24      2.2492     -1
    10     12      1543.1      1928.2   Coal      0     -1       18436812        2956.24  0.00016034443      3118.2873      2.2447     -1
    10     12      1543.1      1928.2   Coal      1     -1       17076425      227.08872  1.3298376e-05      37598.577        2.46     -1
    10     13      1928.2      2409.6   Coal      0     -1       28097298        3917.21   0.0001394159      3586.3916      2.6142     -1
    10     13      1928.2      2409.6   Coal      1     -1       23882960      399.93427  1.6745591e-05      29858.606       2.919     -1
    10     14      2409.6        3011   Coal      0     -1       42514479        5184.02   0.0001219354      4100.5319      2.7927     -1
    10     14      2409.6        3011   Coal      1     -1       33233256      674.74229  2.0303225e-05      24626.629      3.1539     -1
    10     15        3011      3762.6   Coal      0     -1       62855352        6363.67  0.00010124309      4938.6087       3.307     -1
