time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	-0	2.07644e-06	24480	0.00358081	22243.1
1	2.07644e-06	4.20682e-06	22673.4	0.00700234	5475.6
2	4.20682e-06	6.39402e-06	27782.5	0.0625297	5872.79
3	6.39402e-06	8.64115e-06	30102.8	0.127984	2631.3
4	8.64115e-06	1.09516e-05	29527	1.37969	2937.25
5	1.09516e-05	1.3329e-05	24724.5	16.9312	2876.77
6	1.3329e-05	1.57774e-05	20304.4	107.743	2530.1
7	1.57774e-05	1.83011e-05	17069.7	310.367	2153.33
8	1.83011e-05	2.0905e-05	14856.7	550.02	1889.22
9	2.0905e-05	2.35943e-05	13643.7	775.344	1860.44
10	2.35943e-05	2.63747e-05	10617.9	1010.26	1667.05
11	2.63747e-05	2.92527e-05	10617.9	1010.26	1667.05
12	2.92527e-05	3.22354e-05	7937.84	1129.11	1533.98
13	3.22354e-05	3.53307e-05	7937.84	1129.11	1533.98
14	3.53307e-05	3.85474e-05	5935.88	1133.68	1352.07
15	3.85474e-05	4.18954e-05	5935.88	1133.68	1352.07
16	4.18954e-05	4.53859e-05	4507.6	1131.84	1207.59
17	4.53859e-05	4.90316e-05	4507.6	1131.84	1207.59
18	4.90316e-05	5.2847e-05	3598.18	1115.2	1239.43
19	5.2847e-05	5.68485e-05	3598.18	1115.2	1239.43
20	5.68485e-05	6.10553e-05	2833.53	1031.6	1246.86
21	6.10553e-05	6.54896e-05	2833.53	1031.6	1246.86
22	6.54896e-05	7.01775e-05	2196.8	944.02	1186.8
23	7.01775e-05	7.51496e-05	2196.8	944.02	1186.8
24	7.51496e-05	8.04427e-05	1682.16	879.854	1064.59
25	8.04427e-05	8.61012e-05	1682.16	879.854	1064.59
26	8.61012e-05	9.21792e-05	1352.89	839.244	978.096
27	9.21792e-05	9.87439e-05	1352.89	839.244	978.096
28	9.87439e-05	0.00010588	1128.67	794.198	936.929
29	0.00010588	0.000113697	1128.67	794.198	936.929
30	0.000113697	0.000122338	994.992	769.766	953.34
31	0.000122338	0.000131998	994.992	769.766	953.34
32	0.000131998	0.00014295	988.281	822.14	1057.09
33	0.00014295	0.000155592	988.281	822.14	1057.09
34	0.000155592	0.000170545	1276.47	1119.36	1398.06
35	0.000170545	0.000188847	1276.47	1119.36	1398.06
36	0.000188847	0.000212441	2327.05	2336.22	2503.48
37	0.000212441	0.000245695	2327.05	2336.22	2503.48
38	0.000245695	0.000302544	145.444	123.424	151.123
39	0.000302544	inf	145.444	123.424	151.123
