time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	2.88062e-06	26059.8	790.492	2557.35
1	2.88062e-06	6.39886e-06	26059.8	790.492	2557.35
2	6.39886e-06	1.06959e-05	26059.8	7.81964	2557.35
3	1.06959e-05	1.5944e-05	23784.399999999998	113.692	2557.35
4	1.5944e-05	2.23538e-05	17805.210000000003	859.252	1930.6750000000004
5	2.23538e-05	3.01824e-05	11758.296	2172.65	1304.0000000000002
6	3.01824e-05	3.97439e-05	7607.105000000001	2629.61	1678.6430000000003
7	3.97439e-05	5.14218e-05	4689.4	2246.99	1576.9000000000003
8	5.14218e-05	6.56846e-05	2973.5749999999994	1724.07	1397.7340000000004
9	6.56846e-05	8.31045e-05	1970.7360000000003	1387.76	1307.3220000000001
10	8.31045e-05	0.00010438	1482.194	1189.84	1236.647
11	0.00010438	0.000130365	1244.46	1124.39	1158.5
12	0.000130365	0.000162102	1210.426	1182.62	1188.951
13	0.000162102	0.000200864	1351.014	1313.98	1335.039
14	0.000200864	0.000248206	1547.005	1571.81	1588.9640000000002
15	0.000248206	0.000306026	1822.3649999999998	1911.78	1905.6879999999994
16	0.000306026	0.000376646	2129.015	2249.75	2225.7839999999997
17	0.000376646	0.000462896	2397.2799999999997	2502.75	2490.75
18	0.000462896	0.000568239	2637.6380000000004	2705.6	2629.363
19	0.000568239	0.000696899	2710.0499999999997	2654.75	2687.766
20	0.000696899	0.000854037	2674.89	2572.19	2640.8620000000005
21	0.000854037	0.00104596	2486.374	2448.12	2444.43
22	0.00104596	0.00128036	1932.5179999999996	2081.24	2090.274
23	0.00128036	0.00156665	1347.0579999999998	1588.49	1640.162
24	0.00156665	0.0019163	1046.3859999999997	1200.84	1209.6919999999998
25	0.0019163	0.00234336	3282.435999999999	1056.02	1070.6599999999999
26	0.00234336	0.00286494	2510.2706	1120.7	1108.988
27	0.00286494	0.00350197	122.222	2317.95	1185.604
28	0.00350197	0.00428001	122.222	2317.95	1114.5399999999997
29	0.00428001	0.00523027	122.222	45.0679	976.4424000000001
30	0.00523027	0.00639086	122.222	45.0679	769.2960000000002
31	0.00639086	inf	122.222	45.0679	769.296
