left_time_boundary	im_N1	im_N2	m	M
0.0	3889.0216906749483	6354.831814151611	2.5132786289010594e-27	0.0
233.38800000000003	3889.0216906749483	6354.831814151611	2.5132786289010594e-27	0.0
518.4368000000001	3884.405833570375	6355.176217125397	2.5132786289010594e-27	0.0
866.5840000000001	3055.93463456825	6351.869042381719	2.5132786289010594e-27	0.0
1291.784	2493.740870729425	12564.2929399826	4.334685070696424e-05	0.044023995907964464
1811.112	3171.73758712086	20121.773850391724	0.00017530923301287645	0.23464074594915307
2445.384	3531.2122647156893	18231.955928565014	0.00018824754331987775	0.4282595469612698
3220.056	4475.131082026891	18528.515061658738	0.00010280892793238867	0.5293376140416195
4166.2	6791.453150742783	18589.971025348656	9.829369778276525e-05	0.6249837500856816
5321.776	9677.277190733885	19490.43425757056	6.56009544349754e-05	0.6883763430416494
6733.136	12716.577000113739	18980.394808538433	9.977614231644056e-05	0.7790759055018015
8456.880000000001	14552.195341143854	17945.075304729056	8.602222257462976e-05	0.846207593133799
10562.24	15920.485544501376	16108.442936179325	0.00016626419606154353	0.9345962182592289
13133.52	14255.346493680152	14610.852554445362	9.632439859856218e-05	0.9642850136307973
16274.0	10867.12583086022	13040.338617185205	4.515515296658853e-05	0.9747413428928016
20109.680000000004	7887.537410591581	11248.461829819247	3.753020709608732e-05	0.982229532788881
24794.320000000003	5875.454568365974	9875.177207066687	4.139457980481227e-05	0.9889342862311049
30515.920000000002	4674.497735334016	8679.851490319574	4.64703484429755e-05	0.9942201259690835
37503.92	4326.342621251121	7146.0555487313395	4.7260816252902466e-05	0.9974203567926473
46038.8	5066.507524607863	5176.875447668866	4.200756928643965e-05	0.9989254765154042
56462.8	4972.153472704558	3595.1488701108938	3.350013465980152e-05	0.9995421128926086
69194.24	5700.359910468631	5110.314156563592	5.1898519750718806e-05	0.9999088411480633
84744.0	6718.57660388426	6648.210922753991	4.638087327912821e-05	0.9999843425517682
103735.20000000001	9717.189962688224	9712.94030919152	3.194553906986919e-05	0.9999964427762559
126930.4	13767.071392146927	13712.416002908798	1.849940812548442e-05	0.9999987528657396
155259.2	15999.343437346211	15913.947685089712	1.235033144847083e-05	0.9999994694253469
189859.2	16416.566883162366	16463.249343617168	1.1560999919086202e-05	0.9999998002908711
232117.60000000003	16979.51285166324	17025.04527464422	5.098817438025218e-06	0.9999998820178357
283730.4	16979.51285166324	17025.04527464422	5.098817438025218e-06	0.9999999379644757
346767.2	16913.214264193513	17028.959378674073	2.2747329037734784e-07	0.9999999400997285
423756.8	16913.214264193513	17028.959378674073	2.2747329037734784e-07	0.9999999426081962
517788.8	16913.214264193513	17028.959378674073	2.2747329037734784e-07	0.999999971690349
