time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	2.73752e-06	4512.399999999999	7054.31	7534.2
1	2.73752e-06	6.081e-06	4512.399999999999	7054.31	7534.2
2	6.081e-06	1.01645e-05	4512.399999999999	2848.83	7534.2
3	1.01645e-05	1.5152e-05	8136.300000000001	1628.96	7534.2
4	1.5152e-05	2.12434e-05	12024.540000000003	1635.0	4418.836
5	2.12434e-05	2.86831e-05	13081.900000000003	2178.68	3029.208
6	2.86831e-05	3.77696e-05	10810.930000000004	2401.76	2811.32
7	3.77696e-05	4.88674e-05	7275.423999999998	2132.79	2254.288
8	4.88674e-05	6.24217e-05	4402.923	1790.39	1894.0320000000004
9	6.24217e-05	7.89762e-05	2588.196	1523.79	1623.8700000000003
10	7.89762e-05	9.9195e-05	1841.4299999999996	1367.01	1446.432
11	9.9195e-05	0.000123889	1566.256	1314.58	1360.248
12	0.000123889	0.00015405	1495.1719999999996	1342.45	1389.208
13	0.00015405	0.000190886	1527.7099999999998	1469.14	1530.8049999999998
14	0.000190886	0.000235876	1695.71	1688.44	1766.2299999999998
15	0.000235876	0.000290824	1944.3360000000005	1964.67	2052.3100000000004
16	0.000290824	0.000357936	2242.0800000000004	2297.77	2338.574
17	0.000357936	0.000439902	2493.3120000000004	2527.98	2585.132
18	0.000439902	0.000540011	2669.085	2673.39	2717.4440000000004
19	0.000540011	0.00066228	2759.019	2723.64	2731.588
20	0.00066228	0.000811612	2731.755	2685.04	2687.0800000000004
21	0.000811612	0.000993999	2564.89	2543.05	2553.064
22	0.000993999	0.00121676	2167.597	2156.64	2154.312
23	0.00121676	0.00148882	1638.441	1688.83	1665.0080000000005
24	0.00148882	0.00182111	1265.1850000000002	1293.52	1278.872
25	0.00182111	0.00222695	1137.832	1152.45	1107.3759999999997
26	0.00222695	0.00272262	1272.8680000000002	1211.3	1159.7519999999997
27	0.00272262	0.00332801	1550.9250000000002	1437.32	1352.1440000000002
28	0.00332801	0.0040674	2162.48	1437.32	1468.5200000000002
29	0.0040674	0.00497045	2162.48	862.396	1009.4911999999998
30	0.00497045	0.00607339	2162.48	862.396	894.7339999999998
31	0.00607339	inf	2162.48	862.396	894.734
