time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	2.58531e-06	4591.39	6582.67	4743.23
1	2.58531e-06	5.74287e-06	4591.39	6582.67	4743.23
2	5.74287e-06	9.59935e-06	4591.39	1970.22	4743.23
3	9.59935e-06	1.43095e-05	7425.514000000001	1587.42	4743.23
4	1.43095e-05	2.00622e-05	11676.7	2329.38	4172.42
5	2.00622e-05	2.70882e-05	13166.6	3747.29	3601.61
6	2.70882e-05	3.56695e-05	11343.66	4311.06	4030.604000000001
7	3.56695e-05	4.61502e-05	8135.423999999998	3701.04	3343.375
8	4.61502e-05	5.89508e-05	5038.739999999999	2627.68	2329.4979999999996
9	5.89508e-05	7.45848e-05	2880.3949999999995	1912.01	1645.3370000000002
10	7.45848e-05	9.36794e-05	1950.9350000000004	1534.23	1340.8510000000003
11	9.36794e-05	0.000117001	1602.5579999999998	1364.25	1289.9199999999998
12	0.000117001	0.000145484	1509.8140000000003	1398.6	1331.2510000000004
13	0.000145484	0.000180272	1510.7040000000002	1408.99	1435.844
14	0.000180272	0.00022276	1624.2719999999997	1578.29	1656.64
15	0.00022276	0.000274653	1868.7779999999998	1911.56	1957.4820000000002
16	0.000274653	0.000338033	2171.376	2214.56	2265.1079999999997
17	0.000338033	0.000415441	2437.0150000000003	2468.53	2516.7300000000005
18	0.000415441	0.000509984	2630.7780000000002	2638.68	2644.1749999999997
19	0.000509984	0.000625454	2729.2559999999994	2718.61	2702.3720000000003
20	0.000625454	0.000766483	2735.2900000000004	2717.31	2694.331999999999
21	0.000766483	0.000938729	2618.0299999999997	2618.14	2592.7319999999995
22	0.000938729	0.0011491	2331.38	2333.24	2333.7360000000003
23	0.0011491	0.00140604	1861.1719999999996	1829.34	1896.2879999999998
24	0.00140604	0.00171985	1332.354	1380.33	1370.992
25	0.00171985	0.00210312	1128.7740000000001	1144.1	1137.86
26	0.00210312	0.00257123	1159.2	1172.17	1129.136
27	0.00257123	0.00314296	1201.4	1343.21	1282.756
28	0.00314296	0.00384123	1687.49	1343.21	1566.25
29	0.00384123	0.00469407	1687.49	1145.5	1276.134
30	0.00469407	0.00573569	1687.49	1145.5	840.96
31	0.00573569	inf	1687.49	1145.5	840.96
