left_time_boundary	im_N1	im_N2	m	M
0.0	7360.105651412508	7111.724624102662	0.0008608110866397829	0.2995793260536934
206.8248	7360.105651412508	7111.724624102662	0.0008608110866397829	0.54659258481462
459.42960000000005	6288.909889714943	6064.975120452764	1.932128008773824e-33	0.54659258481462
767.948	4067.376307236315	6586.873994430505	3.287515979215478e-33	0.54659258481462
1144.7600000000002	2400.1995217255135	7549.877310091718	1.1196194475683895e-37	0.54659258481462
1604.976	1761.8443313363061	9220.855437532038	0.00015718151193403338	0.6200293837375908
2167.056	1763.9902060140835	7890.733879941162	0.00013816233593110896	0.6856849170820599
2853.5600000000004	2210.961410687251	9347.74183193174	9.589383809841101e-05	0.7323740213390328
3692.016	3335.518829766671	13274.589183083304	7.073316681071065e-05	0.768467075071237
4716.064	5559.3796612332735	18223.026671573723	0.00011325451587926586	0.8255875822689049
5966.784000000001	8450.619942099602	20199.158246277217	0.00010698224527406412	0.8742145846124758
7494.352	11999.069761932002	17756.306733328922	0.00013944751103573346	0.9252435758122
9360.08	13444.89223427894	15836.256335824693	0.00017978405144329827	0.9670527140462886
11638.720000000001	13106.017637298512	14610.619508154527	5.2205280120939003e-05	0.9753610105965802
14421.760000000002	10946.409748535101	13438.551062866627	6.412348884184904e-05	0.9840666640297427
17820.8	7866.302282171827	12518.354503282202	5.067369110658616e-05	0.9895387710736794
21972.239999999998	5681.028421444895	12063.52445116951	5.250324501663153e-05	0.9938573820172054
27042.640000000003	4316.594150150132	11865.01614340312	5.8435679174729124e-05	0.997021235002412
33235.28	3484.20309659818	11808.658592698388	6.101792210893711e-05	0.9988164741417638
40798.72	3173.6065206438484	10395.515593444341	5.7961922664348735e-05	0.999594388759945
50036.32	3691.7418444006994	7040.359064722186	4.658462007037126e-05	0.9998582266036454
61318.64	4810.140792921317	4793.432467301863	3.9262568812773295e-05	0.9999519530472928
75098.32	5855.807566443872	5464.504642143132	4.152780223540727e-05	0.9999881256635704
91928.0	8653.198590479353	8339.45892161593	3.8426685502049575e-05	0.9999975535376138
112483.2	14031.589410958713	13849.22470445257	2.2860767967670666e-05	0.9999992236772717
137588.0	18140.101209662287	18096.263145825753	1.1703445708168892e-05	0.9999996212502946
168249.6	18307.353829999538	18429.08018253542	8.303119286223843e-06	0.9999997966371399
205698.4	16981.487111484206	17085.126744585737	4.694554114508069e-06	0.9999998676368761
251436.80000000002	16981.487111484206	17085.126744585737	4.694554114508069e-06	0.9999999216599884
307298.4	15827.414051481841	15962.776972739299	1.5511537249824643e-07	0.9999999233007215
375525.6	15827.414051481841	15962.776972739299	1.5511537249824643e-07	0.9999999252580961
458855.2	15827.414051481841	15962.776972739299	1.5511537249824643e-07	0.9999999512362151
