time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	2.06153e-06	4220.120000000001	4396.28	5500.299999999998
1	2.06153e-06	4.57937e-06	4220.120000000001	4396.28	5500.299999999998
2	4.57937e-06	7.65454e-06	4220.120000000001	2406.08	5500.299999999998
3	7.65454e-06	1.14104e-05	4220.120000000001	4579.59	5500.299999999998
4	1.14104e-05	1.59976e-05	10157.223999999998	7616.74	7482.824999999999
5	1.59976e-05	2.16002e-05	12150.449999999997	10179.6	9465.35
6	2.16002e-05	2.84429e-05	13337.999999999998	11495.7	9401.990000000002
7	2.84429e-05	3.68002e-05	10882.71	9325.78	7996.585000000001
8	3.68002e-05	4.70075e-05	7674.737000000003	6341.75	6050.628
9	4.70075e-05	5.94741e-05	4677.35	4047.59	3714.8559999999993
10	5.94741e-05	7.47001e-05	2857.705	2609.89	2406.22
11	7.47001e-05	9.32965e-05	1950.7100000000003	1925.51	1817.89
12	9.32965e-05	0.000116009	1619.5450000000003	1607.49	1547.68
13	0.000116009	0.000143749	1505.4180000000003	1466.71	1432.4910000000002
14	0.000143749	0.000177629	1503.9720000000002	1506.03	1470.3840000000002
15	0.000177629	0.000219009	1607.9660000000003	1630.1	1642.149
16	0.000219009	0.000269548	1819.4589999999998	1846.39	1901.846
17	0.000269548	0.000331274	2138.19	2136.19	2184.165
18	0.000331274	0.000406662	2395.2619999999997	2403.5	2447.732
19	0.000406662	0.000498738	2565.625	2571.51	2611.6760000000004
20	0.000498738	0.000611195	2675.7659999999996	2695.7	2707.9740000000006
21	0.000611195	0.000748544	2701.384	2669.38	2701.8579999999993
22	0.000748544	0.000916295	2608.069	2561.55	2597.032
23	0.000916295	0.00112118	2337.37	2322.34	2367.558
24	0.00112118	0.00137141	1880.3940000000002	1907.71	1897.8730000000005
25	0.00137141	0.00167703	1380.1840000000004	1415.21	1398.4719999999998
26	0.00167703	0.00205031	1114.242	1143.44	1169.0900000000001
27	0.00205031	0.0025062	1120.1999999999998	1177.59	1251.7259999999999
28	0.0025062	0.00306301	1173.0299999999997	1177.59	3184.1099999999997
29	0.00306301	0.00374306	2274.1259999999997	1780.83	2040.14348
30	0.00374306	0.00457365	2396.47	1780.83	10.4837
31	0.00457365	inf	2396.47	1780.83	10.4837
