time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	2.51136e-06	3547.040000000001	6253.35	5763.339999999999
1	2.51136e-06	5.5786e-06	3547.040000000001	6253.35	5763.339999999999
2	5.5786e-06	9.32478e-06	3547.040000000001	1711.85	5763.339999999999
3	9.32478e-06	1.39002e-05	8480.064	1687.91	5763.339999999999
4	1.39002e-05	1.94883e-05	15879.599999999999	2686.66	4573.167999999999
5	1.94883e-05	2.63134e-05	16760.0	4237.22	3779.7199999999993
6	2.63134e-05	3.46492e-05	12342.880000000005	4885.27	4863.71
7	3.46492e-05	4.48301e-05	8638.511999999999	4502.56	4112.737999999999
8	4.48301e-05	5.72646e-05	5552.860000000001	3344.16	3101.901999999999
9	5.72646e-05	7.24514e-05	3440.4900000000002	2270.2	2209.676
10	7.24514e-05	9.09998e-05	2290.03	1717.94	1674.0640000000003
11	9.09998e-05	0.000113654	1678.5859999999998	1491.58	1416.7230000000002
12	0.000113654	0.000141322	1434.9189999999999	1420.14	1368.8
13	0.000141322	0.000175115	1400.2279999999998	1461.71	1452.0259999999998
14	0.000175115	0.000216388	1517.9159999999997	1607.76	1635.4439999999995
15	0.000216388	0.000266797	1821.5740000000003	1821.74	1894.6180000000002
16	0.000266797	0.000328364	2123.17	2116.49	2184.3349999999996
17	0.000328364	0.000403558	2400.7349999999997	2427.82	2457.8379999999997
18	0.000403558	0.000495397	2600.481	2609.31	2626.8340000000007
19	0.000495397	0.000607564	2714.115	2677.97	2711.2960000000003
20	0.000607564	0.000744559	2719.8140000000003	2646.39	2689.8959999999997
21	0.000744559	0.000911878	2616.118	2595.61	2600.62
22	0.000911878	0.00111623	2363.506	2348.09	2379.933
23	0.00111623	0.00136582	1945.378	1873.18	1931.3990000000001
24	0.00136582	0.00167066	1439.254	1442.59	1447.529
25	0.00167066	0.00204297	1210.0099999999998	1153.95	1174.71
26	0.00204297	0.00249769	1318.541	1144.12	1115.0269999999998
27	0.00249769	0.00305306	1362.183	1422.51	1269.311
28	0.00305306	0.00373136	1217.31	1422.51	1522.69
29	0.00373136	0.00455981	1217.31	1108.14	1290.1549999999997
30	0.00455981	0.00557163	1217.31	1108.14	1057.6199999999997
31	0.00557163	inf	1217.31	1108.14	1057.62
