time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	2.58373e-06	3561.9300000000003	6240.87	6487.960000000002
1	2.58373e-06	5.73937e-06	3561.9300000000003	6240.87	6487.960000000002
2	5.73937e-06	9.5935e-06	3561.9300000000003	1822.39	6487.960000000002
3	9.5935e-06	1.43007e-05	9837.164999999999	1938.09	6487.960000000002
4	1.43007e-05	2.00499e-05	16181.7	2755.24	4157.878000000001
5	2.00499e-05	2.70717e-05	16805.400000000005	3776.67	2604.4900000000002
6	2.70717e-05	3.56477e-05	11809.320000000002	4305.02	3359.5400000000004
7	3.56477e-05	4.6122e-05	8228.674	3614.61	2870.3660000000004
8	4.6122e-05	5.89148e-05	5302.228	2529.93	2207.9939999999997
9	5.89148e-05	7.45393e-05	3295.162	1883.06	1659.3179999999998
10	7.45393e-05	9.36223e-05	2132.502	1531.92	1474.6219999999998
11	9.36223e-05	0.000116929	1640.036	1375.17	1402.2369999999999
12	0.000116929	0.000145395	1421.658	1355.08	1367.3280000000002
13	0.000145395	0.000180162	1403.6920000000002	1440.91	1421.49
14	0.000180162	0.000222624	1582.4859999999996	1620.49	1603.1799999999998
15	0.000222624	0.000274486	1855.8010000000004	1892.34	1902.242
16	0.000274486	0.000337827	2181.04	2191.64	2244.5550000000003
17	0.000337827	0.000415188	2429.108	2459.31	2546.2560000000003
18	0.000415188	0.000509673	2625.356000000001	2653.05	2700.7020000000007
19	0.000509673	0.000625073	2733.098	2717.94	2756.61
20	0.000625073	0.000766016	2715.1980000000003	2697.67	2720.5209999999997
21	0.000766016	0.000938156	2599.3920000000003	2592.14	2589.785
22	0.000938156	0.0011484	2333.7760000000003	2311.35	2311.251
23	0.0011484	0.00140518	1819.926	1843.64	1837.6199999999994
24	0.00140518	0.0017188	1403.138	1389.54	1375.622
25	0.0017188	0.00210184	1189.598	1154.48	1145.07
26	0.00210184	0.00256966	1242.906	1166.42	1127.7030000000002
27	0.00256966	0.00314104	1343.116	1382.05	1356.9160000000002
28	0.00314104	0.00383889	1654.5800000000002	1382.05	2034.5699999999997
29	0.00383889	0.00469121	1654.5800000000002	951.932	1115.939
30	0.00469121	0.00573219	1654.5800000000002	951.932	197.30799999999996
31	0.00573219	inf	1654.58	951.932	197.308
