time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	2.54786e-06	3544.389999999999	6309.38	5059.0
1	2.54786e-06	5.65968e-06	3544.389999999999	6309.38	5059.0
2	5.65968e-06	9.46031e-06	3544.389999999999	1729.58	5059.0
3	9.46031e-06	1.41022e-05	8595.074	1805.19	5059.0
4	1.41022e-05	1.97716e-05	16171.100000000004	2924.18	4144.465
5	1.97716e-05	2.66958e-05	16694.0	4228.92	3229.93
6	2.66958e-05	3.51528e-05	12407.999999999998	4513.14	3586.7620000000006
7	3.51528e-05	4.54817e-05	8285.003999999999	3900.18	3206.2100000000005
8	4.54817e-05	5.80969e-05	5321.813999999999	2923.32	2623.726
9	5.80969e-05	7.35044e-05	3293.3160000000003	2061.53	1929.2180000000003
10	7.35044e-05	9.23224e-05	2206.806	1601.7	1520.87
11	9.23224e-05	0.000115306	1674.1760000000004	1429.3	1348.5400000000002
12	0.000115306	0.000143376	1433.6360000000004	1358.67	1331.8800000000003
13	0.000143376	0.000177661	1401.3559999999998	1406.35	1422.3080000000002
14	0.000177661	0.000219533	1545.0129999999995	1581.07	1618.9799999999998
15	0.000219533	0.000270675	1826.3339999999998	1853.07	1902.0879999999997
16	0.000270675	0.000333136	2151.102	2204.53	2213.4719999999998
17	0.000333136	0.000409424	2421.666	2424.54	2488.715
18	0.000409424	0.000502597	2604.829	2651.73	2698.9269999999997
19	0.000502597	0.000616394	2726.8160000000007	2716.9	2781.402
20	0.000616394	0.000755381	2728.944	2745.53	2736.6340000000005
21	0.000755381	0.000925131	2614.285	2595.22	2585.5260000000003
22	0.000925131	0.00113246	2347.544	2301.39	2292.93
23	0.00113246	0.00138567	1880.1190000000001	1855.3	1894.0269999999996
24	0.00138567	0.00169494	1412.949	1451.05	1433.457
25	0.00169494	0.00207266	1179.29	1170.43	1186.5059999999999
26	0.00207266	0.00253399	1224.2099999999998	1150.73	1180.23
27	0.00253399	0.00309743	1312.292	1275.28	1291.1200000000003
28	0.00309743	0.00378559	1755.11	1275.28	1389.781
29	0.00378559	0.00462608	1755.11	1287.11	1101.856
30	0.00462608	0.0056526	1755.11	1287.11	659.0200000000001
31	0.0056526	inf	1755.11	1287.11	659.02
