time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	2.17358e-06	3545.7200000000007	4822.08	6006.139999999999
1	2.17358e-06	4.82829e-06	3545.7200000000007	4822.08	6006.139999999999
2	4.82829e-06	8.07061e-06	3545.7200000000007	1242.56	6006.139999999999
3	8.07061e-06	1.20306e-05	3545.7200000000007	2509.39	6006.139999999999
4	1.20306e-05	1.68672e-05	15550.1	5673.7	7306.898000000001
5	1.68672e-05	2.27743e-05	16406.54	8840.46	8298.821
6	2.27743e-05	2.99889e-05	15837.84	9768.51	9421.58
7	2.99889e-05	3.88006e-05	11279.2	8305.97	7563.675000000002
8	3.88006e-05	4.95626e-05	6870.169999999999	5749.56	5501.015
9	4.95626e-05	6.27068e-05	4433.069	3515.73	3739.429000000001
10	6.27068e-05	7.87605e-05	2808.6349999999993	2313.39	2364.766
11	7.87605e-05	9.83677e-05	1966.6609999999998	1779.73	1759.1990000000003
12	9.83677e-05	0.000122315	1564.4070000000002	1506.63	1502.927
13	0.000122315	0.000151563	1393.852	1418.33	1422.245
14	0.000151563	0.000187285	1427.7240000000004	1476.44	1489.7720000000002
15	0.000187285	0.000230914	1601.8969999999997	1668.89	1681.0049999999999
16	0.000230914	0.0002842	1903.5899999999995	1944.91	1976.2400000000002
17	0.0002842	0.000349281	2190.7259999999997	2230.39	2260.0080000000003
18	0.000349281	0.000428767	2446.0060000000003	2467.08	2500.588
19	0.000428767	0.000525848	2642.1019999999994	2623.08	2646.1159999999995
20	0.000525848	0.000644417	2705.6820000000007	2692.14	2695.1100000000006
21	0.000644417	0.000789232	2679.195	2674.96	2684.324000000001
22	0.000789232	0.000966102	2546.959	2541.76	2578.8120000000004
23	0.000966102	0.00118212	2233.890000000001	2236.1	2231.0600000000004
24	0.00118212	0.00144596	1762.087	1738.25	1790.128
25	0.00144596	0.00176819	1361.7799999999997	1336.72	1395.2260000000003
26	0.00176819	0.00216175	1163.864	1154.24	1176.682
27	0.00216175	0.00264243	1246.2559999999999	1260.43	1172.808
28	0.00264243	0.0032295	1471.1200000000001	1260.43	1252.12
29	0.0032295	0.00394652	1790.0800000000002	1577.86	1512.464
30	0.00394652	0.00482225	1790.0800000000002	1577.86	1624.04
31	0.00482225	inf	1790.08	1577.86	1624.04
