time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	2.17585e-06	3561.239999999999	4693.78	5467.669999999999
1	2.17585e-06	4.83332e-06	3561.239999999999	4693.78	5467.669999999999
2	4.83332e-06	8.07902e-06	3561.239999999999	1427.96	5467.669999999999
3	8.07902e-06	1.20432e-05	3561.239999999999	2807.02	5467.669999999999
4	1.20432e-05	1.68847e-05	15786.800000000001	5651.5	7867.693999999999
5	1.68847e-05	2.2798e-05	16405.82	9030.53	9467.71
6	2.2798e-05	3.00202e-05	15733.4	9989.97	9486.63
7	3.00202e-05	3.8841e-05	11392.999999999998	8194.75	7491.371000000001
8	3.8841e-05	4.96142e-05	6895.959999999999	5667.59	5248.535000000001
9	4.96142e-05	6.27722e-05	4430.842	3540.68	3423.038000000001
10	6.27722e-05	7.88426e-05	2797.841	2319.96	2225.689
11	7.88426e-05	9.84702e-05	1959.6349999999998	1737.19	1762.4440000000002
12	9.84702e-05	0.000122442	1562.9249999999997	1483.31	1517.621
13	0.000122442	0.000151721	1395.71	1400.97	1443.2720000000002
14	0.000151721	0.00018748	1430.2540000000001	1460.31	1501.906
15	0.00018748	0.000231154	1604.964	1649.16	1685.1649999999997
16	0.000231154	0.000284496	1907.9250000000006	1929.53	1976.2839999999997
17	0.000284496	0.000349644	2195.5219999999995	2225.42	2257.806
18	0.000349644	0.000429214	2448.1419999999994	2469.04	2507.2610000000004
19	0.000429214	0.000526396	2634.958	2629.1	2675.183
20	0.000526396	0.000645089	2693.1680000000006	2692.68	2736.2050000000004
21	0.000645089	0.000790054	2675.2650000000003	2660.08	2715.422000000001
22	0.000790054	0.000967108	2558.62	2517.9	2581.0900000000006
23	0.000967108	0.00118335	2244.956	2204.03	2197.7740000000003
24	0.00118335	0.00144746	1762.637	1719.26	1696.9340000000002
25	0.00144746	0.00177003	1361.765	1297.55	1259.876
26	0.00177003	0.002164	1163.704	1141.26	1067.8
27	0.002164	0.00264518	1210.3990000000001	1336.44	1814.312
28	0.00264518	0.00323286	1492.7220000000002	1336.44	4288.64
29	0.00323286	0.00395063	1903.7100000000005	1231.5	1726.7851399999995
30	0.00395063	0.00482728	1903.7100000000005	1231.5	18.8819
31	0.00482728	inf	1903.71	1231.5	18.8819
