time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	2.72858e-06	9027.76	6609.99	5195.209999999998
1	2.72858e-06	6.06114e-06	9027.76	6609.99	5195.209999999998
2	6.06114e-06	1.01314e-05	9027.76	2546.63	5195.209999999998
3	1.01314e-05	1.51025e-05	15230.415999999997	1894.93	5195.209999999998
4	1.51025e-05	2.1174e-05	19924.510000000002	2153.82	2869.964
5	2.1174e-05	2.85894e-05	18900.4	2576.98	1319.8
6	2.85894e-05	3.76463e-05	13751.300000000001	2690.56	1864.4599999999996
7	3.76463e-05	4.87078e-05	8084.344999999998	2357.57	1923.5959999999995
8	4.87078e-05	6.22179e-05	4504.049999999999	1977.93	1853.3760000000002
9	6.22179e-05	7.87183e-05	2724.61	1655.95	1626.5880000000004
10	7.87183e-05	9.88711e-05	1884.678	1366.95	1364.3509999999999
11	9.88711e-05	0.000123485	1521.3990000000003	1273.41	1250.2509999999997
12	0.000123485	0.000153547	1393.3480000000002	1284.21	1300.002
13	0.000153547	0.000190263	1447.4449999999997	1423.93	1455.756
14	0.000190263	0.000235106	1643.207	1704.22	1715.908
15	0.000235106	0.000289875	1912.6499999999999	1935.8	2019.744
16	0.000289875	0.000356767	2161.782	2240.52	2316.3099999999995
17	0.000356767	0.000438465	2389.894	2500.36	2579.6279999999992
18	0.000438465	0.000538248	2596.142	2574.78	2732.8219999999997
19	0.000538248	0.000660117	2715.0659999999993	2718.11	2771.1159999999995
20	0.000660117	0.000808962	2735.628	2735.87	2692.072
21	0.000808962	0.000990754	2602.1160000000004	2491.06	2512.895
22	0.000990754	0.00121278	2182.61	2219.16	2187.327
23	0.00121278	0.00148396	1675.0739999999998	1715.24	1697.4129999999996
24	0.00148396	0.00181516	1258.6560000000002	1291.58	1293.54
25	0.00181516	0.00221968	1084.396	1120.54	1143.22
26	0.00221968	0.00271373	1301.428	1198.58	1175.761
27	0.00271373	0.00331714	2233.4200000000005	1504.67	1292.2050000000002
28	0.00331714	0.00405412	2233.4200000000005	1504.67	1349.8700000000001
29	0.00405412	0.00495422	2233.4200000000005	653.974	1138.8165
30	0.00495422	0.00605356	2233.4200000000005	653.974	927.763
31	0.00605356	inf	2233.42	653.974	927.763
