time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	2.60139e-06	8747.920000000002	6378.67	5641.260000000001
1	2.60139e-06	5.77859e-06	8747.920000000002	6378.67	5641.260000000001
2	5.77859e-06	9.65907e-06	8747.920000000002	1881.54	5641.260000000001
3	9.65907e-06	1.43985e-05	14740.544000000004	1699.02	5641.260000000001
4	1.43985e-05	2.0187e-05	19257.84	2420.48	4607.064000000001
5	2.0187e-05	2.72567e-05	19638.879999999997	3750.95	3917.6000000000004
6	2.72567e-05	3.58914e-05	15160.149999999998	4342.26	3868.580000000001
7	3.58914e-05	4.64373e-05	9005.241	3578.21	3261.074
8	4.64373e-05	5.93175e-05	4966.547	2540.03	2513.3699999999994
9	5.93175e-05	7.50488e-05	2926.2469999999994	1862.21	1878.021
10	7.50488e-05	9.42621e-05	1976.0700000000002	1568.04	1553.86
11	9.42621e-05	0.000117728	1566.6399999999999	1402.72	1380.894
12	0.000117728	0.000146389	1406.456	1316.67	1359.95
13	0.000146389	0.000181393	1413.226	1390.58	1455.479
14	0.000181393	0.000224146	1558.6509999999996	1592.3	1622.8300000000004
15	0.000224146	0.000276362	1836.4139999999998	1883.07	1902.7500000000002
16	0.000276362	0.000340136	2118.594	2172.59	2195.9440000000004
17	0.000340136	0.000418026	2358.96	2453.23	2473.514
18	0.000418026	0.000513157	2548.4879999999994	2623.84	2694.6530000000007
19	0.000513157	0.000629345	2685.6589999999997	2710.44	2775.8940000000002
20	0.000629345	0.000771251	2743.6180000000004	2717.26	2730.2700000000004
21	0.000771251	0.000944568	2653.365	2591.45	2569.1279999999997
22	0.000944568	0.00115625	2366.426	2296.42	2275.401
23	0.00115625	0.00141479	1801.0009999999995	1778.21	1791.0029999999997
24	0.00141479	0.00173055	1309.3780000000002	1378.47	1371.434
25	0.00173055	0.0021162	1096.972	1137.31	1187.7899999999997
26	0.0021162	0.00258723	1065.42	1122.95	1198.2069999999999
27	0.00258723	0.00316251	2169.4800000000005	1418.82	1372.9370000000004
28	0.00316251	0.00386513	2169.4800000000005	1418.82	1604.62
29	0.00386513	0.00472327	2169.4800000000005	1354.53	1029.4653999999998
30	0.00472327	0.00577137	2169.4800000000005	1354.53	646.0289999999999
31	0.00577137	inf	2169.48	1354.53	646.029
