time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	2.85085e-06	9118.680000000002	6411.14	10223.199999999999
1	2.85085e-06	6.33274e-06	9118.680000000002	6411.14	10223.199999999999
2	6.33274e-06	1.05853e-05	9118.680000000002	3669.05	10223.199999999999
3	1.05853e-05	1.57792e-05	16198.199999999999	2226.04	10223.199999999999
4	1.57792e-05	2.21228e-05	20101.960000000003	1720.09	2001.2699999999998
5	2.21228e-05	2.98705e-05	18267.33	1559.08	2048.3100000000004
6	2.98705e-05	3.93332e-05	13164.66	1454.82	2053.788
7	3.93332e-05	5.08904e-05	7716.667999999999	1391.66	1887.5399999999995
8	5.08904e-05	6.50058e-05	4049.631000000001	1282.88	1582.78
9	6.50058e-05	8.22457e-05	2510.553	1225.45	1524.118
10	8.22457e-05	0.000103302	1776.8239999999998	1214.95	1464.0950000000003
11	0.000103302	0.000129018	1469.0500000000004	1233.87	1415.9579999999999
12	0.000129018	0.000160427	1387.1839999999997	1308.75	1438.0179999999996
13	0.000160427	0.000198788	1470.0220000000004	1448.2	1599.482
14	0.000198788	0.000245641	1677.2350000000001	1732.03	1865.898
15	0.000245641	0.000302864	1958.8439999999996	2025.54	2166.0939999999996
16	0.000302864	0.000372753	2214.7980000000002	2287.28	2449.1549999999997
17	0.000372753	0.000458113	2473.71	2523.84	2638.562
18	0.000458113	0.000562366	2636.066	2678.38	2770.35
19	0.000562366	0.000689697	2732.474	2708.74	2817.734
20	0.000689697	0.000845211	2725.3739999999993	2634.77	2756.091
21	0.000845211	0.00103515	2514.1679999999997	2439.48	2520.0550000000003
22	0.00103515	0.00126713	2108.908	2102.4	2085.6600000000003
23	0.00126713	0.00155046	1606.36	1615.9	1523.818
24	0.00155046	0.0018965	1233.42	1237.6	1118.6467999999998
25	0.0018965	0.00231914	1139.8299999999997	1089.6	999.0495000000001
26	0.00231914	0.00283533	1420.6700000000003	1183.24	1123.9139
27	0.00283533	0.00346578	1701.5100000000004	2203.56	3340.5830000000005
28	0.00346578	0.00423578	1701.5100000000004	2203.56	2507.355615
29	0.00423578	0.00517622	1701.5100000000004	73.8726	2.37205
30	0.00517622	0.00632482	1701.5100000000004	73.8726	2.37205
31	0.00632482	inf	1701.51	73.8726	2.37205
