time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	2.59758e-06	8817.969999999998	6130.79	5582.86
1	2.59758e-06	5.77014e-06	8817.969999999998	6130.79	5582.86
2	5.77014e-06	9.64494e-06	8817.969999999998	1976.22	5582.86
3	9.64494e-06	1.43774e-05	15138.633999999996	1883.03	5582.86
4	1.43774e-05	2.01574e-05	19301.800000000003	2617.51	4509.495999999999
5	2.01574e-05	2.72169e-05	19322.4	3852.53	3793.919999999999
6	2.72169e-05	3.58389e-05	14886.330000000002	4357.95	3910.29
7	3.58389e-05	4.63694e-05	9075.552	3743.36	3269.7780000000002
8	4.63694e-05	5.92308e-05	5023.424	2615.82	2504.99
9	5.92308e-05	7.4939e-05	2941.5379999999996	1846.82	1906.0699999999997
10	7.4939e-05	9.41243e-05	1974.2400000000002	1503.15	1502.1019999999999
11	9.41243e-05	0.000117556	1561.7649999999999	1369.35	1358.474
12	0.000117556	0.000146175	1402.7419999999997	1334.02	1338.6160000000002
13	0.000146175	0.000181128	1410.14	1400.81	1429.3040000000003
14	0.000181128	0.000223818	1556.4830000000002	1592.96	1648.4170000000004
15	0.000223818	0.000275958	1836.8599999999997	1885.97	1953.206
16	0.000275958	0.000339638	2120.212	2205.56	2288.4379999999996
17	0.000339638	0.000417414	2359.3360000000002	2416.29	2525.1400000000003
18	0.000417414	0.000512406	2533.8140000000003	2596.95	2672.8340000000003
19	0.000512406	0.000628425	2688.8760000000007	2755.13	2730.038
20	0.000628425	0.000770123	2747.9800000000005	2681.49	2684.694
21	0.000770123	0.000943187	2649.0000000000005	2579.13	2583.585
22	0.000943187	0.00115456	2350.709	2291.94	2339.7989999999995
23	0.00115456	0.00141272	1832.4319999999998	1807.22	1864.6959999999997
24	0.00141272	0.00172802	1325.786	1389.11	1389.523
25	0.00172802	0.00211311	1149.134	1154.92	1164.4749999999997
26	0.00211311	0.00258344	1131.4099999999999	1155.6	1181.8439999999998
27	0.00258344	0.00315788	1861.4000000000005	1476.0	1502.64
28	0.00315788	0.00385948	1861.4000000000005	1476.0	2263.6899999999996
29	0.00385948	0.00471637	1861.4000000000005	666.015	1200.5289999999995
30	0.00471637	0.00576293	1861.4000000000005	666.015	137.368
31	0.00576293	inf	1861.4	666.015	137.368
