time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	2.23707e-06	8841.409999999998	4915.55	6024.120000000002
1	2.23707e-06	4.96931e-06	8841.409999999998	4915.55	6024.120000000002
2	4.96931e-06	8.30634e-06	8841.409999999998	1381.82	6024.120000000002
3	8.30634e-06	1.2382e-05	12628.605	2610.77	6024.120000000002
4	1.2382e-05	1.73598e-05	16859.68	5522.07	7564.126999999998
5	1.73598e-05	2.34395e-05	20854.599999999995	8104.49	8430.253999999999
6	2.34395e-05	3.08649e-05	17146.96	9063.59	9254.750000000002
7	3.08649e-05	3.99338e-05	12332.140000000003	7802.95	7292.653999999999
8	3.99338e-05	5.10102e-05	7147.073000000002	5254.22	5269.855999999999
9	5.10102e-05	6.45384e-05	4238.828	3247.75	3413.8999999999996
10	6.45384e-05	8.1061e-05	2482.1410000000005	2098.03	2287.292
11	8.1061e-05	0.000101241	1816.78	1650.64	1725.228
12	0.000101241	0.000125887	1489.0900000000001	1462.48	1491.5299999999997
13	0.000125887	0.00015599	1382.629	1377.14	1429.9150000000002
14	0.00015599	0.000192755	1457.3239999999998	1441.84	1520.4660000000001
15	0.000192755	0.000237658	1635.6869999999997	1653.26	1726.6490000000001
16	0.000237658	0.0002925	1902.3349999999996	1969.13	2002.1720000000003
17	0.0002925	0.000359482	2172.042	2282.91	2301.5400000000004
18	0.000359482	0.00044129	2378.676	2456.69	2539.7549999999997
19	0.00044129	0.000541207	2583.8660000000004	2590.6	2651.4839999999995
20	0.000541207	0.000663239	2695.9459999999995	2742.08	2702.4299999999994
21	0.000663239	0.000812284	2704.7240000000006	2668.62	2690.3619999999996
22	0.000812284	0.000994319	2567.168	2525.25	2507.946
23	0.000994319	0.00121665	2164.1639999999998	2120.67	2154.786
24	0.00121665	0.00148819	1679.564	1694.9	1712.0519999999997
25	0.00148819	0.00181984	1288.1180000000002	1286.19	1337.0080000000003
26	0.00181984	0.00222489	1124.554	1126.73	1131.224
27	0.00222489	0.00271961	1238.8939999999998	1246.96	1140.72
28	0.00271961	0.00332383	1758.1099999999994	1246.96	1181.4
29	0.00332383	0.00406179	1758.1099999999994	1372.66	1634.2
30	0.00406179	0.0049631	1758.1099999999994	1372.66	1747.4
31	0.0049631	inf	1758.11	1372.66	1747.4
