time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	2.23703e-06	8911.809999999998	5125.14	5437.23
1	2.23703e-06	4.96922e-06	8911.809999999998	5125.14	5437.23
2	4.96922e-06	8.30618e-06	8911.809999999998	1476.84	5437.23
3	8.30618e-06	1.23818e-05	12437.404999999999	2752.73	5437.23
4	1.23818e-05	1.73595e-05	16456.889999999996	5148.2	8117.019000000001
5	1.73595e-05	2.3439e-05	20901.899999999998	8002.63	9314.244
6	2.3439e-05	3.08643e-05	17098.32	9424.93	9509.22
7	3.08643e-05	3.99331e-05	12212.290000000005	7960.29	7203.636
8	3.99331e-05	5.10092e-05	7086.519000000002	5330.53	4975.517999999999
9	5.10092e-05	6.45371e-05	4225.4220000000005	3266.66	3142.669999999999
10	6.45371e-05	8.10594e-05	2477.8479999999995	2115.75	2174.9099999999994
11	8.10594e-05	0.000101239	1811.7499999999995	1596.41	1714.0399999999997
12	0.000101239	0.000125885	1480.5859999999998	1394.14	1507.6459999999995
13	0.000125885	0.000155987	1373.4650000000004	1369.99	1443.4100000000003
14	0.000155987	0.000192751	1449.852	1470.49	1525.5739999999996
15	0.000192751	0.000237653	1629.16	1668.91	1730.7680000000003
16	0.000237653	0.000292495	1899.1650000000004	1951.06	2008.1460000000006
17	0.000292495	0.000359475	2176.387	2234.31	2309.443
18	0.000359475	0.000441282	2388.7639999999997	2482.62	2543.2920000000004
19	0.000441282	0.000541196	2589.8199999999997	2636.92	2672.476
20	0.000541196	0.000663227	2689.3240000000005	2686.53	2712.976
21	0.000663227	0.000812268	2690.7340000000004	2637.32	2685.264
22	0.000812268	0.0009943	2556.3779999999997	2481.52	2558.3499999999995
23	0.0009943	0.00121662	2164.656	2157.29	2185.45
24	0.00121662	0.00148816	1694.0240000000001	1690.6	1700.608
25	0.00148816	0.0018198	1314.248	1297.57	1330.563
26	0.0018198	0.00222485	1156.2959999999998	1127.5	1188.211
27	0.00222485	0.00271955	1245.278	1275.15	1467.4360000000001
28	0.00271955	0.00332376	1660.1500000000003	1275.15	1777.4800000000002
29	0.00332376	0.00406171	1660.1500000000003	1339.33	833.7903999999999
30	0.00406171	0.004963	1660.1500000000003	1339.33	597.868
31	0.004963	inf	1660.15	1339.33	597.868
