time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	2.61159e-06	9084.99	6391.76	5497.659999999999
1	2.61159e-06	5.80125e-06	9084.99	6391.76	5497.659999999999
2	5.80125e-06	9.69694e-06	9084.99	2009.75	5497.659999999999
3	9.69694e-06	1.44549e-05	15546.369000000002	1859.46	5497.659999999999
4	1.44549e-05	2.02661e-05	19072.420000000002	2424.51	4561.304999999999
5	2.02661e-05	2.73636e-05	19395.500000000004	3430.6	3624.9499999999994
6	2.73636e-05	3.60321e-05	15120.710000000003	4182.25	3880.5590000000007
7	3.60321e-05	4.66193e-05	9131.243000000002	3721.81	3141.368
8	4.66193e-05	5.95501e-05	5026.0960000000005	2643.72	2309.6119999999996
9	5.95501e-05	7.5343e-05	2938.4300000000003	1874.14	1763.29
10	7.5343e-05	9.46317e-05	1970.63	1511.71	1487.6290000000001
11	9.46317e-05	0.00011819	1555.2150000000001	1355.67	1387.7800000000004
12	0.00011819	0.000146963	1395.4119999999998	1317.35	1347.775
13	0.000146963	0.000182104	1408.9760000000006	1390.09	1423.924
14	0.000182104	0.000225025	1573.1149999999998	1576.62	1629.5410000000002
15	0.000225025	0.000277445	1836.184	1859.55	1917.954
16	0.000277445	0.000341469	2126.876	2177.48	2230.21
17	0.000341469	0.000419665	2369.198	2451.71	2525.9860000000003
18	0.000419665	0.000515169	2550.998	2631.95	2695.43
19	0.000515169	0.000631812	2678.5220000000004	2709.39	2744.1369999999997
20	0.000631812	0.000774275	2714.918	2696.98	2673.811
21	0.000774275	0.000948272	2616.9439999999995	2584.03	2528.6349999999998
22	0.000948272	0.00116078	2336.1280000000006	2292.37	2266.216
23	0.00116078	0.00142033	1822.7640000000001	1810.95	1824.4859999999999
24	0.00142033	0.00173733	1347.1200000000003	1346.62	1380.6349999999998
25	0.00173733	0.0021245	1141.6979999999999	1100.2	1143.515
26	0.0021245	0.00259737	1110.49	1101.03	1117.0600000000002
27	0.00259737	0.00317491	1686.35	1476.86	1264.418
28	0.00317491	0.00388028	1686.35	1476.86	1368.0999999999997
29	0.00388028	0.00474179	1686.35	1324.31	1736.3000000000002
30	0.00474179	0.00579399	1686.35	1324.31	2104.5
31	0.00579399	inf	1686.35	1324.31	2104.5
