time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	2.54506e-06	4464.17	6073.07	5016.2
1	2.54506e-06	5.65347e-06	4464.17	6073.07	5016.2
2	5.65347e-06	9.44991e-06	4464.17	1821.74	5016.2
3	9.44991e-06	1.40867e-05	7334.862	1900.9	5016.2
4	1.40867e-05	1.97498e-05	11640.9	2896.38	4105.33
5	1.97498e-05	2.66665e-05	12895.59	4094.13	3194.4599999999996
6	2.66665e-05	3.51142e-05	11385.799999999997	4542.13	3608.3520000000008
7	3.51142e-05	4.54317e-05	8579.934999999998	3917.3	3217.46
8	4.54317e-05	5.80331e-05	5296.585999999998	2842.29	2614.9080000000004
9	5.80331e-05	7.34237e-05	2988.0039999999995	2024.83	1907.394
10	7.34237e-05	9.2221e-05	1993.518	1629.84	1503.9599999999998
11	9.2221e-05	0.000115179	1617.8300000000002	1469.41	1341.6200000000001
12	0.000115179	0.000143219	1508.5059999999996	1416.46	1332.7500000000002
13	0.000143219	0.000177465	1507.5540000000003	1461.12	1425.893
14	0.000177465	0.000219292	1608.2219999999998	1576.29	1622.94
15	0.000219292	0.000270378	1842.1149999999998	1830.55	1905.9940000000004
16	0.000270378	0.00033277	2139.228	2136.9	2215.6839999999997
17	0.00033277	0.000408974	2410.6639999999998	2446.58	2487.8899999999994
18	0.000408974	0.000502045	2613.5660000000007	2629.03	2694.1970000000006
19	0.000502045	0.000615717	2731.4780000000005	2767.01	2771.9480000000003
20	0.000615717	0.000754551	2748.082	2721.61	2722.64
21	0.000754551	0.000924115	2630.0109999999995	2575.13	2567.696
22	0.000924115	0.00113121	2330.9749999999995	2300.84	2272.8740000000003
23	0.00113121	0.00138415	1866.4589999999994	1858.1	1881.3859999999995
24	0.00138415	0.00169308	1389.2279999999996	1421.7	1431.9399999999998
25	0.00169308	0.00207038	1156.8060000000003	1183.84	1194.0710000000001
26	0.00207038	0.0025312	1204.5240000000001	1179.21	1192.53
27	0.0025312	0.00309403	1255.18	1321.24	1304.305
28	0.00309403	0.00378143	1640.371	1321.24	1362.7779999999996
29	0.00378143	0.004621	1683.17	1295.79	1104.2327999999995
30	0.004621	0.0056464	1683.17	1295.79	712.1669999999999
31	0.0056464	inf	1683.17	1295.79	712.167
