time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	2.6932e-06	4447.83	6687.7	5198.090000000001
1	2.6932e-06	5.98254e-06	4447.83	6687.7	5198.090000000001
2	5.98254e-06	9.99997e-06	4447.83	2370.3	5198.090000000001
3	9.99997e-06	1.49067e-05	8077.614999999999	1751.19	5198.090000000001
4	1.49067e-05	2.08994e-05	11838.64	2033.14	3258.7000000000003
5	2.08994e-05	2.82187e-05	13019.799999999997	2680.93	1319.3100000000002
6	2.82187e-05	3.71581e-05	10855.48	2838.14	1797.8129999999999
7	3.71581e-05	4.80762e-05	7747.806999999999	2489.32	1914.9639999999997
8	4.80762e-05	6.1411e-05	4444.826	2093.75	1877.5409999999997
9	6.1411e-05	7.76975e-05	2607.1800000000003	1717.59	1629.1
10	7.76975e-05	9.7589e-05	1846.3759999999997	1458.02	1369.3129999999999
11	9.7589e-05	0.000121883	1578.8880000000001	1325.84	1250.3500000000001
12	0.000121883	0.000151555	1494.8859999999995	1319.16	1280.985
13	0.000151555	0.000187795	1512.128	1451.87	1449.25
14	0.000187795	0.000232057	1674.8859999999997	1660.85	1683.6760000000002
15	0.000232057	0.000286116	1918.7759999999996	1952.38	2019.7160000000003
16	0.000286116	0.00035214	2219.44	2267.36	2322.8399999999997
17	0.00035214	0.000432779	2475.955	2466.33	2571.3700000000003
18	0.000432779	0.000531268	2645.7479999999996	2623.63	2742.6859999999997
19	0.000531268	0.000651557	2752.618	2744.49	2777.997
20	0.000651557	0.000798472	2740.322	2695.79	2692.5930000000003
21	0.000798472	0.000977906	2604.0379999999996	2547.32	2510.3250000000003
22	0.000977906	0.00119706	2267.3820000000005	2210.79	2210.116
23	0.00119706	0.00146472	1667.844	1716.43	1757.6280000000006
24	0.00146472	0.00179163	1261.3000000000002	1306.55	1307.4999999999998
25	0.00179163	0.00219089	1111.03	1146.79	1150.8
26	0.00219089	0.00267854	1248.17	1203.73	1171.9320000000002
27	0.00267854	0.00327413	1647.7690000000002	1396.32	1255.88
28	0.00327413	0.00400154	2492.6900000000005	1396.32	1234.49
29	0.00400154	0.00488997	2492.6900000000005	1189.43	1232.325
30	0.00488997	0.00597506	2492.6900000000005	1189.43	1230.16
31	0.00597506	inf	2492.69	1189.43	1230.16
