time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	2.5658e-06	4428.780000000001	6331.53	5606.329999999999
1	2.5658e-06	5.69953e-06	4428.780000000001	6331.53	5606.329999999999
2	5.69953e-06	9.52691e-06	4428.780000000001	1968.54	5606.329999999999
3	9.52691e-06	1.42015e-05	7243.668	1734.22	5606.329999999999
4	1.42015e-05	1.99108e-05	11466.000000000002	2384.13	4796.97
5	1.99108e-05	2.68838e-05	13184.91	3642.64	3987.61
6	2.68838e-05	3.54003e-05	11386.499999999996	4400.13	3852.6550000000007
7	3.54003e-05	4.58019e-05	8076.4739999999965	3890.66	3251.8799999999997
8	4.58019e-05	5.85059e-05	4990.175	2816.73	2605.0879999999997
9	5.85059e-05	7.4022e-05	2874.9100000000003	2010.48	1924.924
10	7.4022e-05	9.29724e-05	1958.1199999999997	1585.68	1574.976
11	9.29724e-05	0.000116118	1624.0099999999998	1394.7	1380.4010000000003
12	0.000116118	0.000144386	1508.9000000000003	1373.8	1350.2320000000002
13	0.000144386	0.000178911	1504.297	1450.57	1440.416
14	0.000178911	0.000221079	1604.4260000000002	1604.39	1623.7649999999999
15	0.000221079	0.000272581	1842.3429999999998	1873.69	1878.898
16	0.000272581	0.000335482	2169.308	2187.3	2171.145
17	0.000335482	0.000412306	2416.808	2437.03	2450.2039999999997
18	0.000412306	0.000506136	2612.2219999999993	2676.87	2680.0240000000003
19	0.000506136	0.000620734	2718.622	2749.11	2779.075
20	0.000620734	0.000760699	2724.7219999999998	2684.23	2743.6820000000002
21	0.000760699	0.000931645	2608.178	2604.23	2576.83
22	0.000931645	0.00114043	2312.7860000000005	2329.9	2265.967
23	0.00114043	0.00139543	1838.7780000000005	1834.36	1832.8239999999994
24	0.00139543	0.00170687	1323.298	1398.46	1382.89
25	0.00170687	0.00208725	1128.71	1168.53	1202.725
26	0.00208725	0.00255183	1179.3799999999999	1170.23	1218.539
27	0.00255183	0.00311924	1232.4199999999998	1401.31	1335.1609999999996
28	0.00311924	0.00381225	2032.8199999999995	1401.31	1358.2200000000003
29	0.00381225	0.00465865	2032.8199999999995	1024.45	1163.8039999999999
30	0.00465865	0.0056924	2032.8199999999995	1024.45	969.388
31	0.0056924	inf	2032.82	1024.45	969.388
