time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	2.39926e-06	4445.11	5267.16	4706.71
1	2.39926e-06	5.32959e-06	4445.11	5267.16	4706.71
2	5.32959e-06	8.90855e-06	4445.11	1973.08	4706.71
3	8.90855e-06	1.32797e-05	5891.567999999999	2806.6	4706.71
4	1.32797e-05	1.86184e-05	11677.4	4226.32	4141.0779999999995
5	1.86184e-05	2.51388e-05	12922.119999999999	5573.9	3292.6299999999997
6	2.51388e-05	3.31026e-05	11912.600000000002	6126.45	4454.9980000000005
7	3.31026e-05	4.2829e-05	9348.811000000002	5266.25	4207.838000000001
8	4.2829e-05	5.47085e-05	5864.412000000001	3704.84	3285.7860000000005
9	5.47085e-05	6.92174e-05	3263.1520000000005	2487.9	2246.9699999999993
10	6.92174e-05	8.69379e-05	2101.016	1855.9	1684.4900000000005
11	8.69379e-05	0.000108581	1672.976	1586.18	1504.0490000000002
12	0.000108581	0.000135014	1528.0920000000003	1440.9	1426.6250000000002
13	0.000135014	0.000167299	1505.36	1428.34	1435.9280000000003
14	0.000167299	0.00020673	1576.5400000000004	1566.48	1541.6200000000001
15	0.00020673	0.000254888	1754.718	1791.87	1786.6209999999996
16	0.000254888	0.000313707	2037.5860000000002	2089.01	2120.902
17	0.000313707	0.000385545	2323.324	2376.03	2422.5920000000006
18	0.000385545	0.000473284	2564.3189999999995	2594.38	2663.7139999999995
19	0.000473284	0.000580444	2702.2400000000002	2711.54	2761.066
20	0.000580444	0.000711324	2753.011000000001	2720.01	2736.442
21	0.000711324	0.000871175	2710.9479999999994	2644.59	2621.879
22	0.000871175	0.00106641	2451.9739999999997	2455.83	2429.924
23	0.00106641	0.00130486	2004.0580000000004	2006.0	2052.794
24	0.00130486	0.00159608	1508.1459999999997	1507.13	1577.2419999999995
25	0.00159608	0.00195177	1180.3980000000001	1176.39	1172.756
26	0.00195177	0.0023862	1123.432	1117.55	1073.1040000000003
27	0.0023862	0.00291678	1207.18	1549.93	1197.4660000000001
28	0.00291678	0.0035648	1988.9889999999998	1549.93	3207.5299999999997
29	0.0035648	0.00435627	2324.05	644.177	2595.7659799999997
30	0.00435627	0.00532292	2324.05	644.177	39.6366
31	0.00532292	inf	2324.05	644.177	39.6366
