left_time_boundary	im_N1	im_N2	m	M
0.0	9923.221064662072	4930.326430104353	0.0005831774335545694	0.23092804229634445
225.1208	9923.221064662072	4930.326430104353	0.0005831774335545694	0.44192471765544283
500.072	8485.672746660654	4122.186594410573	6.986058484645702e-34	0.44192471765544283
835.88	2494.143127853209	4567.47867725113	3.334853485255181e-51	0.44192471765544283
1246.0240000000001	1811.8477365701292	9496.484412572265	1.675388815234089e-51	0.44192471765544283
1746.9520000000002	1777.8663734125519	16419.506122916082	1.6882247358936508e-50	0.44192471765544283
2358.76	2340.206772977835	16819.19374557726	2.4655211787658503e-05	0.46211351609052886
3105.992	3548.154133792357	18328.875858206942	6.411672222216556e-05	0.5215184765930058
4018.624	5402.261634012424	20222.70395662944	7.458266278727176e-05	0.5948116753841046
5133.264	7746.802511660838	20934.356551894667	0.00010266549749852044	0.6936211050659801
6494.624	10570.225497022528	19089.840140773067	0.00013047911339845273	0.8014744282952693
8157.36	13602.565356466244	15635.858316239139	7.982506796186719e-05	0.8564457241633548
10188.08	14724.718332770211	13524.830247448815	2.7968025237107096e-05	0.8750419147978383
12668.320000000002	13677.792814402457	13932.403250843783	0.0007373119374415813	0.998565168069296
15697.52	9531.264579195527	13191.925084530683	3.174808437289796e-07	0.9985685348287116
19397.28	6882.227992666668	12752.002068376127	4.955602547618184e-05	0.999085301788713
23916.0	5024.8052502109595	12611.220319307908	5.7007883566412145e-05	0.9995124685260866
29434.880000000005	3645.797388066782	12947.209505262575	6.349157151404657e-05	0.999792855347066
36175.44	2943.657811133488	13113.517819559193	6.571182706079863e-05	0.9999297911233127
44407.92	2799.2189692770953	10310.607138171583	5.973017461302396e-05	0.9999788777955201
54462.72000000001	3871.2612870735043	6269.964553541571	4.50254748543301e-05	0.999993010121673
66743.12	4933.5402131435185	5030.341754975906	4.3098990928577244e-05	0.9999980813449564
81741.6	6636.319351301074	6410.969498960819	4.3073711005815576e-05	0.9999996040464977
100060.0	10221.066704631638	9914.141138145622	3.629521069217215e-05	0.9999999219626363
122433.6	15072.357142604227	14848.884207062869	2.006650266976512e-05	0.9999999739366716
149759.2	18019.706920640823	17931.329874753097	1.1683902355675144e-05	0.999999988051057
183133.6	17081.360951810944	17205.254247958725	1.0016401132220483e-05	0.9999999947192203
223895.2	16685.16661367227	16791.547681876065	3.646761535799982e-06	0.9999999963271314
273679.2	16685.16661367227	16791.547681876065	3.646761535799982e-06	0.9999999976427454
334483.19999999995	15894.061946863067	16019.58437963399	2.395980258024523e-07	0.9999999977251562
408745.6	15894.061946863067	16019.58437963399	2.395980258024523e-07	0.999999997821911
499446.4	15894.061946863067	16019.58437963399	2.395980258024523e-07	0.9999999989376859
