time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	2.55036e-06	3522.14	6108.78	4844.96
1	2.55036e-06	5.66525e-06	3522.14	6108.78	4844.96
2	5.66525e-06	9.46961e-06	3522.14	1849.55	4844.96
3	9.46961e-06	1.41161e-05	9774.77	1950.84	4844.96
4	1.41161e-05	1.9791e-05	16027.4	2950.16	4040.4300000000007
5	1.9791e-05	2.67221e-05	16837.6	4040.44	3235.900000000001
6	2.67221e-05	3.51874e-05	12368.639999999996	4446.02	3788.716000000001
7	3.51874e-05	4.55264e-05	8227.000999999998	3870.13	3265.705
8	4.55264e-05	5.8154e-05	5296.214	2876.7	2445.539
9	5.8154e-05	7.35768e-05	3286.9460000000004	2047.1	1859.0369999999998
10	7.35768e-05	9.24133e-05	2205.996	1604.47	1530.87
11	9.24133e-05	0.000115419	1638.6450000000004	1410.51	1402.3
12	0.000115419	0.000143518	1433.3460000000002	1350.0	1382.5399999999997
13	0.000143518	0.000177835	1398.99	1410.36	1449.752
14	0.000177835	0.000219749	1543.0240000000003	1597.39	1618.3660000000002
15	0.000219749	0.000270941	1855.191	1885.52	1893.3419999999999
16	0.000270941	0.000333464	2154.132	2202.91	2213.402
17	0.000333464	0.000409826	2424.438	2464.5	2509.7119999999995
18	0.000409826	0.000503092	2618.238	2634.69	2680.254
19	0.000503092	0.000617001	2720.2710000000006	2709.69	2752.0380000000005
20	0.000617001	0.000756124	2723.563	2690.88	2712.3940000000007
21	0.000756124	0.000926042	2614.3700000000003	2586.49	2582.674
22	0.000926042	0.00113357	2348.9719999999998	2336.1	2314.09
23	0.00113357	0.00138704	1874.5850000000003	1890.41	1894.538
24	0.00138704	0.00169661	1407.9380000000003	1432.15	1445.2930000000001
25	0.00169661	0.0020747	1180.915	1181.94	1184.614
26	0.0020747	0.00253648	1206.8649999999998	1172.94	1170.166
27	0.00253648	0.00310048	1280.02	1421.36	1311.0939999999996
28	0.00310048	0.00378932	1666.93	1421.36	1459.9199999999998
29	0.00378932	0.00463063	1666.93	764.305	1165.0196
30	0.00463063	0.00565817	1666.93	764.305	722.6689999999998
31	0.00565817	inf	1666.93	764.305	722.669
