time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	2.74355e-06	3531.6800000000007	6907.67	7565.58
1	2.74355e-06	6.09437e-06	3531.6800000000007	6907.67	7565.58
2	6.09437e-06	1.01869e-05	3531.6800000000007	3054.78	7565.58
3	1.01869e-05	1.51853e-05	10937.792000000001	1850.74	7565.58
4	1.51853e-05	2.12901e-05	16206.460000000003	1714.43	4458.035
5	2.12901e-05	2.87462e-05	16421.170000000002	2067.89	3064.87
6	2.87462e-05	3.78527e-05	11397.099999999999	2327.07	2819.4300000000003
7	3.78527e-05	4.89749e-05	7384.342	2112.5	2246.3900000000003
8	4.89749e-05	6.2559e-05	4450.879999999999	1741.64	1888.204
9	6.2559e-05	7.91499e-05	2810.224	1502.21	1621.355
10	7.91499e-05	9.94132e-05	1965.7569999999996	1389.26	1443.3980000000001
11	9.94132e-05	0.000124162	1516.532	1341.76	1358.4660000000001
12	0.000124162	0.000154388	1399.7260000000003	1362.82	1388.642
13	0.000154388	0.000191306	1447.647	1468.39	1529.5600000000002
14	0.000191306	0.000236395	1657.405	1676.73	1764.7440000000001
15	0.000236395	0.000291464	1943.3799999999997	1971.76	2052.774
16	0.000291464	0.000358723	2255.08	2286.24	2342.464
17	0.000358723	0.000440869	2495.218	2538.21	2590.521
18	0.000440869	0.000541199	2666.9630000000006	2677.33	2719.199
19	0.000541199	0.000663736	2730.1650000000004	2711.66	2727.446
20	0.000663736	0.000813397	2703.641000000001	2667.83	2680.6099999999997
21	0.000813397	0.000996186	2536.345	2515.01	2553.0539999999996
22	0.000996186	0.00121943	2163.396	2177.54	2157.212
23	0.00121943	0.0014921	1701.7600000000002	1701.42	1659.3479999999997
24	0.0014921	0.00182512	1315.185	1299.16	1262.766
25	0.00182512	0.00223185	1148.9950000000001	1132.78	1086.1940000000002
26	0.00223185	0.00272861	1237.4199999999998	1211.09	1173.9659999999997
27	0.00272861	0.00333533	1517.6400000000003	1501.0	1587.762
28	0.00333533	0.00407634	1797.8600000000004	1501.0	1961.82
29	0.00407634	0.00498138	1797.8600000000004	771.272	686.9079999999999
30	0.00498138	0.00608675	1797.8600000000004	771.272	368.1799999999999
31	0.00608675	inf	1797.86	771.272	368.18
