time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	2.33979e-06	3559.8	4943.23	6512.790000000001
1	2.33979e-06	5.19748e-06	3559.8	4943.23	6512.790000000001
2	5.19748e-06	8.68773e-06	3559.8	1634.07	6512.790000000001
3	8.68773e-06	1.29505e-05	6014.08	2626.47	6512.790000000001
4	1.29505e-05	1.81569e-05	15831.200000000004	4585.13	5100.876
5	1.81569e-05	2.45157e-05	16589.359999999997	6719.5	4361.162
6	2.45157e-05	3.2282e-05	14091.5	7105.32	6175.22
7	3.2282e-05	4.17674e-05	10068.197	5922.01	5224.144
8	4.17674e-05	5.33524e-05	6398.220000000001	4250.24	3878.7149999999997
9	5.33524e-05	6.75017e-05	3880.648	2741.72	2649.368
10	6.75017e-05	8.47829e-05	2501.5580000000004	1999.99	1856.2000000000003
11	8.47829e-05	0.000105889	1775.0	1627.79	1537.051
12	0.000105889	0.000131668	1483.894	1465.9	1392.956
13	0.000131668	0.000163152	1395.126	1441.58	1389.9289999999999
14	0.000163152	0.000201605	1480.5060000000003	1528.41	1543.8539999999998
15	0.000201605	0.00024857	1698.8610000000003	1772.31	1795.8899999999999
16	0.00024857	0.000305931	1994.1519999999996	2081.26	2109.243
17	0.000305931	0.000375988	2337.4919999999997	2335.75	2378.58
18	0.000375988	0.000461552	2530.64	2523.15	2586.206
19	0.000461552	0.000566056	2662.615	2639.19	2686.0640000000003
20	0.000566056	0.000693692	2707.1109999999994	2702.4	2690.84
21	0.000693692	0.00084958	2647.236	2649.66	2640.8539999999994
22	0.00084958	0.00103997	2432.8540000000003	2384.13	2499.762
23	0.00103997	0.00127251	2054.9249999999997	2060.4	2112.05
24	0.00127251	0.00155652	1602.8310000000001	1616.24	1626.7699999999998
25	0.00155652	0.00190339	1263.9579999999996	1240.64	1239.0799999999997
26	0.00190339	0.00232705	1261.018	1120.75	1081.5399999999997
27	0.00232705	0.00284448	1430.7400000000005	1222.29	1148.8960000000002
28	0.00284448	0.00347644	1247.2630000000004	1222.29	1252.4
29	0.00347644	0.00424829	1168.6300000000003	1348.56	1533.6460000000002
30	0.00424829	0.00519098	1168.6300000000003	1348.56	1654.1800000000003
31	0.00519098	inf	1168.63	1348.56	1654.18
