time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	2.58516e-06	8713.31	6161.17	5027.53
1	2.58516e-06	5.74255e-06	8713.31	6161.17	5027.53
2	5.74255e-06	9.59883e-06	8713.31	1897.16	5027.53
3	9.59883e-06	1.43087e-05	14904.341999999995	1856.64	5027.53
4	1.43087e-05	2.00611e-05	19849.660000000003	2678.75	4126.715
5	2.00611e-05	2.70867e-05	20081.620000000006	3935.6	3225.900000000001
6	2.70867e-05	3.56675e-05	15009.039999999999	4402.16	3586.7729999999992
7	3.56675e-05	4.61476e-05	9364.46	3671.3	3206.0750000000007
8	4.61476e-05	5.89475e-05	4944.1810000000005	2633.86	2542.2650000000003
9	5.89475e-05	7.45807e-05	2935.9649999999997	1924.22	1884.3479999999995
10	7.45807e-05	9.36742e-05	1987.772	1557.36	1503.368
11	9.36742e-05	0.000116994	1572.0550000000003	1399.5	1344.5900000000001
12	0.000116994	0.000145476	1410.3840000000002	1360.97	1336.6660000000004
13	0.000145476	0.000180262	1415.8699999999997	1419.98	1420.5359999999998
14	0.000180262	0.000222748	1557.9049999999995	1592.02	1620.662
15	0.000222748	0.000274638	1835.3319999999999	1862.28	1907.5059999999999
16	0.000274638	0.000338014	2121.772	2162.7	2245.775
17	0.000338014	0.000415419	2346.4500000000003	2424.28	2512.438
18	0.000415419	0.000509956	2532.6889999999994	2616.64	2696.466
19	0.000509956	0.00062542	2670.9879999999994	2716.98	2775.193
20	0.00062542	0.000766441	2732.578	2711.18	2718.402
21	0.000766441	0.000938677	2665.8500000000004	2593.82	2579.1799999999994
22	0.000938677	0.00114904	2391.929	2300.05	2289.71
23	0.00114904	0.00140596	1846.6640000000004	1838.2	1858.2980000000005
24	0.00140596	0.00171976	1321.1799999999998	1399.14	1383.8639999999998
25	0.00171976	0.00210301	1093.085	1170.07	1185.472
26	0.00210301	0.00257109	1059.03	1197.75	1188.9219999999998
27	0.00257109	0.00314278	2245.662	1534.3	1304.134
28	0.00314278	0.00384102	2377.51	1534.3	1351.0999999999997
29	0.00384102	0.00469381	2377.51	627.701	1091.5688
30	0.00469381	0.00573537	2377.51	627.701	702.2720000000003
31	0.00573537	inf	2377.51	627.701	702.272
