time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	2.58427e-06	8807.09	6220.41	5037.59
1	2.58427e-06	5.74057e-06	8807.09	6220.41	5037.59
2	5.74057e-06	9.59552e-06	8807.09	1941.96	5037.59
3	9.59552e-06	1.43037e-05	14860.617999999999	1751.11	5037.59
4	1.43037e-05	2.00541e-05	19482.0	2484.19	4287.094999999999
5	2.00541e-05	2.70774e-05	19759.12	3886.25	3536.599999999999
6	2.70774e-05	3.56552e-05	15063.909999999998	4537.18	3793.2710000000006
7	3.56552e-05	4.61317e-05	9455.24	3889.65	3184.1040000000007
8	4.61317e-05	5.89272e-05	5221.754	2689.33	2495.871000000001
9	5.89272e-05	7.4555e-05	2926.257000000001	1932.61	1800.014
10	7.4555e-05	9.36419e-05	1969.568	1561.22	1463.0300000000002
11	9.36419e-05	0.000116954	1557.945	1386.76	1379.675
12	0.000116954	0.000145426	1400.0559999999998	1314.14	1381.9479999999999
13	0.000145426	0.0001802	1410.194	1366.11	1446.7339999999997
14	0.0001802	0.000222671	1557.938	1586.09	1611.7779999999998
15	0.000222671	0.000274543	1837.9479999999999	1857.44	1936.706
16	0.000274543	0.000337898	2121.784	2163.61	2257.005
17	0.000337898	0.000415275	2341.825	2443.85	2514.634
18	0.000415275	0.00050978	2526.909	2646.41	2679.446
19	0.00050978	0.000625204	2672.7889999999993	2692.25	2733.9589999999994
20	0.000625204	0.000766177	2733.783	2713.24	2704.4690000000005
21	0.000766177	0.000938354	2649.3700000000003	2557.14	2568.8499999999995
22	0.000938354	0.00114864	2363.84	2307.23	2314.3360000000002
23	0.00114864	0.00140548	1832.5059999999999	1823.4	1890.6759999999995
24	0.00140548	0.00171916	1327.17	1426.49	1383.4279999999997
25	0.00171916	0.00210228	1107.075	1126.44	1152.708
26	0.00210228	0.0025702	1073.18	1132.54	1128.5459999999998
27	0.0025702	0.0031417	2227.664	1325.37	1215.1499999999999
28	0.0031417	0.0038397	2355.94	1325.37	1341.8000000000004
29	0.0038397	0.0046922	2355.94	1558.34	1762.1800000000003
30	0.0046922	0.00573339	2355.94	1558.34	2182.5600000000004
31	0.00573339	inf	2355.94	1558.34	2182.56
