time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	2.77149e-06	9081.3	6839.2	7491.87
1	2.77149e-06	6.15646e-06	9081.3	6839.2	7491.87
2	6.15646e-06	1.02907e-05	9081.3	2975.24	7491.87
3	1.02907e-05	1.534e-05	16458.1	1846.76	7491.87
4	1.534e-05	2.1507e-05	19684.889999999996	1776.91	4464.979
5	2.1507e-05	2.9039e-05	18355.499999999996	2100.84	3101.8299999999995
6	2.9039e-05	3.82383e-05	13570.100000000002	2283.09	2838.19
7	3.82383e-05	4.94738e-05	8224.11	1997.38	2250.0620000000004
8	4.94738e-05	6.31963e-05	4570.455000000001	1659.04	1885.4700000000007
9	6.31963e-05	7.99562e-05	2617.052	1456.08	1621.2050000000004
10	7.99562e-05	0.000100426	1825.189	1344.55	1434.4850000000004
11	0.000100426	0.000125427	1489.7100000000005	1307.31	1362.322
12	0.000125427	0.000155961	1378.067	1337.2	1398.3650000000002
13	0.000155961	0.000193255	1453.068	1461.2	1528.7300000000002
14	0.000193255	0.000238803	1658.7799999999995	1685.59	1762.4560000000001
15	0.000238803	0.000294433	1911.3899999999994	1976.8	2050.0750000000003
16	0.000294433	0.000362377	2189.217	2273.67	2340.6859999999997
17	0.000362377	0.000445361	2438.1209999999996	2522.5	2612.329
18	0.000445361	0.000546712	2628.9030000000002	2617.97	2723.914
19	0.000546712	0.000670498	2735.54	2706.69	2727.8249999999994
20	0.000670498	0.000821684	2726.614000000001	2662.12	2671.977
21	0.000821684	0.00100633	2572.6659999999993	2496.98	2549.0659999999993
22	0.00100633	0.00123186	2095.069	2141.24	2161.8039999999996
23	0.00123186	0.0015073	1615.16	1670.17	1667.332
24	0.0015073	0.00184371	1306.7649999999999	1248.78	1263.2559999999999
25	0.00184371	0.00225458	1491.4420000000002	1103.91	1075.9600000000003
26	0.00225458	0.00275641	1377.1480000000001	1205.26	1154.574
27	0.00275641	0.00336931	1049.03	1716.16	1791.834
28	0.00336931	0.00411787	1049.03	1716.16	2496.36
29	0.00411787	0.00503213	1049.03	458.96	641.5984
30	0.00503213	0.00614876	1049.03	458.96	177.90799999999993
31	0.00614876	inf	1049.03	458.96	177.908
