time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	2.80605e-06	4451.58	6510.08	6967.150000000001
1	2.80605e-06	6.23322e-06	4451.58	6510.08	6967.150000000001
2	6.23322e-06	1.0419e-05	4451.58	3280.03	6967.150000000001
3	1.0419e-05	1.55313e-05	8866.511999999999	2239.08	6967.150000000001
4	1.55313e-05	2.17752e-05	12062.06	2043.79	3653.4199999999983
5	2.17752e-05	2.94011e-05	13071.100000000004	1820.55	2195.782
6	2.94011e-05	3.87151e-05	10587.5	1569.47	2045.9099999999999
7	3.87151e-05	5.00907e-05	6917.947999999999	1401.74	1815.1339999999998
8	5.00907e-05	6.39843e-05	4149.388000000001	1282.09	1558.9239999999998
9	6.39843e-05	8.09532e-05	2470.82	1235.59	1370.2249999999997
10	8.09532e-05	0.000101678	1792.1140000000003	1255.74	1338.2849999999999
11	0.000101678	0.000126991	1540.943	1295.79	1402.3999999999999
12	0.000126991	0.000157906	1485.4130000000002	1360.07	1503.4150000000002
13	0.000157906	0.000195664	1539.0900000000001	1530.44	1609.6149999999998
14	0.000195664	0.000241781	1722.4099999999996	1728.06	1796.0179999999998
15	0.000241781	0.000298105	1977.5799999999997	1994.69	2052.452
16	0.000298105	0.000366896	2273.146	2305.72	2331.918
17	0.000366896	0.000450914	2517.085	2549.38	2610.415
18	0.000450914	0.000553529	2687.1659999999997	2701.18	2757.0250000000005
19	0.000553529	0.000678859	2750.702	2732.11	2789.165
20	0.000678859	0.00083193	2725.694000000001	2661.95	2713.001
21	0.00083193	0.00101888	2572.926	2483.18	2536.3639999999996
22	0.00101888	0.00124722	2128.994	2130.22	2103.452
23	0.00124722	0.00152609	1618.7780000000005	1640.95	1631.3080000000004
24	0.00152609	0.0018667	1242.3319999999999	1252.07	1260.9520000000002
25	0.0018667	0.0022827	1112.408	1114.64	1078.9360000000001
26	0.0022827	0.00279078	1255.47	1189.23	1109.2540000000001
27	0.00279078	0.00341132	1606.435	1471.19	1805.562
28	0.00341132	0.00416922	1957.4	1471.19	2660.8199999999993
29	0.00416922	0.00509488	1957.4	879.165	637.472
30	0.00509488	0.00622543	1957.4	879.165	131.635
31	0.00622543	inf	1957.4	879.165	131.635
