time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	2.80846e-06	4414.89	6327.27	10119.5
1	2.80846e-06	6.23856e-06	4414.89	6327.27	10119.5
2	6.23856e-06	1.04279e-05	4414.89	3368.89	10119.5
3	1.04279e-05	1.55446e-05	8799.635999999999	2264.25	10119.5
4	1.55446e-05	2.17938e-05	12181.109999999997	1956.81	2052.1700000000005
5	2.17938e-05	2.94263e-05	13250.499999999998	1838.65	2064.3749999999995
6	2.94263e-05	3.87483e-05	10634.9	1577.88	2034.8099999999995
7	3.87483e-05	5.01336e-05	6902.249000000002	1384.08	1867.7299999999996
8	5.01336e-05	6.40391e-05	4133.95	1256.05	1609.0609999999995
9	6.40391e-05	8.10226e-05	2473.208	1253.16	1532.904
10	8.10226e-05	0.000101765	1750.9619999999998	1256.17	1469.9379999999996
11	0.000101765	0.000127099	1547.311	1276.86	1414.896
12	0.000127099	0.000158041	1488.0059999999999	1346.65	1427.4979999999998
13	0.000158041	0.000195832	1553.298	1523.7	1559.0020000000002
14	0.000195832	0.000241988	1723.7859999999998	1758.83	1840.447
15	0.000241988	0.00029836	1977.9850000000001	2024.39	2144.162
16	0.00029836	0.00036721	2270.333	2306.47	2432.9900000000002
17	0.00036721	0.0004513	2509.88	2537.86	2645.3420000000006
18	0.0004513	0.000554004	2681.037999999999	2674.26	2769.2609999999995
19	0.000554004	0.00067944	2746.302	2714.92	2819.341
20	0.00067944	0.000832642	2727.978	2675.85	2764.903999999999
21	0.000832642	0.00101976	2591.946	2515.16	2548.2560000000003
22	0.00101976	0.00124829	2140.606	2090.26	2128.85
23	0.00124829	0.0015274	1601.218	1623.16	1607.3500000000004
24	0.0015274	0.0018683	1207.408	1236.72	1168.108
25	0.0018683	0.00228465	1070.6560000000002	1099.48	1064.692
26	0.00228465	0.00279317	1233.95	1224.01	1197.1240000000003
27	0.00279317	0.00341424	2126.39	2534.47	2896.316
28	0.00341424	0.00417279	3018.8299999999995	2534.47	2311.8665939999996
29	0.00417279	0.00509924	3018.8299999999995	34.0038	2.3719800000000006
30	0.00509924	0.00623076	3018.8299999999995	34.0038	2.3719800000000006
31	0.00623076	inf	3018.83	34.0038	2.37198
