time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	2.81401e-06	3525.5099999999998	6501.48	7058.050000000002
1	2.81401e-06	6.2509e-06	3525.5099999999998	6501.48	7058.050000000002
2	6.2509e-06	1.04485e-05	3525.5099999999998	3425.78	7058.050000000002
3	1.04485e-05	1.55753e-05	12268.153	2151.54	7058.050000000002
4	1.55753e-05	2.18369e-05	16352.199999999997	1824.17	3680.7460000000005
5	2.18369e-05	2.94845e-05	15729.179999999997	1676.93	2196.2160000000003
6	2.94845e-05	3.88249e-05	11213.899999999996	1609.42	2047.7600000000004
7	3.88249e-05	5.02328e-05	6927.820000000001	1456.0	1796.1290000000001
8	5.02328e-05	6.41658e-05	4208.159999999999	1292.96	1536.4840000000004
9	6.41658e-05	8.11828e-05	2668.2400000000002	1267.77	1377.4999999999998
10	8.11828e-05	0.000101967	1855.0870000000002	1283.07	1341.1450000000002
11	0.000101967	0.000127351	1500.9219999999998	1275.44	1412.6600000000003
12	0.000127351	0.000158354	1393.6360000000002	1322.76	1500.0700000000004
13	0.000158354	0.000196219	1452.1340000000002	1482.26	1603.6300000000003
14	0.000196219	0.000242466	1674.7160000000003	1734.58	1792.01
15	0.000242466	0.00029895	1969.9370000000001	2029.17	2055.2680000000005
16	0.00029895	0.000367936	2286.113	2313.93	2369.62
17	0.000367936	0.000452193	2539.5	2534.76	2641.8979999999997
18	0.000452193	0.000555099	2685.0159999999996	2648.93	2771.406
19	0.000555099	0.000680784	2742.2799999999993	2746.01	2796.145000000001
20	0.000680784	0.000834289	2704.3160000000007	2701.74	2714.7080000000005
21	0.000834289	0.00102177	2479.3579999999997	2551.67	2537.0240000000003
22	0.00102177	0.00125075	2097.642	2076.18	2105.2419999999997
23	0.00125075	0.00153042	1639.5720000000001	1611.16	1630.6139999999998
24	0.00153042	0.00187199	1269.8760000000002	1251.23	1247.9099999999999
25	0.00187199	0.00228917	1131.8220000000001	1111.72	1052.1060000000002
26	0.00228917	0.00279869	1222.79	1189.82	1087.878
27	0.00279869	0.00342099	1669.9400000000003	1461.56	2544.54
28	0.00342099	0.00418104	1968.0400000000004	1461.56	3852.01
29	0.00418104	0.00510932	1968.0400000000004	786.822	403.10875000000016
30	0.00510932	0.00624308	1968.0400000000004	786.822	19.897500000000004
31	0.00624308	inf	1968.04	786.822	19.8975
