time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	2.58844e-06	3631.27	6548.52	4782.41
1	2.58844e-06	5.74983e-06	3631.27	6548.52	4782.41
2	5.74983e-06	9.61099e-06	3631.27	2031.28	4782.41
3	9.61099e-06	1.43268e-05	9725.385	1713.36	4782.41
4	1.43268e-05	2.00865e-05	15924.850000000002	2423.52	4179.079999999999
5	2.00865e-05	2.71211e-05	16872.999999999996	3652.46	3575.749999999999
6	2.71211e-05	3.57127e-05	11916.880000000003	4255.81	4003.88
7	3.57127e-05	4.62061e-05	8265.137	3673.31	3320.345
8	4.62061e-05	5.90223e-05	5020.503999999999	2583.43	2314.944
9	5.90223e-05	7.46752e-05	3288.783999999999	1848.06	1642.1789999999999
10	7.46752e-05	9.3793e-05	2134.199	1521.9	1341.777
11	9.3793e-05	0.000117142	1640.9120000000003	1388.97	1290.18
12	0.000117142	0.00014566	1420.0660000000003	1350.05	1327.7030000000004
13	0.00014566	0.00018049	1400.742	1427.59	1430.7610000000002
14	0.00018049	0.00022303	1580.26	1628.83	1653.7860000000003
15	0.00022303	0.000274986	1854.5010000000002	1914.87	1959.041
16	0.000274986	0.000338443	2178.9999999999995	2218.6	2295.5499999999997
17	0.000338443	0.000415945	2444.9790000000003	2467.96	2522.3879999999995
18	0.000415945	0.000510603	2621.124	2626.75	2647.8849999999998
19	0.000510603	0.000626212	2736.754	2697.43	2702.694
20	0.000626212	0.000767412	2727.7940000000003	2691.28	2691.1740000000004
21	0.000767412	0.000939867	2610.2540000000004	2589.45	2590.986
22	0.000939867	0.00115049	2333.8379999999997	2310.88	2336.052
23	0.00115049	0.00140774	1813.1680000000003	1838.1	1890.4599999999998
24	0.00140774	0.00172193	1391.7	1378.06	1351.2020000000002
25	0.00172193	0.00210567	1170.276	1138.99	1108.7540000000001
26	0.00210567	0.00257435	1199.7440000000001	1142.89	1101.608
27	0.00257435	0.00314677	1304.8999999999999	1375.88	1323.6440000000002
28	0.00314677	0.00384589	1656.9399999999998	1375.88	2596.309999999999
29	0.00384589	0.00469976	1656.9399999999998	1100.25	1593.5953999999997
30	0.00469976	0.00574264	1656.9399999999998	1100.25	89.52349999999997
31	0.00574264	inf	1656.94	1100.25	89.5235
