time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	2.54841e-06	8771.490000000002	6259.21	5789.69
1	2.54841e-06	5.66091e-06	8771.490000000002	6259.21	5789.69
2	5.66091e-06	9.46235e-06	8771.490000000002	1806.89	5789.69
3	9.46235e-06	1.41052e-05	14969.658	1668.15	5789.69
4	1.41052e-05	1.97758e-05	18912.5	2463.75	4571.726
5	1.97758e-05	2.67016e-05	19935.7	3924.1	3759.7499999999995
6	2.67016e-05	3.51604e-05	15459.899999999998	4907.75	4876.96
7	3.51604e-05	4.54915e-05	9418.4	4160.34	3986.9099999999994
8	4.54915e-05	5.81095e-05	5224.085999999999	2960.04	3096.0519999999997
9	5.81095e-05	7.35204e-05	3043.7360000000003	2127.52	2142.133
10	7.35204e-05	9.23424e-05	2026.8620000000003	1678.36	1643.9639999999997
11	9.23424e-05	0.000115331	1590.68	1421.61	1409.0299999999995
12	0.000115331	0.000143408	1413.7650000000003	1327.1	1367.244
13	0.000143408	0.000177699	1411.9519999999998	1374.86	1464.9630000000004
14	0.000177699	0.000219581	1542.0199999999998	1550.99	1654.7899999999997
15	0.000219581	0.000270734	1788.5469999999998	1852.99	1917.0949999999998
16	0.000270734	0.000333209	2097.11	2167.66	2204.498
17	0.000333209	0.000409512	2345.81	2432.78	2451.8320000000003
18	0.000409512	0.000502706	2540.0150000000003	2606.92	2638.432
19	0.000502706	0.000616528	2668.1619999999994	2695.82	2719.2999999999997
20	0.000616528	0.000755544	2732.8740000000007	2709.48	2695.171999999999
21	0.000755544	0.000925332	2658.206	2619.46	2590.622
22	0.000925332	0.0011327	2401.1540000000005	2332.92	2347.8819999999996
23	0.0011327	0.00138597	1935.022	1851.44	1882.3489999999997
24	0.00138597	0.0016953	1331.842	1390.9	1413.9720000000002
25	0.0016953	0.00207311	1112.1049999999998	1151.67	1165.824
26	0.00207311	0.00253454	1085.3999999999999	1163.59	1132.6039999999998
27	0.00253454	0.0030981	2534.5710000000004	1590.6	1383.16
28	0.0030981	0.00378641	2695.5900000000006	1590.6	1736.6000000000004
29	0.00378641	0.00462708	2695.5900000000006	767.101	992.1025999999998
30	0.00462708	0.00565383	2695.5900000000006	767.101	495.77099999999996
31	0.00565383	inf	2695.59	767.101	495.771
