time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	2.62192e-06	8814.309999999998	6452.63	6444.989999999999
1	2.62192e-06	5.8242e-06	8814.309999999998	6452.63	6444.989999999999
2	5.8242e-06	9.7353e-06	8814.309999999998	1986.27	6444.989999999999
3	9.7353e-06	1.45121e-05	15377.190999999995	1714.15	6444.989999999999
4	1.45121e-05	2.03463e-05	19398.059999999998	2448.65	4137.4439999999995
5	2.03463e-05	2.74718e-05	19801.02	3588.93	2599.0799999999995
6	2.74718e-05	3.61746e-05	15081.24	4099.96	3369.04
7	3.61746e-05	4.68038e-05	8945.412000000002	3429.04	2803.545000000001
8	4.68038e-05	5.97857e-05	4958.434	2381.72	2223.6260000000007
9	5.97857e-05	7.56411e-05	2806.8480000000004	1745.76	1649.9240000000004
10	7.56411e-05	9.50061e-05	1960.8140000000003	1449.19	1476.3860000000002
11	9.50061e-05	0.000118658	1554.2400000000002	1342.97	1400.8339999999996
12	0.000118658	0.000147544	1395.4819999999995	1349.78	1367.3559999999995
13	0.000147544	0.000182825	1419.994	1438.43	1435.3619999999999
14	0.000182825	0.000225915	1582.0870000000002	1615.1	1629.448
15	0.000225915	0.000278543	1861.354	1881.68	1935.0549999999996
16	0.000278543	0.00034282	2120.0040000000004	2185.73	2272.63
17	0.00034282	0.000421325	2359.506	2452.8	2540.1500000000005
18	0.000421325	0.000517207	2542.09	2631.19	2705.228
19	0.000517207	0.000634312	2684.422000000001	2708.96	2753.57
20	0.000634312	0.000777338	2718.598	2701.75	2712.2659999999996
21	0.000777338	0.000952024	2623.6960000000004	2594.65	2573.1739999999995
22	0.000952024	0.00116538	2337.7	2308.57	2283.2059999999997
23	0.00116538	0.00142595	1771.3540000000003	1833.83	1805.4490000000003
24	0.00142595	0.00174421	1325.8660000000002	1373.24	1364.784
25	0.00174421	0.00213291	1105.684	1135.63	1159.7939999999999
26	0.00213291	0.00260765	1068.28	1137.7	1161.9419999999998
27	0.00260765	0.00318747	2190.78	1344.81	1355.6280000000002
28	0.00318747	0.00389563	2190.78	1344.81	1569.3000000000004
29	0.00389563	0.00476055	2190.78	1469.14	961.0020000000002
30	0.00476055	0.00581692	2190.78	1469.14	555.4700000000001
31	0.00581692	inf	2190.78	1469.14	555.47
