time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	2.69262e-06	9139.539999999999	6729.58	5225.919999999999
1	2.69262e-06	5.98125e-06	9139.539999999999	6729.58	5225.919999999999
2	5.98125e-06	9.99781e-06	9139.539999999999	2189.54	5225.919999999999
3	9.99781e-06	1.49034e-05	15429.873999999996	1717.96	5225.919999999999
4	1.49034e-05	2.08949e-05	19806.739999999998	2139.79	3695.75
5	2.08949e-05	2.82126e-05	19271.15	2951.83	2165.58
6	2.82126e-05	3.71501e-05	14490.060000000003	3221.89	2245.392
7	3.71501e-05	4.80658e-05	8586.584	2734.09	2040.09
8	4.80658e-05	6.13978e-05	4742.976	2066.78	1771.823
9	6.13978e-05	7.76807e-05	2705.585	1605.96	1452.5240000000001
10	7.76807e-05	9.75679e-05	1866.76	1401.87	1345.098
11	9.75679e-05	0.000121857	1510.9349999999995	1345.34	1332.9309999999998
12	0.000121857	0.000151523	1388.7259999999999	1360.52	1349.625
13	0.000151523	0.000187755	1425.835	1443.76	1472.9360000000001
14	0.000187755	0.000232007	1621.5159999999996	1631.26	1679.7100000000003
15	0.000232007	0.000286054	1890.2519999999997	1889.43	2002.0059999999996
16	0.000286054	0.000352064	2169.204	2208.6	2310.075
17	0.000352064	0.000432686	2386.072	2470.79	2565.308
18	0.000432686	0.000531153	2583.4970000000008	2702.2	2727.1880000000006
19	0.000531153	0.000651416	2707.5840000000003	2752.03	2756.0399999999995
20	0.000651416	0.000798299	2720.7000000000007	2660.29	2683.976
21	0.000798299	0.000977694	2596.427	2549.54	2516.0750000000003
22	0.000977694	0.0011968	2247.5750000000003	2221.59	2221.756
23	0.0011968	0.0014644	1734.9350000000004	1743.67	1769.3360000000002
24	0.0014644	0.00179124	1346.18	1313.55	1323.4079999999997
25	0.00179124	0.00219042	1215.816	1126.23	1153.9160000000002
26	0.00219042	0.00267796	1262.586	1167.4	1159.1119999999999
27	0.00267796	0.00327342	1472.61	1350.16	1271.4120000000003
28	0.00327342	0.00400068	1472.61	1350.16	1371.8000000000004
29	0.00400068	0.00488892	1472.61	1318.27	1748.9550000000004
30	0.00488892	0.00597377	1472.61	1318.27	2126.1100000000006
31	0.00597377	inf	1472.61	1318.27	2126.11
