time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	2.63187e-06	8727.039999999999	6556.59	4719.61
1	2.63187e-06	5.8463e-06	8727.039999999999	6556.59	4719.61
2	5.8463e-06	9.77225e-06	8727.039999999999	2003.6	4719.61
3	9.77225e-06	1.45672e-05	15675.903999999997	1636.72	4719.61
4	1.45672e-05	2.04235e-05	19413.2	2358.38	4033.3239999999996
5	2.04235e-05	2.75761e-05	19623.12	3584.03	3575.7999999999997
6	2.75761e-05	3.63119e-05	15019.859999999999	4027.97	4054.0799999999995
7	3.63119e-05	4.69814e-05	9051.851	3429.24	3177.1620000000007
8	4.69814e-05	6.00126e-05	5013.115	2450.15	2224.2020000000007
9	6.00126e-05	7.59281e-05	2832.604	1753.59	1606.9120000000003
10	7.59281e-05	9.53666e-05	1925.3400000000006	1448.4	1342.095
11	9.53666e-05	0.000119108	1537.8620000000003	1352.71	1293.188
12	0.000119108	0.000148104	1396.1460000000002	1328.48	1327.79
13	0.000148104	0.000183519	1416.8860000000002	1407.71	1450.2960000000003
14	0.000183519	0.000226772	1575.9579999999999	1603.88	1681.6600000000003
15	0.000226772	0.0002796	1853.9120000000003	1897.63	1987.8960000000004
16	0.0002796	0.000344121	2139.545	2220.11	2292.395
17	0.000344121	0.000422924	2367.4	2442.39	2534.8669999999997
18	0.000422924	0.00051917	2562.5200000000004	2598.26	2651.6919999999996
19	0.00051917	0.000636719	2711.9779999999996	2728.74	2702.2779999999993
20	0.000636719	0.000780288	2739.25	2705.72	2684.2570000000005
21	0.000780288	0.000955636	2625.712	2586.43	2575.4750000000004
22	0.000955636	0.0011698	2321.7879999999996	2276.37	2307.863
23	0.0011698	0.00143136	1760.156	1782.42	1817.6790000000003
24	0.00143136	0.00175083	1335.8880000000001	1333.35	1342.573
25	0.00175083	0.002141	1158.768	1114.65	1122.415
26	0.002141	0.00261754	1141.74	1125.45	1132.7459999999999
27	0.00261754	0.00319956	1788.9699999999996	1444.36	1395.18
28	0.00319956	0.00391042	1788.9699999999996	1444.36	1873.7699999999998
29	0.00391042	0.00477862	1788.9699999999996	979.378	1095.2294999999997
30	0.00477862	0.00583899	1788.9699999999996	979.378	316.689
31	0.00583899	inf	1788.97	979.378	316.689
