  Iter  Epoch       Start         End   Type   From     To            Opp          Count           Rate             Ne         ESS  Clump
    10      0           0         133   Coal      0     -1      419151.17      61.382719   0.0001464453      3414.2441      1.0191     -1
    10      0           0         133   Coal      1     -1      271362.79      34.199916  0.00012603023       3967.302      1.0171     -1
    10      1         133       166.2   Coal      0     -1      238345.94  0.00017913858  7.5159063e-10  6.6525576e+08      1.0365     -1
    10      1         133       166.2   Coal      1     -1      134082.59       0.003004  2.2404102e-08       22317342      1.0344     -1
    10      2       166.2      207.68   Coal      0     -1      369248.06      3.1277734  8.4706563e-06      59027.304      1.0498     -1
    10      2       166.2      207.68   Coal      1     -1      209672.84      7.1306117  3.4008275e-05      14702.304      1.0486     -1
    10      3      207.68      259.53   Coal      0     -1      584740.35      3.5178895  6.0161566e-06      83109.539      1.0753     -1
    10      3      207.68      259.53   Coal      1     -1       324713.6      1.0478497  3.2269967e-06      154942.83      1.0738     -1
    10      4      259.53      324.31   Coal      0     -1      934796.39      5.6227681  6.0149656e-06      83125.995      1.1189     -1
    10      4      259.53      324.31   Coal      1     -1      490370.18      1.0003337  2.0399561e-06      245103.31      1.1143     -1
    10      5      324.31      405.26   Coal      0     -1      1497117.9      2.8717058  1.9181561e-06      260667.01      1.1868     -1
    10      5      324.31      405.26   Coal      1     -1       741180.8      9.4735265  1.2781667e-05      39118.527      1.1792     -1
    10      6      405.26      506.42   Coal      0     -1      2416348.5      24.949319  1.0325216e-05      48425.139      1.2612     -1
    10      6      405.26      506.42   Coal      1     -1      1106964.6      15.016641  1.3565602e-05       36857.93      1.2498     -1
    10      7      506.42      632.82   Coal      0     -1      3925448.3      81.920067  2.0868971e-05      23959.016      1.3841     -1
    10      7      506.42      632.82   Coal      1     -1      1640940.7      20.298551   1.237007e-05      40420.144      1.3653     -1
    10      8      632.82      790.79   Coal      0     -1      6394605.4      297.65614  4.6548007e-05      10741.598       1.556     -1
    10      8      632.82      790.79   Coal      1     -1      2329801.7      54.017031  2.3185248e-05      21565.437      1.5357     -1
    10      9      790.79      988.18   Coal      0     -1       10162645      598.48376  5.8890553e-05      8490.3261      1.7638     -1
    10      9      790.79      988.18   Coal      1     -1      3345252.9      54.563992  1.6310872e-05        30654.4      1.7281     -1
    10     10      988.18      1234.8   Coal      0     -1       15808134      1417.5575  8.9672661e-05      5575.8354      1.8695     -1
    10     10      988.18      1234.8   Coal      1     -1      4718208.4      157.56162  3.3394374e-05      14972.582      1.8323     -1
    10     11      1234.8      1543.1   Coal      0     -1       24676048      2236.8612  9.0649088e-05      5515.7753      2.0236     -1
    10     11      1234.8      1543.1   Coal      1     -1      6253102.1      254.85622  4.0756766e-05      12267.902      1.9995     -1
    10     12      1543.1      1928.2   Coal      0     -1       36969344        4044.19  0.00010939307      4570.6735      2.1574     -1
    10     12      1543.1      1928.2   Coal      1     -1      8277803.4      433.67382  5.2389964e-05      9543.8126      2.1544     -1
    10     13      1928.2      2409.6   Coal      0     -1       52300938      5939.4849  0.00011356364      4402.8176      2.5015     -1
    10     13      1928.2      2409.6   Coal      1     -1       11079367      776.67892  7.0101379e-05      7132.5273      2.5462     -1
    10     14      2409.6        3011   Coal      0     -1       71072538        7857.48  0.00011055578      4522.6038      2.7892     -1
    10     14      2409.6        3011   Coal      1     -1       15442688      1160.6582  7.5159079e-05      6652.5563      2.8844     -1
    10     15        3011      3762.6   Coal      0     -1       93640050      8671.3298  9.2602789e-05      5399.4054      3.1863     -1
    10     15        3011      3762.6   Coal      1     -1       22729991      1710.2294  7.5241095e-05      6645.3047      3.3368     -1
    10     16      3762.6      4701.8   Coal      0     -1  1.2220431e+08       10160.59  8.3144283e-05      6013.6426      3.6621     -1
    10     16      3762.6      4701.8   Coal      1     -1       33846807      2654.8416  7.8436987e-05      6374.5437      3.8257     -1
    10     17      4701.8      5875.5   Coal      0     -1  1.5893535e+08       11805.39  7.4277935e-05      6731.4741       4.372     -1
    10     17      4701.8      5875.5   Coal      1     -1       50161351      3725.5012  7.4270351e-05      6732.1615      4.5595     -1
    10     18      5875.5      7342.1   Coal      0     -1  2.1442155e+08       10210.85  4.7620447e-05      10499.691      5.2701     -1
    10     18      5875.5      7342.1   Coal      1     -1       76186910      3644.2994  4.7833668e-05      10452.889       5.468     -1
    10     19      7342.1      9174.7   Coal      0     -1  3.0553151e+08        8928.09  2.9221503e-05      17110.687      6.1022     -1
    10     19      7342.1      9174.7   Coal      1     -1  1.1941538e+08      3767.2905  3.1547784e-05      15848.974      6.2944     -1
    10     20      9174.7       11465   Coal      0     -1  4.4881148e+08        9125.72  2.0333081e-05       24590.47      7.4592     -1
    10     20      9174.7       11465   Coal      1     -1  1.9129758e+08      4096.6561  2.1415097e-05      23348.015      7.7195     -1
    10     21       11465       14327   Coal      0     -1  1.5638211e+09       34227.44  2.1887056e-05      22844.552      8.7553     -1
    10     21       11465       14327   Coal      1     -1            121      3.2361106    0.026744716      18.695282           1     -1
    10     22       14327       17903   Coal      0     -1  2.0707648e+09       39768.84  1.9204904e-05      26035.017      10.861     -1
    10     22       14327       17903   Coal      1     -1            121      3.2361772    0.026745266      18.694897           1     -1
    10     23       17903       22372   Coal      0     -1  2.6620521e+09       56390.22  2.1182989e-05      23603.846       12.24     -1
    10     23       17903       22372   Coal      1     -1            121      3.2365108    0.026748023       18.69297           1     -1
    10     24       22372       27956   Coal      0     -1  3.2057242e+09       76079.05  2.3732251e-05      21068.377      13.492     -1
    10     24       22372       27956   Coal      1     -1            121      3.2368639    0.026750941      18.690931           1     -1
