  Iter  Epoch       Start         End   Type   From     To            Opp          Count           Rate             Ne         ESS  Clump
    10      0           0         133   Coal      0     -1       400313.8      67.811839  0.00016939671      2951.6513      1.0164     -1
    10      0           0         133   Coal      1     -1      309314.46      50.931892  0.00016466056      3036.5498      1.0176     -1
    10      1         133       166.2   Coal      0     -1      225691.36     0.96261931  4.2652023e-06      117227.73      1.0369     -1
    10      1         133       166.2   Coal      1     -1      157069.34   0.0025387006  1.6162929e-08       30934987       1.037     -1
    10      2       166.2      207.68   Coal      0     -1      354925.23    0.021260851  5.9902339e-08      8346919.5      1.0655     -1
    10      2       166.2      207.68   Coal      1     -1      243906.47      19.687475  8.0717315e-05      6194.4578      1.0638     -1
    10      3      207.68      259.53   Coal      0     -1      564860.17      1.3846916  2.4513882e-06      203966.06      1.1725     -1
    10      3      207.68      259.53   Coal      1     -1      376518.32       14.88182  3.9524823e-05      12650.278      1.1595     -1
    10      4      259.53      324.31   Coal      0     -1      924087.88      6.4550181  6.9852859e-06      71579.031      1.1095     -1
    10      4      259.53      324.31   Coal      1     -1      568534.52  6.9378777e-05   1.220309e-10   4.097323e+09      1.1002     -1
    10      5      324.31      405.26   Coal      0     -1      1512262.6      4.2759438  2.8275141e-06      176833.78      1.2399     -1
    10      5      324.31      405.26   Coal      1     -1      837282.04      15.340822  1.8322168e-05      27289.347      1.2198     -1
    10      6      405.26      506.42   Coal      0     -1      2526668.1      38.914025   1.540132e-05      32464.749      1.2991     -1
    10      6      405.26      506.42   Coal      1     -1      1204073.9      33.461332  2.7790098e-05       17992.02      1.2797     -1
    10      7      506.42      632.82   Coal      0     -1      4197583.3      88.353042   2.104855e-05      23754.605      1.4377     -1
    10      7      506.42      632.82   Coal      1     -1      1696429.6        75.5157  4.4514491e-05      11232.297      1.4035     -1
    10      8      632.82      790.79   Coal      0     -1      6738286.6      436.27732  6.4746032e-05      7722.4809      1.5975     -1
    10      8      632.82      790.79   Coal      1     -1      2440710.7      145.94111  5.9794517e-05      8361.9708      1.5322     -1
    10      9      790.79      988.18   Coal      0     -1       10436888      1012.4367  9.7005605e-05      5154.3413      1.7436     -1
    10      9      790.79      988.18   Coal      1     -1      3495696.1      349.80983  0.00010006872      4996.5664      1.6506     -1
    10     10      988.18      1234.8   Coal      0     -1       15648259      2032.5507  0.00012988989      3849.4142      1.8008     -1
    10     10      988.18      1234.8   Coal      1     -1      4913220.5      567.72658   0.0001155508       4327.101      1.7006     -1
    10     11      1234.8      1543.1   Coal      0     -1       22088405        3694.44  0.00016725698      2989.4118      2.0537     -1
    10     11      1234.8      1543.1   Coal      1     -1      6642610.8      1061.1898  0.00015975492      3129.7941      1.9425     -1
    10     12      1543.1      1928.2   Coal      0     -1       29965840        5213.97  0.00017399712      2873.6107      2.2199     -1
    10     12      1543.1      1928.2   Coal      1     -1      8716567.8      1632.6064  0.00018729923      2669.5251      2.1264     -1
    10     13      1928.2      2409.6   Coal      0     -1       38844762        7203.28  0.00018543761      2696.3246      2.3506     -1
    10     13      1928.2      2409.6   Coal      1     -1       11385291      2137.3366  0.00018772788      2663.4297      2.2788     -1
    10     14      2409.6        3011   Coal      0     -1       48343715      7744.7246  0.00016020127      3121.0739        2.68     -1
    10     14      2409.6        3011   Coal      1     -1       15536748      2647.0104  0.00017037095      2934.7727      2.6277     -1
    10     15        3011      3762.6   Coal      0     -1       60194132        8447.19  0.00014033245      3562.9678      3.0592     -1
    10     15        3011      3762.6   Coal      1     -1       21743309      3301.8764  0.00015185713      3292.5686      3.0412     -1
    10     16      3762.6      4701.8   Coal      0     -1       76448616      8917.9875  0.00011665335      4286.2033      3.5563     -1
    10     16      3762.6      4701.8   Coal      1     -1       30745114      3746.3005  0.00012185027      4103.3966      3.5885     -1
    10     17      4701.8      5875.5   Coal      0     -1       99875251      9105.6108  9.1169842e-05      5484.2697      4.1063     -1
    10     17      4701.8      5875.5   Coal      1     -1       44076365       4795.568  0.00010880135      4595.5312      4.1981     -1
    10     18      5875.5      7342.1   Coal      0     -1  1.3746786e+08       7535.923  5.4819525e-05      9120.8379      4.8339     -1
    10     18      5875.5      7342.1   Coal      1     -1       66129834      4169.6766  6.3052881e-05      7929.8517      4.9103     -1
    10     19      7342.1      9174.7   Coal      0     -1  2.0231124e+08      6366.6151  3.1469409e-05      15888.446      5.8137     -1
    10     19      7342.1      9174.7   Coal      1     -1  1.0421806e+08      3717.4364  3.5669791e-05      14017.464      5.8874     -1
    10     20      9174.7       11465   Coal      0     -1  3.0464934e+08      6723.5497  2.2069799e-05      22655.394      7.3177     -1
    10     20      9174.7       11465   Coal      1     -1  1.6783153e+08      4108.5052  2.4479938e-05      20424.889      7.4132     -1
    10     21       11465       14327   Coal      0     -1  1.1914265e+09       27950.15  2.3459399e-05      21313.419      8.8194     -1
    10     21       11465       14327   Coal      1     -1            121      3.2361106    0.026744716      18.695282           1     -1
    10     22       14327       17903   Coal      0     -1  1.6062829e+09       31994.25  1.9918191e-05      25102.681      10.625     -1
    10     22       14327       17903   Coal      1     -1            121      3.2361772    0.026745266      18.694897           1     -1
    10     23       17903       22372   Coal      0     -1  2.1104593e+09       45513.07  2.1565481e-05      23185.201      12.477     -1
    10     23       17903       22372   Coal      1     -1            121      3.2365108    0.026748023       18.69297           1     -1
    10     24       22372       27956   Coal      0     -1  2.6071564e+09       62120.69   2.382699e-05      20984.606      14.709     -1
    10     24       22372       27956   Coal      1     -1            121      3.2368639    0.026750941      18.690931           1     -1
    10     25       27956       34934   Coal      0     -1  2.9597804e+09       82664.59  2.7929298e-05      17902.347      17.726     -1
    10     25       27956       34934   Coal      1     -1            121      3.2373682    0.026755109       18.68802           1     -1
    10     26       34934       43654   Coal      0     -1  3.0552928e+09       96336.02  3.1530863e-05      15857.479      19.331     -1
    10     26       34934       43654   Coal      1     -1            121      3.2378444    0.026759045      18.685271           1     -1
    10     27       43654       54551   Coal      0     -1   2.837352e+09      103101.26  3.6337142e-05      13760.026      20.249     -1
    10     27       43654       54551   Coal      1     -1            121      3.2385114    0.026764557      18.681423           1     -1
    10     28       54551       68167   Coal      0     -1  2.4056752e+09       91604.91  3.8078669e-05      13130.711      22.556     -1
    10     28       54551       68167   Coal      1     -1            121      3.2389071    0.026767827       18.67914           1     -1
    10     29       68167       85183   Coal      0     -1  1.9457791e+09       69774.96   3.585965e-05      13943.248      24.314     -1
    10     29       68167       85183   Coal      1     -1            121      3.2389071    0.026767827       18.67914           1     -1
    10     30       85183  1.0645e+05   Coal      0     -1  1.8565303e+09       35490.93  1.9116806e-05      26154.996       26.28     -1
    10     30       85183  1.0645e+05   Coal      1     -1            121      3.2370109    0.026752156      18.690082           1     -1
    10     31  1.0645e+05  1.3302e+05   Coal      0     -1  1.9103683e+09       35056.26  1.8350524e-05      27247.178      26.689     -1
    10     31  1.0645e+05  1.3302e+05   Coal      1     -1            121      3.2370109    0.026752156      18.690082           1     -1
    10     32  1.3302e+05       1e+99   Coal      0     -1  4.5441419e+09       82334.56  1.8118836e-05      27595.592      27.021     -1
    10     32  1.3302e+05       1e+99   Coal      1     -1            121      3.2370109    0.026752156      18.690082           1     -1
    10     -1           0       1e+99  Delay     -1     -1  2.5994735e+09              0              0              0           1     -1
    10     -1           0       1e+99   LogL     -1     -1              1      -25119937      -25119937              0           1     -1
    10      0           0         133   Migr      0      1      208320.64      13.944519  6.6937768e-05              0      1.0264     -1
    10      0           0         133   Migr      1      0      186724.88       161.7265  0.00086612185              0       1.028     -1
    10      1         133       166.2   Migr      0      1      101726.29      13.266896  0.00013041757              0      1.0372     -1
    10      1         133       166.2   Migr      1      0       85534.02        2.01431  2.3549811e-05              0      1.0373     -1
    10      2       166.2      207.68   Migr      0      1      158554.69      18.331172  0.00011561419              0       1.065     -1
    10      2       166.2      207.68   Migr      1      0      132879.41      45.291719  0.00034084829              0      1.0645     -1
    10      3      207.68      259.53   Migr      0      1      248725.72      56.863758  0.00022862034              0      1.1714     -1
    10      3      207.68      259.53   Migr      1      0      205222.05      95.920865  0.00046740038              0       1.161     -1
    10      4      259.53      324.31   Migr      0      1       397712.5      47.530975  0.00011951089              0      1.1089     -1
    10      4      259.53      324.31   Migr      1      0      313946.29      212.02395  0.00067535103              0      1.1024     -1
    10      5      324.31      405.26   Migr      0      1      635509.71      134.50265  0.00021164531              0      1.2398     -1
    10      5      324.31      405.26   Migr      1      0      475630.03      365.47887  0.00076840999              0       1.223     -1
