  Iter  Epoch       Start         End   Type   From     To            Opp          Count           Rate             Ne         ESS  Clump
    10      0           0         133   Coal      0     -1       365959.4  0.00056962688  1.5565303e-09  3.2122729e+08      1.0186     -1
    10      0           0         133   Coal      1     -1      318423.78      17.218279  5.4073471e-05      9246.6784      1.0161     -1
    10      1         133       166.2   Coal      0     -1      197950.54      2.2871814  1.1554307e-05      43273.906      1.0293     -1
    10      1         133       166.2   Coal      1     -1      164000.06   0.0040195387  2.4509373e-08       20400358      1.0295     -1
    10      2       166.2      207.68   Coal      0     -1      312393.63  0.00013388485  4.2857741e-10  1.1666504e+09      1.0663     -1
    10      2       166.2      207.68   Coal      1     -1      249330.93      1.1115773  4.4582408e-06      112151.86      1.0675     -1
    10      3      207.68      259.53   Coal      0     -1      494405.41      1.0905191  2.2057185e-06      226683.51      1.0947     -1
    10      3      207.68      259.53   Coal      1     -1      387345.06      6.2632448  1.6169678e-05      30922.076      1.0966     -1
    10      4      259.53      324.31   Coal      0     -1      772876.43      1.4544758  1.8818995e-06         265689      1.1381     -1
    10      4      259.53      324.31   Coal      1     -1      607119.03      3.2808896  5.4040302e-06      92523.539      1.1428     -1
    10      5      324.31      405.26   Coal      0     -1      1226462.4      5.8132549  4.7398559e-06      105488.44      1.2539     -1
    10      5      324.31      405.26   Coal      1     -1      928931.81      8.6379944  9.2988466e-06       53770.11      1.2604     -1
    10      6      405.26      506.42   Coal      0     -1      1947950.7      13.590879  6.9770141e-06      71663.894       1.387     -1
    10      6      405.26      506.42   Coal      1     -1      1427829.7      6.5408885  4.5810006e-06      109146.46      1.3878     -1
    10      7      506.42      632.82   Coal      0     -1      3087520.3      87.705644  2.8406499e-05      17601.606      1.3575     -1
    10      7      506.42      632.82   Coal      1     -1      2159453.3      49.222514   2.279397e-05      21935.626      1.3561     -1
    10      8      632.82      790.79   Coal      0     -1      4870430.9      280.52877  5.7598348e-05      8680.8046      1.5617     -1
    10      8      632.82      790.79   Coal      1     -1      3233054.1      153.72508  4.7547945e-05      10515.702      1.5609     -1
    10      9      790.79      988.18   Coal      0     -1      7661742.2      783.90017  0.00010231357      4886.9374      1.7016     -1
    10      9      790.79      988.18   Coal      1     -1      4735399.6      160.42193  3.3877169e-05      14759.203      1.7079     -1
    10     10      988.18      1234.8   Coal      0     -1       12170500      1236.3087  0.00010158241      4922.1122      1.8167     -1
    10     10      988.18      1234.8   Coal      1     -1      6616078.9      259.97679  3.9294693e-05      12724.365      1.8245     -1
    10     11      1234.8      1543.1   Coal      0     -1       18798174      2389.1233  0.00012709337      3934.1155      1.9261     -1
    10     11      1234.8      1543.1   Coal      1     -1      9173477.4      363.93477  3.9672499e-05      12603.189      1.9448     -1
    10     12      1543.1      1928.2   Coal      0     -1       28634772        3491.02  0.00012191541      4101.2043       2.367     -1
    10     12      1543.1      1928.2   Coal      1     -1       12372400      530.05668  4.2841866e-05      11670.827      2.4257     -1
    10     13      1928.2      2409.6   Coal      0     -1       43297850        5171.26  0.00011943457      4186.3927       2.351     -1
    10     13      1928.2      2409.6   Coal      1     -1       16273229      705.54378  4.3356103e-05      11532.402      2.4177     -1
    10     14      2409.6        3011   Coal      0     -1       62343816        6963.22  0.00011169063      4476.6513      2.7522     -1
    10     14      2409.6        3011   Coal      1     -1       22022275      1016.3735  4.6152067e-05      10833.751      2.8835     -1
