  Iter  Epoch       Start         End   Type   From     To            Opp          Count           Rate             Ne         ESS  Clump
    10      0           0         133   Coal      0     -1       309918.7      35.962996   0.0001160401      4308.8554      1.4674     -1
    10      1         133       166.2   Coal      0     -1      164535.75      1.2428737  7.5538216e-06      66191.661      2.3472     -1
    10      2       166.2      207.68   Coal      0     -1      256179.39      1.7005479  6.6381136e-06      75322.604      2.4773     -1
    10      3      207.68      259.53   Coal      0     -1      398859.72      8.7370215  2.1904998e-05       22825.84      2.7041     -1
    10      4      259.53      324.31   Coal      0     -1      626819.35      8.1550343  1.3010183e-05      38431.436       3.224     -1
    10      5      324.31      405.26   Coal      0     -1      972272.79      38.518604  3.9617075e-05      12620.821      4.3734     -1
    10      6      405.26      506.42   Coal      0     -1      1506120.5      88.372919  5.8675861e-05      8521.3917       4.995     -1
    10      7      506.42      632.82   Coal      0     -1      2304959.5      174.86231  7.5863507e-05      6590.7842      6.0857     -1
    10      8      632.82      790.79   Coal      0     -1      3520426.4      318.63123  9.0509274e-05      5524.2958      7.0814     -1
    10      9      790.79      988.18   Coal      0     -1      5343136.4      379.96334  7.1112416e-05       7031.121      9.5747     -1
    10     10      988.18      1234.8   Coal      0     -1        8132907      530.24413  6.5197368e-05      7669.0213      10.793     -1
    10     11      1234.8      1543.1   Coal      0     -1       12357893      671.17999  5.4311846e-05      9206.0947      11.458     -1
    10     12      1543.1      1928.2   Coal      0     -1       18688399      909.45102  4.8663933e-05       10274.55      14.814     -1
    10     13      1928.2      2409.6   Coal      0     -1       28231047      1185.3288  4.1986711e-05       11908.53      17.686     -1
    10     14      2409.6        3011   Coal      0     -1       42669941      1546.3999  3.6240966e-05      13796.542      20.891     -1
    10     15        3011      3762.6   Coal      0     -1       64224446        2067.88  3.2197709e-05      15529.055      24.064     -1
    10     16      3762.6      4701.8   Coal      0     -1       96296467        2938.78  3.0518046e-05      16383.749      26.821     -1
    10     17      4701.8      5875.5   Coal      0     -1  1.4287752e+08        4439.36  3.1071088e-05       16092.13      31.347     -1
    10     18      5875.5      7342.1   Coal      0     -1  2.1143277e+08        5023.65  2.3760035e-05       21043.74      40.495     -1
    10     19      7342.1      9174.7   Coal      0     -1  3.1386831e+08        6018.35  1.9174762e-05      26075.943      44.727     -1
    10     20      9174.7       11465   Coal      0     -1  4.6690156e+08        7909.19  1.6939738e-05      29516.395      56.266     -1
    10     21       11465       14327   Coal      0     -1  6.8506839e+08       11648.36  1.7003208e-05      29406.216      62.382     -1
    10     22       14327       17903   Coal      0     -1  9.8184903e+08       17912.74  1.8243884e-05      27406.444      82.361     -1
    10     23       17903       22372   Coal      0     -1  1.3381008e+09       29749.29  2.2232474e-05      22489.625      88.311     -1
    10     24       22372       27956   Coal      0     -1  1.7105921e+09       43243.29  2.5279721e-05      19778.699      100.19     -1
    10     25       27956       34934   Coal      0     -1  2.0232107e+09       58469.13  2.8899179e-05      17301.529      107.52     -1
    10     26       34934       43654   Coal      0     -1  2.2017548e+09       68896.61  3.1291682e-05      15978.687      111.03     -1
    10     27       43654       54551   Coal      0     -1  2.1830641e+09       75471.89  3.4571541e-05      14462.763      110.88     -1
    10     28       54551       68167   Coal      0     -1  1.9338172e+09       69902.38  3.6147357e-05       13832.27        91.9     -1
    10     29       68167       85183   Coal      0     -1  1.6385325e+09       54518.89  3.3272999e-05        15027.2      80.305     -1
    10     30       85183  1.0645e+05   Coal      0     -1  1.5671683e+09       28812.51  1.8385077e-05      27195.969      72.028     -1
    10     31  1.0645e+05  1.3302e+05   Coal      0     -1  1.6209759e+09        28592.7  1.7639188e-05      28345.976      71.347     -1
    10     32  1.3302e+05       1e+99   Coal      0     -1  4.0359756e+09       69845.82  1.7305808e-05      28892.034      59.033     -1
    10     -1           0       1e+99  Delay     -1     -1  2.5982331e+09              0              0              0           1     -1
    10     -1           0       1e+99   LogL     -1     -1              1      -15638152      -15638152              0           1     -1
    10     -1           0       1e+99 Recomb     -1     -1           4158  1.2474005e-05  3.0000011e-09              0           1     -1
    10     -1           0       1e+99 Resamp     -1     -1  2.5982331e+09         732428  0.00028189465              0           1     -1
     9      0           0         133   Coal      0     -1      313087.74      30.934605  9.8804906e-05      5060.4775      1.4564     -1
     9      1         133       166.2   Coal      0     -1      170017.95      1.5280373  8.9875058e-06      55632.788      2.0911     -1
     9      2       166.2      207.68   Coal      0     -1      263992.68     0.73923756  2.8002199e-06       178557.4      2.5769     -1
     9      3      207.68      259.53   Coal      0     -1      410551.51      9.1834156  2.2368486e-05      22352.877      2.6192     -1
