  Iter  Epoch       Start         End   Type   From     To            Opp          Count           Rate             Ne         ESS  Clump
    10      0           0         133   Coal      0     -1      317239.44       43.17033  0.00013608122      3674.2763      1.4155     -1
    10      1         133       166.2   Coal      0     -1      167625.78      1.2515934  7.4665923e-06      66964.952      2.1654     -1
    10      2       166.2      207.68   Coal      0     -1      262470.71      7.9263416  3.0198957e-05      16556.863      2.7975     -1
    10      3      207.68      259.53   Coal      0     -1      409546.33      6.5938621  1.6100406e-05      31055.118      3.1317     -1
    10      4      259.53      324.31   Coal      0     -1      633947.64      55.002861  8.6762466e-05      5762.8606      3.2172     -1
    10      5      324.31      405.26   Coal      0     -1         973609       55.05839  5.6550823e-05      8841.6044      3.7365     -1
    10      6      405.26      506.42   Coal      0     -1      1493654.6      102.94144  6.8919171e-05      7254.8755      4.5676     -1
    10      7      506.42      632.82   Coal      0     -1      2280100.1      224.79881  9.8591644e-05      5071.4237      5.7512     -1
    10      8      632.82      790.79   Coal      0     -1      3457496.2      422.53684  0.00012220891      4091.3548      6.8174     -1
    10      9      790.79      988.18   Coal      0     -1      5198181.8      459.27252  8.8352531e-05      5659.1474      7.9267     -1
    10     10      988.18      1234.8   Coal      0     -1        7850150      599.82656  7.6409566e-05      6543.6833       10.12     -1
    10     11      1234.8      1543.1   Coal      0     -1       11925541      634.76222  5.3227122e-05      9393.7073       11.08     -1
    10     12      1543.1      1928.2   Coal      0     -1       18225187      708.70343  3.8885934e-05       12858.12      14.963     -1
    10     13      1928.2      2409.6   Coal      0     -1       27860649      933.41374  3.3502943e-05      14924.062      17.388     -1
    10     14      2409.6        3011   Coal      0     -1       42505743      1197.7107   2.817762e-05      17744.579       19.21     -1
    10     15        3011      3762.6   Coal      0     -1       64603953      1722.5247  2.6662838e-05      18752.693      24.315     -1
    10     16      3762.6      4701.8   Coal      0     -1       97587066      2567.2554  2.6307332e-05      19006.108      27.857     -1
    10     17      4701.8      5875.5   Coal      0     -1   1.457647e+08      4005.7729   2.748109e-05      18194.329      28.716     -1
    10     18      5875.5      7342.1   Coal      0     -1  2.1650362e+08      4899.9956  2.2632396e-05      22092.226      38.471     -1
    10     19      7342.1      9174.7   Coal      0     -1  3.2115875e+08      5988.9666  1.8647994e-05      26812.535      47.585     -1
    10     20      9174.7       11465   Coal      0     -1  4.7615848e+08      8048.1206  1.6902189e-05      29581.967      53.155     -1
    10     21       11465       14327   Coal      0     -1   6.970263e+08      11903.712  1.7077853e-05      29277.686      63.272     -1
    10     22       14327       17903   Coal      0     -1  9.9563229e+08       18217.89  1.8297809e-05      27325.676      78.857     -1
    10     23       17903       22372   Coal      0     -1  1.3521909e+09      30455.839  2.2523328e-05      22199.206      85.612     -1
    10     24       22372       27956   Coal      0     -1  1.7223906e+09      43783.608  2.5420255e-05      19669.354      97.314     -1
    10     25       27956       34934   Coal      0     -1  2.0317856e+09      59168.138  2.9121251e-05      17169.592      106.36     -1
    10     26       34934       43654   Coal      0     -1  2.2030236e+09      69218.948  3.1419976e-05      15913.443      108.06     -1
    10     27       43654       54551   Coal      0     -1  2.1835395e+09      75667.061  3.4653397e-05        14428.6      108.43     -1
    10     28       54551       68167   Coal      0     -1  1.9264682e+09      69949.095  3.6309499e-05      13770.501      88.026     -1
    10     29       68167       85183   Coal      0     -1   1.628514e+09       54196.93   3.327999e-05      15024.043       77.06     -1
    10     30       85183  1.0645e+05   Coal      0     -1  1.5751763e+09       28490.59  1.8087239e-05      27643.798      71.684     -1
    10     31  1.0645e+05  1.3302e+05   Coal      0     -1  1.6190526e+09       28479.05  1.7589948e-05      28425.326      69.211     -1
    10     32  1.3302e+05       1e+99   Coal      0     -1  4.1314934e+09      70383.262  1.7035792e-05      29349.971      58.905     -1
    10     -1           0       1e+99  Delay     -1     -1  2.5955771e+09              0              0              0           1     -1
    10     -1           0       1e+99   LogL     -1     -1              1      -15647776      -15647776              0           1     -1
    10     -1           0       1e+99 Recomb     -1     -1           4323  1.2969005e-05  3.0000011e-09              0           1     -1
    10     -1           0       1e+99 Resamp     -1     -1  2.5955771e+09         732838  0.00028234106              0           1     -1
     9      0           0         133   Coal      0     -1      299899.68        43.9919  0.00014668872      3408.5784      1.4829     -1
     9      1         133       166.2   Coal      0     -1       166606.3      1.9057838  1.1438846e-05      43710.703      2.0851     -1
     9      2       166.2      207.68   Coal      0     -1      257761.31      8.6226833  3.3452202e-05      14946.699      2.4662     -1
     9      3      207.68      259.53   Coal      0     -1      402766.44        7.16641  1.7792967e-05      28100.991      3.2597     -1
     9      4      259.53      324.31   Coal      0     -1      624143.99      49.190451  7.8812665e-05       6344.158      3.4553     -1
     9      5      324.31      405.26   Coal      0     -1      964457.35      52.428857  5.4360991e-05       9197.772      3.4843     -1
     9      6      405.26      506.42   Coal      0     -1      1493327.1      101.79025  6.8163393e-05      7335.3156      4.6762     -1
     9      7      506.42      632.82   Coal      0     -1      2280803.6      213.58361  9.3644014e-05      5339.3696      5.8022     -1
     9      8      632.82      790.79   Coal      0     -1      3450349.6      413.84375  0.00011994255      4168.6622      6.8144     -1
     9      9      790.79      988.18   Coal      0     -1      5223754.3      458.28189  8.7730369e-05      5699.2807       8.356     -1
     9     10      988.18      1234.8   Coal      0     -1      7890075.7      582.94372  7.3883159e-05      6767.4421      10.967     -1
     9     11      1234.8      1543.1   Coal      0     -1       11964661      624.59067  5.2202955e-05      9578.0019      10.436     -1
     9     12      1543.1      1928.2   Coal      0     -1       18260437      715.04737  3.9158284e-05       12768.69      14.402     -1
     9     13      1928.2      2409.6   Coal      0     -1       27872172      939.80785  3.3718501e-05      14828.654      17.337     -1
     9     14      2409.6        3011   Coal      0     -1       42506249        1203.86  2.8321954e-05      17654.149      20.368     -1
     9     15        3011      3762.6   Coal      0     -1       64586558      1745.6147  2.7027523e-05       18499.66      23.814     -1
     9     16      3762.6      4701.8   Coal      0     -1       97493373      2605.3938  2.6723804e-05      18709.912      28.273     -1
     9     17      4701.8      5875.5   Coal      0     -1  1.4550679e+08      4094.9339  2.8142562e-05      17766.684      30.862     -1
     9     18      5875.5      7342.1   Coal      0     -1  2.1589884e+08      4933.9605  2.2853113e-05      21878.858      38.449     -1
     9     19      7342.1      9174.7   Coal      0     -1  3.2018042e+08      6004.8402  1.8754552e-05      26660.195      44.779     -1
     9     20      9174.7       11465   Coal      0     -1  4.7533698e+08      8032.5293    1.68986e-05      29588.251      56.538     -1
     9     21       11465       14327   Coal      0     -1  6.9580676e+08      11784.222  1.6936055e-05      29522.813      61.675     -1
     9     22       14327       17903   Coal      0     -1  9.9550349e+08      18023.839  1.8105249e-05        27616.3      80.009     -1
     9     23       17903       22372   Coal      0     -1   1.354348e+09      30155.071  2.2265379e-05      22456.388      85.179     -1
     9     24       22372       27956   Coal      0     -1  1.7285573e+09      43531.343  2.5183627e-05      19854.169      97.474     -1
     9     25       27956       34934   Coal      0     -1  2.0425858e+09      59113.611  2.8940577e-05      17276.781      108.23     -1
     9     26       34934       43654   Coal      0     -1  2.2138338e+09      69388.761  3.1343257e-05      15952.394      106.49     -1
     9     27       43654       54551   Coal      0     -1  2.1920491e+09      76245.011  3.4782528e-05      14375.033      107.34     -1
     9     28       54551       68167   Coal      0     -1  1.9273693e+09      70168.861  3.6406548e-05      13733.793      87.784     -1
     9     29       68167       85183   Coal      0     -1  1.6251003e+09       54497.85  3.3535068e-05      14909.765      77.787     -1
     9     30       85183  1.0645e+05   Coal      0     -1  1.5649904e+09       28542.48  1.8238119e-05      27415.108      71.643     -1
     9     31  1.0645e+05  1.3302e+05   Coal      0     -1  1.6060396e+09       28471.09  1.7727514e-05      28204.744      69.755     -1
     9     32  1.3302e+05       1e+99   Coal      0     -1  4.0405323e+09       69520.94  1.7205886e-05      29059.822      52.855     -1
     9     -1           0       1e+99  Delay     -1     -1  2.5955771e+09              0              0              0           1     -1
     9     -1           0       1e+99   LogL     -1     -1              1      -15647736      -15647736              0           1     -1
     9     -1           0       1e+99 Recomb     -1     -1           4323  1.2969005e-05  3.0000011e-09              0           1     -1
     9     -1           0       1e+99 Resamp     -1     -1  2.5955771e+09         730817  0.00028156243              0           1     -1
     8      0           0         133   Coal      0     -1      311140.87      39.677105  0.00012752135       3920.912       1.451     -1
     8      1         133       166.2   Coal      0     -1      163981.67      3.7573745  2.2913381e-05       21821.31      2.0972     -1
     8      2       166.2      207.68   Coal      0     -1       255508.8      7.1141023  2.7842885e-05      17957.909       2.569     -1
     8      3      207.68      259.53   Coal      0     -1      402068.56      7.3328527  1.8237817e-05      27415.562        3.16     -1
     8      4      259.53      324.31   Coal      0     -1         625132      47.967311  7.6731492e-05      6516.2293      3.4573     -1
     8      5      324.31      405.26   Coal      0     -1      969289.07      54.745866  5.6480433e-05      8852.6234      3.5587     -1
     8      6      405.26      506.42   Coal      0     -1      1495401.9      97.572932  6.5248634e-05      7662.9957      5.1113     -1
