  Iter  Epoch       Start         End   Type   From     To            Opp          Count           Rate             Ne         ESS  Clump
    10      0           0         133   Coal      0     -1      306636.49      54.880606  0.00017897611       2793.669      1.0139     -1
    10      0           0         133   Coal      1     -1      326692.75      8.7366116  2.6742594e-05      18696.765      1.0156     -1
    10      1         133       166.2   Coal      0     -1      171816.63  0.00022903806  1.3330378e-09  3.7508314e+08      1.0285     -1
    10      1         133       166.2   Coal      1     -1      176572.36      7.6773633  4.3479983e-05      11499.544      1.0365     -1
    10      2       166.2      207.68   Coal      0     -1      270066.62      17.178019  6.3606597e-05      7860.8199      1.0631     -1
    10      2       166.2      207.68   Coal      1     -1      271556.76     0.12014192  4.4241917e-07      1130149.9      1.0712     -1
    10      3      207.68      259.53   Coal      0     -1      431931.43  9.3292938e-05  2.1599016e-10  2.3149203e+09      1.0595     -1
    10      3      207.68      259.53   Coal      1     -1      408365.01  9.5155068e-05  2.3301474e-10   2.145787e+09      1.0684     -1
    10      4      259.53      324.31   Coal      0     -1      689395.13      4.5563201  6.6091561e-06      75652.623      1.1181     -1
    10      4      259.53      324.31   Coal      1     -1      616698.41      23.826847  3.8636142e-05      12941.251      1.1261     -1
    10      5      324.31      405.26   Coal      0     -1      1091579.1      19.781446  1.8121863e-05      27590.982      1.1946     -1
    10      5      324.31      405.26   Coal      1     -1      945075.86      46.823889  4.9545112e-05      10091.813      1.2025     -1
    10      6      405.26      506.42   Coal      0     -1      1727191.5       7.918198  4.5844356e-06      109064.68      1.2316     -1
    10      6      405.26      506.42   Coal      1     -1      1445318.5       29.77275  2.0599439e-05      24272.506      1.2441     -1
    10      7      506.42      632.82   Coal      0     -1      2757327.9      66.732963  2.4202041e-05      20659.415      1.3597     -1
    10      7      506.42      632.82   Coal      1     -1      2189419.5      87.918512  4.0156084e-05      12451.413      1.3758     -1
    10      8      632.82      790.79   Coal      0     -1      4448650.2      256.65803  5.7693462e-05      8666.4932      1.5148     -1
    10      8      632.82      790.79   Coal      1     -1        3207455      105.81949  3.2991729e-05      15155.314      1.5389     -1
    10      9      790.79      988.18   Coal      0     -1      7137082.6      563.11859  7.8900388e-05      6337.1045      1.6585     -1
    10      9      790.79      988.18   Coal      1     -1      4655403.8      113.98697  2.4484872e-05      20420.772      1.6923     -1
    10     10      988.18      1234.8   Coal      0     -1       11074233      1233.2983  0.00011136647      4489.6817       1.919     -1
    10     10      988.18      1234.8   Coal      1     -1      6806414.4      165.54701  2.4322206e-05      20557.346      1.9691     -1
    10     11      1234.8      1543.1   Coal      0     -1       17308243      1667.6368  9.6349284e-05      5189.4522      1.9463     -1
    10     11      1234.8      1543.1   Coal      1     -1      9724429.9      205.67274  2.1150108e-05      23640.541      2.0134     -1
    10     12      1543.1      1928.2   Coal      0     -1       27255981        2840.26  0.00010420685       4798.149      2.1922     -1
    10     12      1543.1      1928.2   Coal      1     -1       13431143      353.84458  2.6345082e-05      18978.874      2.2975     -1
    10     13      1928.2      2409.6   Coal      0     -1       41288907        4341.54  0.00010515028      4755.0993      2.5186     -1
    10     13      1928.2      2409.6   Coal      1     -1       18412132      507.57449  2.7567394e-05      18137.369      2.6749     -1
    10     14      2409.6        3011   Coal      0     -1       60413035        5658.36  9.3661244e-05      5338.3873      2.9748     -1
    10     14      2409.6        3011   Coal      1     -1       25958959       736.3429  2.8365656e-05       17626.95      3.1866     -1
    10     15        3011      3762.6   Coal      0     -1       85099780        7238.88  8.5063439e-05       5877.966      3.2815     -1
    10     15        3011      3762.6   Coal      1     -1       37859780      1304.8787  3.4466093e-05      14507.011      3.5114     -1
    10     16      3762.6      4701.8   Coal      0     -1    1.17679e+08        8900.85  7.5636691e-05      6610.5484      3.9113     -1
