  Iter  Epoch       Start         End   Type   From     To            Opp          Count           Rate             Ne         ESS  Clump
    10      0           0         133   Coal      0     -1      306433.11      46.786027  0.00015267941      3274.8358       1.014     -1
    10      0           0         133   Coal      1     -1      327217.55      15.719172  4.8038901e-05      10408.231       1.016     -1
    10      1         133       166.2   Coal      0     -1      166925.35       9.750977  5.8415196e-05      8559.4167      1.0365     -1
    10      1         133       166.2   Coal      1     -1      175823.78      7.5276239  4.2813457e-05      11678.571      1.0462     -1
    10      2       166.2      207.68   Coal      0     -1      261859.54      6.2425576  2.3839336e-05      20973.738      1.0571     -1
    10      2       166.2      207.68   Coal      1     -1      271193.41      2.0420918  7.5300199e-06      66400.887      1.0677     -1
    10      3      207.68      259.53   Coal      0     -1      411316.99      9.5120342  2.3125799e-05      21620.874      1.0531     -1
    10      3      207.68      259.53   Coal      1     -1       420632.8      25.651155  6.0982299e-05      8199.1005      1.0638     -1
    10      4      259.53      324.31   Coal      0     -1      644535.53      3.6125014  5.6048134e-06      89209.036      1.1331     -1
    10      4      259.53      324.31   Coal      1     -1      651191.73      18.499702  2.8408994e-05       17600.06       1.153     -1
    10      5      324.31      405.26   Coal      0     -1      1008381.9      26.036601  2.5820178e-05        19364.7      1.1556     -1
    10      5      324.31      405.26   Coal      1     -1      1009925.2      42.489566  4.2071993e-05      11884.391      1.1732     -1
    10      6      405.26      506.42   Coal      0     -1      1604825.7      22.770198   1.418858e-05      35239.608      1.2638     -1
    10      6      405.26      506.42   Coal      1     -1      1536508.5      80.704123  5.2524358e-05       9519.393      1.2827     -1
    10      7      506.42      632.82   Coal      0     -1        2559029      108.92675  4.2565656e-05      11746.559      1.4101     -1
    10      7      506.42      632.82   Coal      1     -1      2332986.2      112.72584  4.8318262e-05      10348.054      1.4405     -1
    10      8      632.82      790.79   Coal      0     -1      3989597.2      304.59224  7.6346613e-05       6549.079      1.4514     -1
    10      8      632.82      790.79   Coal      1     -1      3494954.9      259.27373  7.4185141e-05      6739.8941      1.4858     -1
    10      9      790.79      988.18   Coal      0     -1      6228292.5      519.22691  8.3365852e-05      5997.6596      1.5911     -1
    10      9      790.79      988.18   Coal      1     -1      5154505.1      369.80276  7.1743602e-05      6969.2626      1.6277     -1
    10     10      988.18      1234.8   Coal      0     -1      9740307.8      1012.5017  0.00010394966      4810.0207      1.8767     -1
    10     10      988.18      1234.8   Coal      1     -1      7484036.5      374.95758  5.0100982e-05      9979.8444      1.9272     -1
    10     11      1234.8      1543.1   Coal      0     -1       14949706      1678.8759   0.0001123016      4452.2963      2.0337     -1
    10     11      1234.8      1543.1   Coal      1     -1       10821804      507.60154  4.6905447e-05      10659.743      2.0899     -1
    10     12      1543.1      1928.2   Coal      0     -1       22796894        2598.55  0.00011398702      4386.4643      2.3506     -1
    10     12      1543.1      1928.2   Coal      1     -1       15469362      539.75683  3.4891991e-05      14329.936      2.4456     -1
    10     13      1928.2      2409.6   Coal      0     -1       34688554        3768.52  0.00010863872      4602.4108      2.6065     -1
    10     13      1928.2      2409.6   Coal      1     -1       21783988      772.38293  3.5456453e-05      14101.805      2.7511     -1
    10     14      2409.6        3011   Coal      0     -1       51756396        4851.73  9.3741651e-05      5333.8084      2.8186     -1
    10     14      2409.6        3011   Coal      1     -1       30602874      1228.6608  4.0148542e-05      12453.752      3.0008     -1
    10     15        3011      3762.6   Coal      0     -1       75461515        6145.27  8.1435816e-05      6139.8046      3.2747     -1
    10     15        3011      3762.6   Coal      1     -1       43794392      1565.6623  3.5750292e-05        13985.9      3.5113     -1
    10     16      3762.6      4701.8   Coal      0     -1  1.0689124e+08        7973.38  7.4593389e-05      6703.0069      3.9351     -1
    10     16      3762.6      4701.8   Coal      1     -1       63761313      2590.7505  4.0632013e-05      12305.568      4.2153     -1
    10     17      4701.8      5875.5   Coal      0     -1  1.4730681e+08       10005.44  6.7922456e-05      7361.3357      4.4324     -1
    10     17      4701.8      5875.5   Coal      1     -1       92481922      4386.7947  4.7434079e-05      10540.945      4.7079     -1
    10     18      5875.5      7342.1   Coal      0     -1  2.0600638e+08        9331.12  4.5295296e-05      11038.674      5.5586     -1
    10     18      5875.5      7342.1   Coal      1     -1  1.3499583e+08      4929.0743  3.6512789e-05      13693.832      5.9432     -1
    10     19      7342.1      9174.7   Coal      0     -1  2.9905105e+08        8547.69  2.8582712e-05      17493.091      6.6335     -1
    10     19      7342.1      9174.7   Coal      1     -1  2.0177907e+08        5283.86  2.6186363e-05      19093.908      7.0444     -1
    10     20      9174.7       11465   Coal      0     -1  4.4588663e+08        9051.25  2.0299443e-05      24631.218      7.9144     -1
    10     20      9174.7       11465   Coal      1     -1  3.0624013e+08      6047.0634   1.974615e-05      25321.392      8.3316     -1
    10     21       11465       14327   Coal      0     -1  1.9208221e+09       40272.44  2.0966252e-05      23847.849      9.4861     -1
    10     21       11465       14327   Coal      1     -1            120      3.2352911    0.026960759      18.545472           1     -1
    10     22       14327       17903   Coal      0     -1  2.5012271e+09       47559.97  1.9014655e-05      26295.508      10.753     -1
    10     22       14327       17903   Coal      1     -1            120      3.2353573    0.026961311      18.545092           1     -1
    10     23       17903       22372   Coal      0     -1  3.1510318e+09       66561.12  2.1123595e-05      23670.213       12.73     -1
    10     23       17903       22372   Coal      1     -1            120      3.2356877    0.026964064      18.543199           1     -1
    10     24       22372       27956   Coal      0     -1   3.713216e+09       87990.85  2.3696669e-05      21100.012      13.804     -1
    10     24       22372       27956   Coal      1     -1            120      3.2360378    0.026966982      18.541192           1     -1
    10     25       27956       34934   Coal      0     -1  4.0104595e+09      112305.76  2.8003215e-05      17855.093      15.548     -1
    10     25       27956       34934   Coal      1     -1            120      3.2365379    0.026971149      18.538328           1     -1
    10     26       34934       43654   Coal      0     -1  3.9620384e+09      125160.43  3.1589909e-05      15827.839      18.199     -1
    10     26       34934       43654   Coal      1     -1            120      3.2370098    0.026975082      18.535625           1     -1
    10     27       43654       54551   Coal      0     -1  3.5500151e+09      130480.41  3.6754888e-05      13603.633       19.17     -1
    10     27       43654       54551   Coal      1     -1            120      3.2376709    0.026980591       18.53184           1     -1
    10     28       54551       68167   Coal      0     -1  2.9150939e+09       114130.8  3.9151672e-05      12770.847      20.046     -1
    10     28       54551       68167   Coal      1     -1            120      3.2380633    0.026983861      18.529594           1     -1
    10     29       68167       85183   Coal      0     -1  2.2977416e+09       85393.76  3.7164214e-05      13453.803      20.829     -1
    10     29       68167       85183   Coal      1     -1            120      3.2380633    0.026983861      18.529594           1     -1
    10     30       85183  1.0645e+05   Coal      0     -1   2.162949e+09       42639.94  1.9713798e-05      25362.946      21.331     -1
