  Iter  Epoch       Start         End   Type   From     To            Opp          Count           Rate             Ne         ESS  Clump
    10      0           0         133   Coal      0     -1      315921.83  0.00041801206  1.3231503e-09  3.7788602e+08      1.0179     -1
    10      0           0         133   Coal      1     -1      288991.07      67.152174  0.00023236765      2151.7626      1.0161     -1
    10      1         133       166.2   Coal      0     -1      172144.95    0.078110038  4.5374574e-07      1101938.7      1.0505     -1
    10      1         133       166.2   Coal      1     -1      160616.47      36.247796   0.0002256792      2215.5343      1.0365     -1
    10      2       166.2      207.68   Coal      0     -1      270088.94      1.1531581  4.2695493e-06      117108.38      1.0788     -1
    10      2       166.2      207.68   Coal      1     -1      247585.79      19.134106  7.7282733e-05      6469.7505      1.0622     -1
    10      3      207.68      259.53   Coal      0     -1       423873.9      3.5031016  8.2644899e-06      60499.802      1.0906     -1
    10      3      207.68      259.53   Coal      1     -1      381316.26      19.074288  5.0022225e-05      9995.5571      1.0722     -1
    10      4      259.53      324.31   Coal      0     -1      661000.89       14.02791  2.1222226e-05      23560.205      1.1933     -1
    10      4      259.53      324.31   Coal      1     -1      592091.58       19.91174  3.3629493e-05      14867.902      1.1655     -1
    10      5      324.31      405.26   Coal      0     -1      1036293.2      13.325034  1.2858363e-05      38885.199      1.2426     -1
    10      5      324.31      405.26   Coal      1     -1      912831.31      65.890302  7.2182342e-05      6926.9019      1.2108     -1
    10      6      405.26      506.42   Coal      0     -1      1636554.6      10.218062  6.2436427e-06      80081.456      1.3377     -1
    10      6      405.26      506.42   Coal      1     -1      1401689.4      53.635224  3.8264699e-05      13066.874      1.3065     -1
    10      7      506.42      632.82   Coal      0     -1      2574554.1      85.123759  3.3063496e-05      15122.418      1.4319     -1
    10      7      506.42      632.82   Coal      1     -1      2156493.1      190.91202  8.8528927e-05      5647.8715      1.3969     -1
    10      8      632.82      790.79   Coal      0     -1      4022484.7      327.21499  8.1346485e-05      6146.5471      1.6247     -1
    10      8      632.82      790.79   Coal      1     -1      3231815.9      335.19131  0.00010371609      4820.8526      1.5857     -1
    10      9      790.79      988.18   Coal      0     -1      6186556.7      723.59375  0.00011696228      4274.8826      1.7377     -1
    10      9      790.79      988.18   Coal      1     -1      4810957.5      323.70561  6.7285071e-05       7431.069      1.7141     -1
    10     10      988.18      1234.8   Coal      0     -1      9271606.6      1529.9073  0.00016500995      3030.1203      1.8979     -1
    10     10      988.18      1234.8   Coal      1     -1      7133961.5      281.59573  3.9472561e-05      12667.027      1.8968     -1
    10     11      1234.8      1543.1   Coal      0     -1       13844566      2273.3497  0.00016420519      3044.9707      2.1306     -1
    10     11      1234.8      1543.1   Coal      1     -1       10423986      304.97119  2.9256678e-05      17090.115      2.1639     -1
    10     12      1543.1      1928.2   Coal      0     -1       20688948        3148.16  0.00015216627      3285.8794      2.4458     -1
    10     12      1543.1      1928.2   Coal      1     -1       14907822      469.48418  3.1492472e-05       15876.81      2.5512     -1
    10     13      1928.2      2409.6   Coal      0     -1       30980071        3566.82  0.00011513273      4342.8139      2.6105     -1
    10     13      1928.2      2409.6   Coal      1     -1       21276180      654.74093  3.0773425e-05      16247.785      2.7535     -1
    10     14      2409.6        3011   Coal      0     -1       46332542        4649.01  0.00010034006      4983.0546      3.0939     -1
    10     14      2409.6        3011   Coal      1     -1       30629701      840.45405  2.7439185e-05      18222.115      3.3081     -1
    10     15        3011      3762.6   Coal      0     -1       68111539        5456.84  8.0116234e-05      6240.9324      3.5298     -1
    10     15        3011      3762.6   Coal      1     -1       44609800      1391.0215  3.1181972e-05      16034.906      3.7956     -1
    10     16      3762.6      4701.8   Coal      0     -1       98736852        6844.65  6.9322141e-05      7212.7027      4.1545     -1
    10     16      3762.6      4701.8   Coal      1     -1       65912169      2222.6532  3.3721439e-05      14827.362      4.4628     -1
    10     17      4701.8      5875.5   Coal      0     -1  1.3952475e+08        8863.03  6.3522995e-05      7871.1654      4.6412     -1
    10     17      4701.8      5875.5   Coal      1     -1       96915485       3923.621  4.0484976e-05      12350.261       4.952     -1
    10     18      5875.5      7342.1   Coal      0     -1  1.9868855e+08        8301.04  4.1779155e-05       11967.69      5.6888     -1
    10     18      5875.5      7342.1   Coal      1     -1   1.425813e+08      4824.8681  3.3839416e-05      14775.669      6.0715     -1
    10     19      7342.1      9174.7   Coal      0     -1   2.926347e+08        8098.27   2.767365e-05      18067.729      6.8988     -1
    10     19      7342.1      9174.7   Coal      1     -1   2.112773e+08      5287.9812  2.5028629e-05      19977.123      7.3509     -1
    10     20      9174.7       11465   Coal      0     -1  4.3737764e+08        8677.33  1.9839446e-05      25202.317      7.9523     -1
    10     20      9174.7       11465   Coal      1     -1   3.178181e+08      6630.5378  2.0862682e-05      23966.238      8.3045     -1
    10     21       11465       14327   Coal      0     -1  1.9387629e+09       39375.99  2.0309853e-05      24618.592      9.1695     -1
    10     21       11465       14327   Coal      1     -1            125       3.239262    0.025914096      19.294518           1     -1
    10     22       14327       17903   Coal      0     -1  2.5295525e+09       47509.42  1.8781749e-05      26621.589      11.288     -1
    10     22       14327       17903   Coal      1     -1            125       3.239331    0.025914648      19.294107           1     -1
    10     23       17903       22372   Coal      0     -1  3.1812217e+09       67132.36  2.1102698e-05      23693.653      12.792     -1
    10     23       17903       22372   Coal      1     -1            125      3.2396761    0.025917409      19.292052           1     -1
    10     24       22372       27956   Coal      0     -1  3.7339619e+09       89615.22  2.4000036e-05      20833.302      14.789     -1
