  Iter  Epoch       Start         End   Type   From     To            Opp          Count           Rate             Ne         ESS  Clump
    10      0           0         133   Coal      0     -1      308333.18      41.271082  0.00013385222      3735.4628      1.4741     -1
    10      1         133       166.2   Coal      0     -1      163264.78      6.0451447  3.7026631e-05      13503.794      2.1389     -1
    10      2       166.2      207.68   Coal      0     -1      253790.67      6.7588504  2.6631595e-05      18774.692      2.8095     -1
    10      3      207.68      259.53   Coal      0     -1      398530.51      5.4142668  1.3585577e-05      36803.738       3.286     -1
    10      4      259.53      324.31   Coal      0     -1      619070.03      9.0296715  1.4585864e-05      34279.765      3.5808     -1
    10      5      324.31      405.26   Coal      0     -1      959732.46      42.165117  4.3934241e-05      11380.645       4.254     -1
    10      6      405.26      506.42   Coal      0     -1      1486430.7      59.157258  3.9798194e-05      12563.384      4.6778     -1
    10      7      506.42      632.82   Coal      0     -1      2306071.1      131.41396  5.6986082e-05      8774.0722      5.9577     -1
    10      8      632.82      790.79   Coal      0     -1      3525350.5      271.78365   7.709408e-05      6485.5823      6.4599     -1
    10      9      790.79      988.18   Coal      0     -1      5371241.8      289.28956  5.3858972e-05      9283.5043      8.8189     -1
    10     10      988.18      1234.8   Coal      0     -1      8205545.3       452.9676  5.5202621e-05       9057.541      11.296     -1
    10     11      1234.8      1543.1   Coal      0     -1       12473084       612.5976  4.9113563e-05      10180.487      11.955     -1
    10     12      1543.1      1928.2   Coal      0     -1       18898646      851.61611  4.5062282e-05      11095.754      15.755     -1
    10     13      1928.2      2409.6   Coal      0     -1       28625150      1134.2541   3.962439e-05      12618.491      15.263     -1
    10     14      2409.6        3011   Coal      0     -1       43309074      1412.6302  3.2617418e-05      15329.233      21.132     -1
    10     15        3011      3762.6   Coal      0     -1       65302872      1974.2968  3.0232925e-05      16538.261      25.979     -1
    10     16      3762.6      4701.8   Coal      0     -1       97936257      2905.9034  2.9671374e-05      16851.259       28.76     -1
    10     17      4701.8      5875.5   Coal      0     -1  1.4502295e+08        4543.23  3.1327662e-05      15960.336      33.661     -1
    10     18      5875.5      7342.1   Coal      0     -1  2.1421738e+08        5223.98   2.438635e-05      20503.274      38.419     -1
    10     19      7342.1      9174.7   Coal      0     -1  3.1748386e+08         6112.5  1.9252948e-05       25970.05      52.007     -1
    10     20      9174.7       11465   Coal      0     -1  4.7127756e+08        8049.21  1.7079553e-05      29274.771      57.383     -1
    10     21       11465       14327   Coal      0     -1    6.91934e+08       11539.47  1.6677125e-05      29981.186      64.766     -1
    10     22       14327       17903   Coal      0     -1  9.9319226e+08       17877.78  1.8000322e-05      27777.282      83.074     -1
    10     23       17903       22372   Coal      0     -1  1.3539289e+09       30091.62  2.2225406e-05      22496.777      89.992     -1
    10     24       22372       27956   Coal      0     -1  1.7307927e+09       43570.65  2.5173811e-05      19861.911      100.55     -1
    10     25       27956       34934   Coal      0     -1  2.0459799e+09       59249.52  2.8958995e-05      17265.793      107.17     -1
    10     26       34934       43654   Coal      0     -1  2.2215137e+09       69576.92  3.1319599e-05      15964.444      109.62     -1
    10     27       43654       54551   Coal      0     -1  2.1977348e+09       76222.46  3.4682283e-05      14416.583      107.92     -1
    10     28       54551       68167   Coal      0     -1  1.9502185e+09        70531.6  3.6165998e-05       13825.14      91.736     -1
    10     29       68167       85183   Coal      0     -1  1.6359233e+09       54917.27  3.3569588e-05      14894.434      78.871     -1
    10     30       85183  1.0645e+05   Coal      0     -1  1.5708856e+09       28785.88  1.8324618e-05      27285.698      72.252     -1
    10     31  1.0645e+05  1.3302e+05   Coal      0     -1  1.6383548e+09       28820.89  1.7591361e-05      28423.043      73.195     -1
    10     32  1.3302e+05       1e+99   Coal      0     -1   4.078801e+09        70237.7  1.7220183e-05      29035.696      56.138     -1
    10     -1           0       1e+99  Delay     -1     -1  2.5957002e+09              0              0              0           1     -1
    10     -1           0       1e+99   LogL     -1     -1              1      -15784790      -15784790              0           1     -1
    10     -1           0       1e+99 Recomb     -1     -1           4323  1.2969005e-05  3.0000011e-09              0           1     -1
    10     -1           0       1e+99 Resamp     -1     -1  2.5957002e+09         737414  0.00028409059              0           1     -1
     9      0           0         133   Coal      0     -1      309466.89       40.11594  0.00012962918      3857.1561      1.5364     -1
     9      1         133       166.2   Coal      0     -1      164980.63      7.0497349  4.2730682e-05      11701.194      2.0998     -1
     9      2       166.2      207.68   Coal      0     -1      253433.29      4.2200131  1.6651376e-05      30027.548       2.524     -1
     9      3      207.68      259.53   Coal      0     -1      395389.16      4.8455759  1.2255207e-05      40798.985      2.8285     -1
     9      4      259.53      324.31   Coal      0     -1      615077.49      7.8541739  1.2769406e-05       39156.09      3.8515     -1
     9      5      324.31      405.26   Coal      0     -1      956784.42      43.656774  4.5628642e-05      10958.029      4.3983     -1
     9      6      405.26      506.42   Coal      0     -1      1483431.9      60.303802  4.0651546e-05      12299.655      5.3532     -1
     9      7      506.42      632.82   Coal      0     -1      2289252.4      129.94125  5.6761435e-05      8808.7977      5.9308     -1
     9      8      632.82      790.79   Coal      0     -1      3515139.2      263.50123  7.4961821e-05      6670.0621      7.6414     -1
     9      9      790.79      988.18   Coal      0     -1      5364645.8      297.65061  5.5483739e-05      9011.6493      8.7689     -1
     9     10      988.18      1234.8   Coal      0     -1        8186694      442.77345  5.4084524e-05      9244.7887      10.263     -1
     9     11      1234.8      1543.1   Coal      0     -1       12455127      601.17161  4.8266998e-05      10359.045      11.822     -1
     9     12      1543.1      1928.2   Coal      0     -1       18902786      834.95387  4.4170941e-05      11319.659      15.814     -1
     9     13      1928.2      2409.6   Coal      0     -1       28628382      1118.6249  3.9073981e-05      12796.239      16.944     -1
     9     14      2409.6        3011   Coal      0     -1       43335379      1421.5868  3.2804301e-05      15241.904      20.548     -1
     9     15        3011      3762.6   Coal      0     -1       65378370       2006.656  3.0692964e-05      16290.378      26.395     -1
     9     16      3762.6      4701.8   Coal      0     -1       98020595      2966.4185  3.0263216e-05      16521.707      28.898     -1
     9     17      4701.8      5875.5   Coal      0     -1  1.4507968e+08         4586.9   3.161642e-05      15814.567      33.381     -1
     9     18      5875.5      7342.1   Coal      0     -1  2.1391261e+08        5272.13  2.4646187e-05      20287.114       38.39     -1
     9     19      7342.1      9174.7   Coal      0     -1  3.1685115e+08         6176.9  1.9494643e-05      25648.072      50.453     -1
     9     20      9174.7       11465   Coal      0     -1  4.7035599e+08        8050.43  1.7115611e-05      29213.097      57.894     -1
     9     21       11465       14327   Coal      0     -1  6.9119784e+08       11477.51  1.6605246e-05      30110.967      69.353     -1
     9     22       14327       17903   Coal      0     -1  9.9257653e+08       17721.23  1.7853767e-05      28005.294      85.378     -1
     9     23       17903       22372   Coal      0     -1  1.3554334e+09       29792.46  2.1980025e-05      22747.926       91.34     -1
     9     24       22372       27956   Coal      0     -1  1.7346487e+09       43271.64  2.4945477e-05      20043.714      100.55     -1
     9     25       27956       34934   Coal      0     -1  2.0551051e+09       59152.63  2.8783262e-05      17371.207       111.3     -1
     9     26       34934       43654   Coal      0     -1  2.2323397e+09       69750.69  3.1245554e-05      16002.277      112.23     -1
     9     27       43654       54551   Coal      0     -1  2.2072269e+09       76715.36  3.4756444e-05      14385.821      111.73     -1
     9     28       54551       68167   Coal      0     -1  1.9533624e+09       70845.39  3.6268431e-05      13786.094      94.072     -1
     9     29       68167       85183   Coal      0     -1  1.6340968e+09       55125.05  3.3734262e-05      14821.726      78.366     -1
     9     30       85183  1.0645e+05   Coal      0     -1  1.5660683e+09       28839.99  1.8415538e-05      27150.986      71.775     -1
     9     31  1.0645e+05  1.3302e+05   Coal      0     -1  1.6268491e+09       28883.53  1.7754277e-05      28162.228      73.826     -1
     9     32  1.3302e+05       1e+99   Coal      0     -1  3.9999775e+09       69587.22  1.7396903e-05      28740.748      56.127     -1
     9     -1           0       1e+99  Delay     -1     -1  2.5957002e+09              0              0              0           1     -1
     9     -1           0       1e+99   LogL     -1     -1              1      -15784905      -15784905              0           1     -1
     9     -1           0       1e+99 Recomb     -1     -1           4323  1.2969005e-05  3.0000011e-09              0           1     -1
     9     -1           0       1e+99 Resamp     -1     -1  2.5957002e+09         735698  0.00028342949              0           1     -1
     8      0           0         133   Coal      0     -1       305611.6       31.58909  0.00010336352      4837.2966      1.5256     -1
