  Iter  Epoch       Start         End   Type   From     To            Opp          Count           Rate             Ne         ESS  Clump
    10      0           0         133   Coal      0     -1      347777.76      12.830777  3.6893611e-05      13552.482      1.0183     -1
    10      0           0         133   Coal      1     -1      325680.85     0.17271904  5.3033221e-07      942805.27      1.0206     -1
    10      1         133       166.2   Coal      0     -1      192691.16      27.034149  0.00014029781      3563.8474      1.0303     -1
    10      1         133       166.2   Coal      1     -1         175747       3.370852   1.918014e-05      26068.632      1.0355     -1
    10      2       166.2      207.68   Coal      0     -1      300891.73      12.615465  4.1926925e-05      11925.511      1.0724     -1
    10      2       166.2      207.68   Coal      1     -1      271806.84      3.7502462  1.3797468e-05      36238.532      1.0828     -1
    10      3      207.68      259.53   Coal      0     -1      467894.98      19.170565   4.097194e-05      12203.474      1.1016     -1
    10      3      207.68      259.53   Coal      1     -1      420006.16      13.527974   3.220899e-05      15523.616      1.1146     -1
    10      4      259.53      324.31   Coal      0     -1      727362.33      24.936905  3.4284021e-05      14584.054      1.1332     -1
    10      4      259.53      324.31   Coal      1     -1      650087.64      5.2734757  8.1119457e-06      61637.493      1.1452     -1
    10      5      324.31      405.26   Coal      0     -1      1143768.6      45.573121  3.9844705e-05      12548.719      1.1738     -1
    10      5      324.31      405.26   Coal      1     -1      998497.39      18.689919  1.8718045e-05      26712.192      1.1887     -1
    10      6      405.26      506.42   Coal      0     -1      1788806.2      83.104366  4.6458005e-05      10762.408      1.2792     -1
    10      6      405.26      506.42   Coal      1     -1      1529185.5      19.131019  1.2510594e-05      39966.127      1.3032     -1
    10      7      506.42      632.82   Coal      0     -1      2789339.7      320.92194  0.00011505301      4345.8227      1.3781     -1
    10      7      506.42      632.82   Coal      1     -1      2303508.5      56.116284  2.4361223e-05      20524.421      1.4108     -1
    10      8      632.82      790.79   Coal      0     -1      4320289.8      621.69187   0.0001439005      3474.6231       1.521     -1
    10      8      632.82      790.79   Coal      1     -1      3412026.5      155.87477  4.5683927e-05      10944.768      1.5695     -1
    10      9      790.79      988.18   Coal      0     -1      6743811.7      1022.5263  0.00015162438      3297.6227      1.7174     -1
    10      9      790.79      988.18   Coal      1     -1      4877745.7       166.5807  3.4151166e-05      14640.788      1.7912     -1
    10     10      988.18      1234.8   Coal      0     -1       10380130      2037.8833  0.00019632541      2546.7921      1.8029     -1
