  Iter  Epoch       Start         End   Type   From     To            Opp          Count           Rate             Ne         ESS  Clump
    10      0           0         133   Coal      0     -1      330697.14      69.767689  0.00021097155      2369.9878      1.0152     -1
    10      0           0         133   Coal      1     -1      321258.28      29.448543  9.1666254e-05        5454.57      1.0173     -1
    10      1         133       166.2   Coal      0     -1      184069.56  0.00021898921   1.189709e-09  4.2027084e+08      1.0312     -1
    10      1         133       166.2   Coal      1     -1      169917.42      33.151254  0.00019510215        2562.76      1.0376     -1
    10      2       166.2      207.68   Coal      0     -1      291649.84      2.0815766  7.1372458e-06      70055.034      1.0536     -1
    10      2       166.2      207.68   Coal      1     -1      257047.06      17.494427  6.8059239e-05      7346.5411      1.0623     -1
    10      3      207.68      259.53   Coal      0     -1      466516.93      6.5983696  1.4143902e-05      35350.924      1.0934     -1
    10      3      207.68      259.53   Coal      1     -1      392863.83       3.473294  8.8409615e-06      56554.934      1.1002     -1
    10      4      259.53      324.31   Coal      0     -1      740720.54      10.574337  1.4275744e-05      35024.443      1.1308     -1
    10      4      259.53      324.31   Coal      1     -1      597346.12      22.464742  3.7607579e-05      13295.192      1.1406     -1
    10      5      324.31      405.26   Coal      0     -1      1181311.4      5.9276214  5.0178315e-06      99644.638      1.1553     -1
    10      5      324.31      405.26   Coal      1     -1      895657.99      55.604914  6.2082754e-05      8053.7665      1.1664     -1
    10      6      405.26      506.42   Coal      0     -1      1898789.9      41.627459  2.1923151e-05       22806.94      1.2861     -1
    10      6      405.26      506.42   Coal      1     -1      1335493.4      43.613364  3.2657117e-05      15310.598      1.2963     -1
    10      7      506.42      632.82   Coal      0     -1      3096989.5      58.095154  1.8758589e-05      26654.457      1.4097     -1
    10      7      506.42      632.82   Coal      1     -1      1957715.6      116.16372  5.9336361e-05      8426.5363      1.4157     -1
    10      8      632.82      790.79   Coal      0     -1      5016797.4      234.91267  4.6825226e-05      10678.005       1.541     -1
    10      8      632.82      790.79   Coal      1     -1      2848261.6      100.60949  3.5323123e-05      14155.034      1.5572     -1
    10      9      790.79      988.18   Coal      0     -1      8023561.5      629.23622  7.8423556e-05      6375.6354      1.6467     -1
    10      9      790.79      988.18   Coal      1     -1      4098842.8      166.20062  4.0548181e-05      12331.009      1.6574     -1
    10     10      988.18      1234.8   Coal      0     -1       12760321      1019.6965  7.9911507e-05      6256.9212      1.9192     -1
    10     10      988.18      1234.8   Coal      1     -1        5782013      253.51884  4.3846121e-05      11403.517      1.9368     -1
    10     11      1234.8      1543.1   Coal      0     -1       20280597      1915.4366   9.444676e-05      5293.9878      2.0286     -1
    10     11      1234.8      1543.1   Coal      1     -1      7990597.8      257.76245  3.2258219e-05      15499.926      2.0659     -1
    10     12      1543.1      1928.2   Coal      0     -1       31318995      3154.5323  0.00010072265      4964.1266      2.2945     -1
    10     12      1543.1      1928.2   Coal      1     -1       10863230      327.23741  3.0123398e-05      16598.393      2.3548     -1
    10     13      1928.2      2409.6   Coal      0     -1       46589248      4533.0031  9.7297195e-05      5138.8943      2.5632     -1
    10     13      1928.2      2409.6   Coal      1     -1       14846581       627.5839  4.2271274e-05      11828.364       2.667     -1
    10     14      2409.6        3011   Coal      0     -1       67092145        6451.59  9.6160139e-05      5199.6597       2.905     -1
    10     14      2409.6        3011   Coal      1     -1       20453007       922.1066  4.5084157e-05       11090.37      3.0639     -1
