  Iter  Epoch       Start         End   Type   From     To            Opp          Count           Rate             Ne         ESS  Clump
    10      0           0         133   Coal      0     -1      357444.59      52.853816  0.00014786576      3381.4454      1.0175     -1
    10      0           0         133   Coal      1     -1      307980.49      7.0453514  2.2875966e-05          21857      1.0159     -1
    10      1         133       166.2   Coal      0     -1      205485.46      3.6606191  1.7814492e-05      28067.036      1.0323     -1
    10      1         133       166.2   Coal      1     -1      160591.03      9.8665929  6.1439253e-05      8138.1198       1.037     -1
    10      2       166.2      207.68   Coal      0     -1      325844.08      1.0002635  3.0697611e-06      162879.12      1.0509     -1
    10      2       166.2      207.68   Coal      1     -1      244011.91      1.1106015  4.5514232e-06      109855.75      1.0585     -1
    10      3      207.68      259.53   Coal      0     -1      520160.25      4.9524475  9.5210034e-06      52515.473       1.092     -1
    10      3      207.68      259.53   Coal      1     -1      363818.28       1.176036  3.2324818e-06      154679.91       1.105     -1
    10      4      259.53      324.31   Coal      0     -1      826517.14    0.097439908  1.1789218e-07      4241163.4       1.102     -1
    10      4      259.53      324.31   Coal      1     -1      556433.22       5.241274  9.4194124e-06      53081.867      1.1112     -1
    10      5      324.31      405.26   Coal      0     -1      1322071.7      11.430966  8.6462527e-06       57828.52      1.2201     -1
    10      5      324.31      405.26   Coal      1     -1      857244.46       8.626778  1.0063381e-05      49685.089       1.233     -1
    10      6      405.26      506.42   Coal      0     -1      2110480.8      19.386235  9.1856957e-06      54432.459      1.3143     -1
    10      6      405.26      506.42   Coal      1     -1      1290516.3      43.670521  3.3839572e-05      14775.601       1.327     -1
    10      7      506.42      632.82   Coal      0     -1      3389675.5      101.94995  3.0076611e-05      16624.213       1.415     -1
    10      7      506.42      632.82   Coal      1     -1      1911990.5       64.42751  3.3696564e-05      14838.308      1.4186     -1
    10      8      632.82      790.79   Coal      0     -1      5412425.1      318.21024  5.8792544e-05      8504.4798      1.4798     -1
    10      8      632.82      790.79   Coal      1     -1      2819835.7      83.514946  2.9616955e-05      16882.222      1.4739     -1
    10      9      790.79      988.18   Coal      0     -1      8718991.4      545.74373   6.259253e-05      7988.1737      1.6485     -1
    10      9      790.79      988.18   Coal      1     -1      4010896.3       111.4548  2.7788004e-05      17993.376      1.6507     -1
    10     10      988.18      1234.8   Coal      0     -1       14092858      1301.7813  9.2371702e-05      5412.9132      1.8791     -1
    10     10      988.18      1234.8   Coal      1     -1      5443862.7      173.73415  3.1913764e-05      15667.221      1.8879     -1
    10     11      1234.8      1543.1   Coal      0     -1       22167653      2062.8228  9.3055535e-05      5373.1355      2.0646     -1
    10     11      1234.8      1543.1   Coal      1     -1      7379737.5      218.69421  2.9634415e-05      16872.275      2.0908     -1
    10     12      1543.1      1928.2   Coal      0     -1       33336461        3330.17  9.9895725e-05      5005.2192      2.2341     -1
    10     12      1543.1      1928.2   Coal      1     -1       10294752      388.06635   3.769555e-05      13264.165      2.2902     -1
    10     13      1928.2      2409.6   Coal      0     -1       48346627        4907.59  0.00010150843      4925.6995      2.4979     -1
    10     13      1928.2      2409.6   Coal      1     -1       14441706      641.23813  4.4401828e-05      11260.798      2.5652     -1
    10     14      2409.6        3011   Coal      0     -1       67178647        6862.18  0.00010214823      4894.8474      2.9093     -1
    10     14      2409.6        3011   Coal      1     -1       20452712       1047.197  5.1200885e-05      9765.4563      3.0245     -1
    10     15        3011      3762.6   Coal      0     -1       92001242        7721.25  8.3925497e-05       5957.665      3.3236     -1
    10     15        3011      3762.6   Coal      1     -1       29303655      1641.8806  5.6029891e-05      8923.8082      3.5032     -1
    10     16      3762.6      4701.8   Coal      0     -1  1.2363723e+08        9862.87  7.9772655e-05      6267.8119      3.6395     -1
    10     16      3762.6      4701.8   Coal      1     -1       42582695      2639.6398  6.1988557e-05      8066.0049      3.8551     -1
    10     17      4701.8      5875.5   Coal      0     -1  1.6279811e+08       11860.86   7.285625e-05      6862.8292      4.3569     -1
    10     17      4701.8      5875.5   Coal      1     -1       62390062      3999.1225   6.409871e-05       7800.469      4.6678     -1
    10     18      5875.5      7342.1   Coal      0     -1  2.2132663e+08        9957.13  4.4988396e-05      11113.977      5.2091     -1
    10     18      5875.5      7342.1   Coal      1     -1       93396193      3984.6811  4.2664277e-05      11719.406      5.5098     -1
    10     19      7342.1      9174.7   Coal      0     -1  3.1645497e+08        9007.88  2.8464966e-05      17565.452      6.4813     -1
