  Iter  Epoch       Start         End   Type   From     To            Opp          Count           Rate             Ne         ESS  Clump
    10      0           0         133   Coal      0     -1      354799.43      1.0001122    2.81881e-06      177379.82       1.016     -1
    10      0           0         133   Coal      1     -1      322133.25      24.115178  7.4860877e-05      6679.0561      1.0136     -1
    10      1         133       166.2   Coal      0     -1      198453.05    0.044974001  2.2662288e-07      2206308.6      1.0354     -1
    10      1         133       166.2   Coal      1     -1      174252.99       5.215835  2.9932543e-05      16704.227      1.0301     -1
    10      2       166.2      207.68   Coal      0     -1      316605.66  0.00062006472  1.9584764e-09  2.5530049e+08      1.0419     -1
    10      2       166.2      207.68   Coal      1     -1      264539.35     0.16146949  6.1037985e-07      819162.03      1.0378     -1
    10      3      207.68      259.53   Coal      0     -1      508395.43  7.9408064e-05   1.561935e-10  3.2011574e+09      1.0805     -1
    10      3      207.68      259.53   Coal      1     -1      400060.51  0.00032034349  8.0073761e-10  6.2442428e+08      1.0759     -1
    10      4      259.53      324.31   Coal      0     -1      804680.34      2.8822297  3.5818319e-06      139593.37      1.1185     -1
    10      4      259.53      324.31   Coal      1     -1      596981.13       7.731368  1.2950774e-05       38607.73      1.1133     -1
    10      5      324.31      405.26   Coal      0     -1        1279177      7.4958712  5.8599169e-06      85325.442      1.1979     -1
    10      5      324.31      405.26   Coal      1     -1      906175.27      34.675548  3.8265829e-05      13066.488      1.1927     -1
    10      6      405.26      506.42   Coal      0     -1      2043081.1      20.808616  1.0184919e-05      49092.191      1.2279     -1
    10      6      405.26      506.42   Coal      1     -1        1382101      25.284603  1.8294324e-05      27330.882      1.2182     -1
    10      7      506.42      632.82   Coal      0     -1      3292830.4      60.234012  1.8292473e-05      27333.647       1.325     -1
    10      7      506.42      632.82   Coal      1     -1      2095458.5      61.466563  2.9333229e-05      17045.515      1.3203     -1
    10      8      632.82      790.79   Coal      0     -1        5256370      361.05091   6.868826e-05      7279.2643      1.4893     -1
    10      8      632.82      790.79   Coal      1     -1      3076827.1      118.76197  3.8598845e-05      12953.755      1.4945     -1
    10      9      790.79      988.18   Coal      0     -1      8325040.6      692.21826  8.3148935e-05      6013.3061      1.7822     -1
    10      9      790.79      988.18   Coal      1     -1      4381144.4      90.524203  2.0662228e-05      24198.746         1.8     -1
    10     10      988.18      1234.8   Coal      0     -1       13119312      1453.0782  0.00011075871      4514.3175      1.7534     -1
    10     10      988.18      1234.8   Coal      1     -1      6189767.8       190.7925  3.0823855e-05      16221.203      1.7626     -1
    10     11      1234.8      1543.1   Coal      0     -1       20362928        2587.92  0.00012708978      3934.2268      1.9981     -1
    10     11      1234.8      1543.1   Coal      1     -1        8436824      268.32082  3.1803534e-05      15721.523      2.0349     -1
    10     12      1543.1      1928.2   Coal      0     -1       30568167        3907.78  0.00012783822      3911.1935      2.2266     -1
    10     12      1543.1      1928.2   Coal      1     -1       11386852      446.61556   3.922204e-05      12747.935      2.2981     -1
    10     13      1928.2      2409.6   Coal      0     -1       44690456        5303.73  0.00011867702      4213.1157      2.4029     -1
    10     13      1928.2      2409.6   Coal      1     -1       15533822      584.99046  3.7659145e-05      13276.988      2.4939     -1
    10     14      2409.6        3011   Coal      0     -1       63568343        6683.26  0.00010513504      4755.7886      2.5604     -1
    10     14      2409.6        3011   Coal      1     -1       21374780      983.54047  4.6014062e-05      10866.243      2.6631     -1
    10     15        3011      3762.6   Coal      0     -1       88371474        8057.85  9.1181573e-05      5483.5641       3.238     -1
    10     15        3011      3762.6   Coal      1     -1       30167633      1715.3986  5.6862219e-05      8793.1848      3.3977     -1
    10     16      3762.6      4701.8   Coal      0     -1  1.2053785e+08        9562.47  7.9331677e-05      6302.6526      3.7378     -1
    10     16      3762.6      4701.8   Coal      1     -1       43366266      2539.7746  5.8565673e-05      8537.4243        3.93     -1
    10     17      4701.8      5875.5   Coal      0     -1  1.6111766e+08       11765.72  7.3025637e-05      6846.9105      4.7285     -1
    10     17      4701.8      5875.5   Coal      1     -1       62867091      3856.0189  6.1336048e-05      8151.8131      5.0159     -1
    10     18      5875.5      7342.1   Coal      0     -1  2.1966087e+08        10031.6   4.566858e-05      10948.446      5.1413     -1
    10     18      5875.5      7342.1   Coal      1     -1       93421399      4044.9902  4.3298326e-05      11547.791      5.3981     -1
    10     19      7342.1      9174.7   Coal      0     -1  3.1448383e+08        8984.52    2.85691e-05      17501.426      6.2589     -1
    10     19      7342.1      9174.7   Coal      1     -1  1.4379542e+08       4101.453  2.8522836e-05      17529.814      6.5621     -1
    10     20      9174.7       11465   Coal      0     -1  4.6263902e+08        9298.56  2.0098953e-05      24876.918      7.9786     -1
    10     20      9174.7       11465   Coal      1     -1  2.2602427e+08      4642.6535  2.0540509e-05      24342.143      8.3211     -1
    10     21       11465       14327   Coal      0     -1  1.7108559e+09       35985.32  2.1033519e-05      23771.581      8.5474     -1
    10     21       11465       14327   Coal      1     -1            122      3.2369172    0.026532108      18.845091           1     -1
    10     22       14327       17903   Coal      0     -1  2.2604173e+09       42405.38  1.8759978e-05      26652.483      10.545     -1
    10     22       14327       17903   Coal      1     -1            122      3.2369844    0.026532659        18.8447           1     -1
    10     23       17903       22372   Coal      0     -1  2.8847412e+09       60665.46  2.1029776e-05      23775.812      12.572     -1
    10     23       17903       22372   Coal      1     -1            122      3.2373206    0.026535415      18.842743           1     -1
    10     24       22372       27956   Coal      0     -1  3.4457764e+09       81063.18  2.3525374e-05      21253.647      14.375     -1
    10     24       22372       27956   Coal      1     -1            122      3.2376767    0.026538334       18.84067           1     -1
    10     25       27956       34934   Coal      0     -1    3.77107e+09      105073.44  2.7863031e-05      17944.925      15.817     -1
    10     25       27956       34934   Coal      1     -1            122      3.2381855    0.026542504       18.83771           1     -1
    10     26       34934       43654   Coal      0     -1  3.7602837e+09      118527.72  3.1520952e-05      15862.465       17.28     -1
    10     26       34934       43654   Coal      1     -1            122       3.238666    0.026546443      18.834915           1     -1
    10     27       43654       54551   Coal      0     -1  3.3920341e+09      124475.43  3.6696397e-05      13625.316       19.78     -1
    10     27       43654       54551   Coal      1     -1            122      3.2393388    0.026551957      18.831004           1     -1
    10     28       54551       68167   Coal      0     -1  2.7998655e+09      108938.66  3.8908533e-05      12850.651      20.949     -1
    10     28       54551       68167   Coal      1     -1            122      3.2397378    0.026555228      18.828684           1     -1
    10     29       68167       85183   Coal      0     -1  2.2176316e+09       81350.36  3.6683442e-05      13630.128      20.915     -1
    10     29       68167       85183   Coal      1     -1            122      3.2397378    0.026555228      18.828684           1     -1
    10     30       85183  1.0645e+05   Coal      0     -1   2.101945e+09       40956.17  1.9484891e-05      25660.908      21.832     -1
    10     30       85183  1.0645e+05   Coal      1     -1            122      3.2378252    0.026539551      18.839806           1     -1
    10     31  1.0645e+05  1.3302e+05   Coal      0     -1  2.1732222e+09       40138.49  1.8469574e-05       27071.55      23.284     -1
    10     31  1.0645e+05  1.3302e+05   Coal      1     -1            122      3.2378252    0.026539551      18.839806           1     -1
    10     32  1.3302e+05       1e+99   Coal      0     -1  5.2202519e+09       94441.13  1.8091298e-05      27637.597      23.651     -1
    10     32  1.3302e+05       1e+99   Coal      1     -1            122      3.2378252    0.026539551      18.839806           1     -1
    10     -1           0       1e+99  Delay     -1     -1   2.600248e+09              0              0              0           1     -1
    10     -1           0       1e+99   LogL     -1     -1              1      -30490706      -30490706              0           1     -1
    10      0           0         133   Migr      0      1      197828.37      1.0002041  5.0559186e-06              0      1.0239     -1
    10      0           0         133   Migr      1      0      187952.26      60.543897  0.00032212381              0      1.0223     -1
    10      1         133       166.2   Migr      0      1      101402.56      1.0029681  9.8909544e-06              0      1.0389     -1
    10      1         133       166.2   Migr      1      0       95297.45      22.511258  0.00023622099              0       1.035     -1
    10      2       166.2      207.68   Migr      0      1      157914.09  0.00038806335  2.4574333e-09              0       1.045     -1
    10      2       166.2      207.68   Migr      1      0      144384.76      72.305617  0.00050078428              0      1.0421     -1
    10      3      207.68      259.53   Migr      0      1      247164.26      1.4878247  6.0195784e-06              0      1.0829     -1
    10      3      207.68      259.53   Migr      1      0      219401.46      83.302862  0.00037968235              0      1.0802     -1
    10      4      259.53      324.31   Migr      0      1      383602.11      0.3804202  9.9170517e-07              0      1.1194     -1
    10      4      259.53      324.31   Migr      1      0      327625.85      69.326151  0.00021160159              0      1.1167     -1
    10      5      324.31      405.26   Migr      0      1      598430.35  8.1207386e-05  1.3570065e-10              0      1.1972     -1
    10      5      324.31      405.26   Migr      1      0      496983.45      78.627704  0.00015820991              0      1.1965     -1
    10      6      405.26      506.42   Migr      0      1      938528.41      9.2562083  9.8624701e-06              0      1.2266     -1
    10      6      405.26      506.42   Migr      1      0      760311.58      147.61347  0.00019414865              0      1.2229     -1
    10      7      506.42      632.82   Migr      0      1      1484546.1      18.441079  1.2422032e-05              0      1.3226     -1
    10      7      506.42      632.82   Migr      1      0      1160718.6      226.11834  0.00019480892              0      1.3245     -1
    10      8      632.82      790.79   Migr      0      1      2322421.9      62.926933  2.7095392e-05              0      1.4854     -1
    10      8      632.82      790.79   Migr      1      0      1739976.6      465.12947  0.00026731938              0      1.4976     -1
    10      9      790.79      988.18   Migr      0      1      3603788.9      59.287882  1.6451541e-05              0      1.7753     -1
    10      9      790.79      988.18   Migr      1      0      2552145.9      749.70396  0.00029375436              0      1.8027     -1
    10     10      988.18      1234.8   Migr      0      1      5554254.2      173.83304  3.1297279e-05              0      1.7438     -1
    10     10      988.18      1234.8   Migr      1      0      3747395.8      1107.1294  0.00029543967              0      1.7684     -1
    10     11      1234.8      1543.1   Migr      0      1      8453412.5      400.34847  4.7359391e-05              0      1.9899     -1
    10     11      1234.8      1543.1   Migr      1      0      5361094.4      1728.5665  0.00032242792              0      2.0401     -1
    10     12      1543.1      1928.2   Migr      0      1       12610669      608.28161  4.8235474e-05              0      2.2218     -1
    10     12      1543.1      1928.2   Migr      1      0      7625047.4      1973.0172  0.00025875475              0      2.2999     -1
    10     13      1928.2      2409.6   Migr      0      1       18566993      1106.6362  5.9602336e-05              0      2.4038     -1
    10     13      1928.2      2409.6   Migr      1      0       10883674      2630.0734  0.00024165308              0      2.5022     -1
    10     14      2409.6        3011   Migr      0      1       26935472      1323.9528  4.9152761e-05              0       2.567     -1
    10     14      2409.6        3011   Migr      1      0       15569856      2633.5191  0.00016914215              0      2.6725     -1
    10     15        3011      3762.6   Migr      0      1       38667087      1907.0245  4.9319062e-05              0      3.2526     -1
    10     15        3011      3762.6   Migr      1      0       22451069      2720.4995  0.00012117461              0       3.411     -1
    10     16      3762.6      4701.8   Migr      0      1       55074271      2026.6595  3.6798663e-05              0      3.7578     -1
    10     16      3762.6      4701.8   Migr      1      0       32602904      2460.1223  7.5457152e-05              0      3.9473     -1
    10     17      4701.8      5875.5   Migr      0      1       77700721      2171.5509  2.7947629e-05              0        4.74     -1
    10     17      4701.8      5875.5   Migr      1      0       47657841      2079.4553  4.3633015e-05              0      4.9826     -1
    10     18      5875.5      7342.1   Migr      0      1  1.1139422e+08        2527.66  2.2691123e-05              0      5.1524     -1
