  Iter  Epoch       Start         End   Type   From     To            Opp          Count           Rate             Ne         ESS  Clump
    10      0           0         133   Coal      0     -1      351903.39  0.00012083053  3.4336279e-10  1.4561858e+09      1.0165     -1
    10      0           0         133   Coal      1     -1      335091.91      3.0689274  9.1584647e-06      54594.304      1.0148     -1
    10      1         133       166.2   Coal      0     -1      194477.88       1.001007  5.1471511e-06      97141.115      1.0308     -1
    10      1         133       166.2   Coal      1     -1       173416.1      10.162532  5.8602012e-05      8532.1303      1.0292     -1
    10      2       166.2      207.68   Coal      0     -1       307630.7       2.260326  7.3475307e-06      68050.073      1.0524     -1
    10      2       166.2      207.68   Coal      1     -1      264039.72      6.1126706  2.3150572e-05      21597.738      1.0517     -1
    10      3      207.68      259.53   Coal      0     -1      486296.37  8.3316039e-05   1.713277e-10  2.9183839e+09      1.0861     -1
    10      3      207.68      259.53   Coal      1     -1      403697.77      13.233202  3.2779972e-05      15253.216      1.0848     -1
    10      4      259.53      324.31   Coal      0     -1      768655.64      3.1751587  4.1307948e-06      121042.08      1.1177     -1
    10      4      259.53      324.31   Coal      1     -1      610888.16      3.9236322  6.4228323e-06      77847.276      1.1149     -1
    10      5      324.31      405.26   Coal      0     -1      1225802.6       16.31613  1.3310569e-05      37564.133      1.2238     -1
    10      5      324.31      405.26   Coal      1     -1      935850.17       17.14611  1.8321426e-05      27290.452        1.22     -1
    10      6      405.26      506.42   Coal      0     -1      1964863.6      7.5159883   3.825196e-06      130712.26      1.2656     -1
    10      6      405.26      506.42   Coal      1     -1      1423736.7      42.776562  3.0045275e-05      16641.552      1.2631     -1
    10      7      506.42      632.82   Coal      0     -1      3159057.7      100.45156  3.1797952e-05      15724.283       1.349     -1
    10      7      506.42      632.82   Coal      1     -1      2120277.3      85.655105  4.0398068e-05       12376.83      1.3509     -1
    10      8      632.82      790.79   Coal      0     -1      5074183.3      261.55012  5.1545264e-05      9700.2122      1.5412     -1
    10      8      632.82      790.79   Coal      1     -1      3111948.6      73.247624  2.3537543e-05      21242.659      1.5424     -1
    10      9      790.79      988.18   Coal      0     -1        8191144      674.29988    8.23206e-05      6073.8139      1.6692     -1
    10      9      790.79      988.18   Coal      1     -1      4403070.9      117.33041  2.6647405e-05      18763.553      1.6821     -1
    10     10      988.18      1234.8   Coal      0     -1       12990231      1468.2373  0.00011302626      4423.7506      1.7419     -1
    10     10      988.18      1234.8   Coal      1     -1      6126679.9      182.61326  2.9806234e-05      16775.014      1.7558     -1
    10     11      1234.8      1543.1   Coal      0     -1       20148415         2624.1  0.00013023853      3839.1096      1.8798     -1
    10     11      1234.8      1543.1   Coal      1     -1      8433860.9      272.30424  3.2287021e-05      15486.099      1.9076     -1
    10     12      1543.1      1928.2   Coal      0     -1       30406039        3792.96  0.00012474364      4008.2204      2.1585     -1
    10     12      1543.1      1928.2   Coal      1     -1       11278583      413.68687  3.6678974e-05      13631.788      2.2165     -1
    10     13      1928.2      2409.6   Coal      0     -1       45079987        5319.01   0.0001179905      4237.6295        2.43     -1
    10     13      1928.2      2409.6   Coal      1     -1       15063478      610.95827  4.0558912e-05      12327.747      2.5279     -1
    10     14      2409.6        3011   Coal      0     -1       64483169         6575.1  0.00010196614      4903.5885      2.9177     -1
    10     14      2409.6        3011   Coal      1     -1       20496413      1022.3502   4.987947e-05      10024.164       3.093     -1
    10     15        3011      3762.6   Coal      0     -1       89392450        8071.89  9.0297223e-05      5537.2688      3.3731     -1
    10     15        3011      3762.6   Coal      1     -1       29050014      1626.5307  5.5990702e-05      8930.0541      3.5683     -1
    10     16      3762.6      4701.8   Coal      0     -1  1.2167858e+08        9617.51  7.9040291e-05      6325.8876      3.5878     -1
    10     16      3762.6      4701.8   Coal      1     -1       41920510      2562.3926  6.1125034e-05      8179.9545      3.7824     -1
    10     17      4701.8      5875.5   Coal      0     -1  1.6210593e+08       11681.57  7.2061336e-05      6938.5336      4.3796     -1
