  Iter  Epoch       Start         End   Type   From     To            Opp          Count           Rate             Ne         ESS  Clump
    10      0           0         133   Coal      0     -1      331293.28  0.00060239373  1.8183095e-09  2.7498068e+08      1.0168     -1
    10      0           0         133   Coal      1     -1      314212.21      26.303293  8.3711873e-05      5972.8684      1.0177     -1
    10      1         133       166.2   Coal      0     -1      179017.39    0.003369942  1.8824663e-08       26560901       1.036     -1
    10      1         133       166.2   Coal      1     -1      170980.32    0.095461936  5.5832119e-07      895541.86       1.038     -1
    10      2       166.2      207.68   Coal      0     -1      281006.31      1.0001491  3.5591696e-06      140482.21       1.061     -1
    10      2       166.2      207.68   Coal      1     -1      264512.08      19.576357  7.4009311e-05      6755.9067      1.0648     -1
    10      3      207.68      259.53   Coal      0     -1      438648.46  9.5951733e-05  2.1874403e-10  2.2857766e+09      1.0711     -1
    10      3      207.68      259.53   Coal      1     -1       411334.4      1.0000953  2.4313438e-06      205647.59      1.0749     -1
    10      4      259.53      324.31   Coal      0     -1      684961.94      2.1927392   3.201257e-06      156188.65      1.1124     -1
    10      4      259.53      324.31   Coal      1     -1      640988.66      12.833567  2.0021519e-05       24973.13      1.1141     -1
    10      5      324.31      405.26   Coal      0     -1      1066918.9    0.019217741  1.8012372e-08       27758698      1.1634     -1
    10      5      324.31      405.26   Coal      1     -1      998509.19      23.334903  2.3369743e-05      21395.186      1.1669     -1
    10      6      405.26      506.42   Coal      0     -1      1681016.5      9.0972542  5.4117578e-06      92391.422       1.249     -1
    10      6      405.26      506.42   Coal      1     -1      1533863.7      113.86567  7.4234544e-05      6735.4088      1.2566     -1
    10      7      506.42      632.82   Coal      0     -1      2647229.1      109.31023   4.129232e-05      12108.789      1.3981     -1
    10      7      506.42      632.82   Coal      1     -1      2345509.4      104.84289   4.469941e-05       11185.83      1.4045     -1
    10      8      632.82      790.79   Coal      0     -1      4160891.7      304.24098  7.3119179e-05      6838.1512      1.5157     -1
    10      8      632.82      790.79   Coal      1     -1      3538832.9      258.72017  7.3108896e-05      6839.1129      1.5297     -1
    10      9      790.79      988.18   Coal      0     -1        6370233      805.62033  0.00012646638      3953.6198      1.7465     -1
    10      9      790.79      988.18   Coal      1     -1        5286079      319.36974  6.0417133e-05      8275.7981      1.7584     -1
    10     10      988.18      1234.8   Coal      0     -1      9646167.3      1427.3079  0.00014796632      3379.1474       1.896     -1
    10     10      988.18      1234.8   Coal      1     -1      7761550.9      392.76535  5.0603978e-05      9880.6461      1.9254     -1
    10     11      1234.8      1543.1   Coal      0     -1       14628595        2193.69  0.00014995903       3334.244       2.028     -1
    10     11      1234.8      1543.1   Coal      1     -1       11118708      491.45328  4.4200575e-05       11312.07      2.0914     -1
    10     12      1543.1      1928.2   Coal      0     -1       22157618        3248.11  0.00014659112      3410.8479      2.2803     -1
    10     12      1543.1      1928.2   Coal      1     -1       15563741      521.95623  3.3536681e-05      14909.048      2.3906     -1
    10     13      1928.2      2409.6   Coal      0     -1       33200448        4138.46  0.00012465073       4011.208      2.4826     -1
    10     13      1928.2      2409.6   Coal      1     -1       21803397      756.71844  3.4706447e-05      14406.545        2.63     -1
    10     14      2409.6        3011   Coal      0     -1       49242175        5100.25  0.00010357483      4827.4276      2.7338     -1
    10     14      2409.6        3011   Coal      1     -1       30840397      1071.7772   3.475238e-05      14387.504      2.9167     -1
    10     15        3011      3762.6   Coal      0     -1       72619066        6169.59  8.4958267e-05      5885.2424      2.9771     -1
    10     15        3011      3762.6   Coal      1     -1       43916215      1648.0231   3.752653e-05      13323.907      3.1883     -1
    10     16      3762.6      4701.8   Coal      0     -1  1.0464063e+08        7858.79  7.5102665e-05      6657.5534      3.6122     -1
    10     16      3762.6      4701.8   Coal      1     -1       62427067      2538.9579  4.0670786e-05      12293.837      3.9202     -1
