  Iter  Epoch       Start         End   Type   From     To            Opp          Count           Rate             Ne         ESS  Clump
    10      0           0         133   Coal      0     -1      308278.03      28.898146  9.3740529e-05      5333.8722      1.4812     -1
    10      1         133       166.2   Coal      0     -1      167699.48      1.9712638   1.175474e-05      42536.032      2.2318     -1
    10      2       166.2      207.68   Coal      0     -1      262436.58      3.0419629  1.1591231e-05      43136.058      2.3884     -1
    10      3      207.68      259.53   Coal      0     -1      408069.08     0.15667003  3.8393018e-07      1302320.1      2.3554     -1
    10      4      259.53      324.31   Coal      0     -1      627073.13      19.452027  3.1020349e-05      16118.452      3.4489     -1
    10      5      324.31      405.26   Coal      0     -1      965504.92      32.621673  3.3787164e-05      14798.519      4.2808     -1
    10      6      405.26      506.42   Coal      0     -1      1497171.6      40.803218  2.7253535e-05      18346.244        5.09     -1
    10      7      506.42      632.82   Coal      0     -1      2315709.6      99.572786  4.2998822e-05      11628.226      6.1282     -1
    10      8      632.82      790.79   Coal      0     -1      3558623.9      266.36896  7.4851674e-05      6679.8773      6.2441     -1
    10      9      790.79      988.18   Coal      0     -1      5403554.8      353.70171  6.5457226e-05      7638.5761      9.5732     -1
    10     10      988.18      1234.8   Coal      0     -1      8210339.3      513.36472  6.2526614e-05      7996.5949      11.801     -1
    10     11      1234.8      1543.1   Coal      0     -1       12430901      662.00011  5.3254396e-05      9388.8962      12.353     -1
    10     12      1543.1      1928.2   Coal      0     -1       18831102      850.71497   4.517606e-05      11067.809      16.666     -1
    10     13      1928.2      2409.6   Coal      0     -1       28542770      1086.3539  3.8060562e-05      13136.958      17.119     -1
    10     14      2409.6        3011   Coal      0     -1       43219451      1473.2255  3.4087094e-05      14668.308      20.421     -1
    10     15        3011      3762.6   Coal      0     -1       65213365        1903.58  2.9190029e-05      17129.137      25.939     -1
    10     16      3762.6      4701.8   Coal      0     -1       98061701        2790.21  2.8453616e-05      17572.459      29.233     -1
    10     17      4701.8      5875.5   Coal      0     -1  1.4585602e+08        4302.34  2.9497172e-05      16950.778      34.648     -1
    10     18      5875.5      7342.1   Coal      0     -1  2.1631869e+08        5001.53  2.3121118e-05      21625.252       36.95     -1
    10     19      7342.1      9174.7   Coal      0     -1   3.216783e+08        5910.25   1.837317e-05      27213.595      52.868     -1
