  Iter  Epoch       Start         End   Type   From     To            Opp          Count           Rate             Ne         ESS  Clump
    10      0           0         133   Coal      0     -1      352294.38      24.985389  7.0921907e-05      7050.0078      1.0184     -1
    10      0           0         133   Coal      1     -1      319764.23      2.0050231  6.2703171e-06      79740.784      1.0175     -1
    10      1         133       166.2   Coal      0     -1      193658.19      29.659931  0.00015315609      3264.6432      1.0396     -1
    10      1         133       166.2   Coal      1     -1      170111.48      1.0002351  5.8798803e-06      85035.744      1.0437     -1
    10      2       166.2      207.68   Coal      0     -1      300862.65      3.3338186  1.1080866e-05      45122.828      1.0456     -1
    10      2       166.2      207.68   Coal      1     -1      262202.32      2.0990467  8.0054468e-06      62457.476      1.0481     -1
    10      3      207.68      259.53   Coal      0     -1      478099.05      34.536618   7.223737e-05      6921.6252      1.0987     -1
    10      3      207.68      259.53   Coal      1     -1      405359.51  0.00010099667  2.4915332e-10  2.0067965e+09      1.1046     -1
    10      4      259.53      324.31   Coal      0     -1      761121.81      20.411154  2.6817198e-05      18644.752      1.1389     -1
    10      4      259.53      324.31   Coal      1     -1      616117.52       8.960106  1.4542852e-05      34381.151      1.1451     -1
    10      5      324.31      405.26   Coal      0     -1      1197752.8      17.312422  1.4454085e-05      34592.296      1.1953     -1
    10      5      324.31      405.26   Coal      1     -1      945098.02      6.4735513  6.8496084e-06      72996.874      1.2075     -1
    10      6      405.26      506.42   Coal      0     -1      1861739.8      49.048888  2.6345727e-05       18978.41      1.3112     -1
    10      6      405.26      506.42   Coal      1     -1        1469731      7.0943969  4.8270038e-06      103583.93      1.3324     -1
    10      7      506.42      632.82   Coal      0     -1      2910432.9      285.31701  9.8032498e-05      5100.3495      1.4525     -1
    10      7      506.42      632.82   Coal      1     -1      2232036.9      30.591842  1.3705795e-05      36480.918      1.4853     -1
    10      8      632.82      790.79   Coal      0     -1      4490313.2      716.04885  0.00015946523      3135.4797      1.4928     -1
    10      8      632.82      790.79   Coal      1     -1      3303166.5      177.73515  5.3807506e-05      9292.3839      1.5334     -1
    10      9      790.79      988.18   Coal      0     -1      6835973.6      1000.8567  0.00014641026      3415.0611      1.7062     -1
    10      9      790.79      988.18   Coal      1     -1      4775438.4      229.05239  4.7964682e-05      10424.337      1.7736     -1
    10     10      988.18      1234.8   Coal      0     -1       10407330           1834  0.00017622194      2837.3311      1.9053     -1
    10     10      988.18      1234.8   Coal      1     -1      6796487.6      248.78275  3.6604606e-05      13659.483      2.0017     -1
    10     11      1234.8      1543.1   Coal      0     -1       15852678        2818.07  0.00017776618      2812.6835      1.9807     -1
    10     11      1234.8      1543.1   Coal      1     -1        9450169      337.59177  3.5723358e-05      13996.444      2.1053     -1
    10     12      1543.1      1928.2   Coal      0     -1       23660414        3653.06  0.00015439544      3238.4377      2.2727     -1
    10     12      1543.1      1928.2   Coal      1     -1       13080154      512.12627  3.9152923e-05      12770.439       2.459     -1
    10     13      1928.2      2409.6   Coal      0     -1       35274885        4628.01  0.00013119844      3811.0209      2.5362     -1
    10     13      1928.2      2409.6   Coal      1     -1       17701133      829.38585  4.6854958e-05      10671.229      2.7687     -1
    10     14      2409.6        3011   Coal      0     -1       51281640        5990.69  0.00011681939      4280.1113      2.7445     -1
    10     14      2409.6        3011   Coal      1     -1       24196177      1283.8622  5.3060538e-05      9423.1988      2.9897     -1
    10     15        3011      3762.6   Coal      0     -1       71769079        7188.13  0.00010015636       4992.194      3.2878     -1
    10     15        3011      3762.6   Coal      1     -1       34447496      1832.7145  5.3203129e-05      9397.9435      3.6149     -1
    10     16      3762.6      4701.8   Coal      0     -1       97912857           8474  8.6546346e-05      5777.2514      3.8329     -1
    10     16      3762.6      4701.8   Coal      1     -1       49989372      2901.7866  5.8048071e-05      8613.5507      4.1989     -1
    10     17      4701.8      5875.5   Coal      0     -1  1.3291305e+08        9784.64   7.361685e-05      6791.9233      4.5598     -1
    10     17      4701.8      5875.5   Coal      1     -1       72537580      4052.8962  5.5873055e-05      8948.8573      5.0397     -1
    10     18      5875.5      7342.1   Coal      0     -1  1.8527505e+08           8791  4.7448374e-05      10537.769      5.5886     -1
    10     18      5875.5      7342.1   Coal      1     -1  1.0709661e+08      4397.6361  4.1062328e-05      12176.611      6.1361     -1
    10     19      7342.1      9174.7   Coal      0     -1  2.7046263e+08        7816.28  2.8899667e-05      17301.237      6.3064     -1
    10     19      7342.1      9174.7   Coal      1     -1  1.6273197e+08      4508.3489  2.7704137e-05      18047.846      6.8801     -1
    10     20      9174.7       11465   Coal      0     -1  4.0455417e+08      8291.4108  2.0495181e-05      24395.979      7.4013     -1
    10     20      9174.7       11465   Coal      1     -1  2.5238803e+08      5050.0361  2.0009016e-05      24988.735      7.9822     -1
    10     21       11465       14327   Coal      0     -1  1.6715224e+09       34541.29  2.0664569e-05      24196.004      9.0345     -1
    10     21       11465       14327   Coal      1     -1            121      3.2361106    0.026744716      18.695282           1     -1
    10     22       14327       17903   Coal      0     -1  2.2168778e+09       41641.37  1.8783792e-05      26618.694      10.933     -1
    10     22       14327       17903   Coal      1     -1            121      3.2361772    0.026745266      18.694897           1     -1
    10     23       17903       22372   Coal      0     -1  2.8428277e+09        58847.4  2.0700305e-05      24154.233      12.934     -1
    10     23       17903       22372   Coal      1     -1            121      3.2365108    0.026748023       18.69297           1     -1
    10     24       22372       27956   Coal      0     -1   3.409136e+09       80169.53  2.3516085e-05      21262.043      14.216     -1
    10     24       22372       27956   Coal      1     -1            121      3.2368639    0.026750941      18.690931           1     -1
    10     25       27956       34934   Coal      0     -1  3.7440612e+09      103725.22  2.7703933e-05      18047.979      16.599     -1
    10     25       27956       34934   Coal      1     -1            121      3.2373682    0.026755109       18.68802           1     -1
    10     26       34934       43654   Coal      0     -1  3.7497471e+09      117430.12  3.1316811e-05      15965.866      17.916     -1
    10     26       34934       43654   Coal      1     -1            121      3.2378444    0.026759045      18.685271           1     -1
    10     27       43654       54551   Coal      0     -1  3.3919302e+09      124411.44  3.6678655e-05      13631.906       19.92     -1
    10     27       43654       54551   Coal      1     -1            121      3.2385114    0.026764557      18.681423           1     -1
    10     28       54551       68167   Coal      0     -1  2.8118368e+09      108741.22  3.8672664e-05      12929.029      23.003     -1
    10     28       54551       68167   Coal      1     -1            121      3.2389071    0.026767827       18.67914           1     -1
    10     29       68167       85183   Coal      0     -1  2.2316222e+09       81716.78  3.6617659e-05      13654.614      22.057     -1
    10     29       68167       85183   Coal      1     -1            121      3.2389071    0.026767827       18.67914           1     -1
    10     30       85183  1.0645e+05   Coal      0     -1  2.1109918e+09       41305.31  1.9566779e-05      25553.516      22.848     -1
    10     30       85183  1.0645e+05   Coal      1     -1            121      3.2370109    0.026752156      18.690082           1     -1
    10     31  1.0645e+05  1.3302e+05   Coal      0     -1  2.1711348e+09       40210.18  1.8520352e-05      26997.327      22.683     -1
    10     31  1.0645e+05  1.3302e+05   Coal      1     -1            121      3.2370109    0.026752156      18.690082           1     -1
    10     32  1.3302e+05       1e+99   Coal      0     -1  5.2905662e+09       95109.52  1.7977191e-05      27813.021      23.801     -1
    10     32  1.3302e+05       1e+99   Coal      1     -1            121      3.2370109    0.026752156      18.690082           1     -1
    10     -1           0       1e+99  Delay     -1     -1  2.5991769e+09              0              0              0           1     -1
    10     -1           0       1e+99   LogL     -1     -1              1      -30205778      -30205778              0           1     -1
    10      0           0         133   Migr      0      1      195242.03  0.00020233879  1.0363485e-09              0       1.027     -1
    10      0           0         133   Migr      1      0       186673.8      70.491807  0.00037762025              0      1.0268     -1
    10      1         133       166.2   Migr      0      1       99156.55      1.0006152  1.0091267e-05              0      1.0443     -1
    10      1         133       166.2   Migr      1      0        93045.2      18.866204  0.00020276386              0      1.0481     -1
    10      2       166.2      207.68   Migr      0      1      152108.53  0.00025764509  1.6938241e-09              0      1.0497     -1
    10      2       166.2      207.68   Migr      1      0      141881.59   0.0002903328  2.0463036e-09              0      1.0519     -1
    10      3      207.68      259.53   Migr      0      1       238103.3  0.00016859442  7.0807258e-10              0      1.1036     -1
    10      3      207.68      259.53   Migr      1      0      217877.85      58.459061  0.00026831117              0      1.1094     -1
    10      4      259.53      324.31   Migr      0      1      372377.31  0.00010887472  2.9237744e-10              0      1.1434     -1
    10      4      259.53      324.31   Migr      1      0      331035.57      67.134411   0.0002028012              0      1.1491     -1
    10      5      324.31      405.26   Migr      0      1      579733.31      7.6753364  1.3239426e-05              0      1.1988     -1
