  Iter  Epoch       Start         End   Type   From     To            Opp          Count           Rate             Ne         ESS  Clump
    10      0           0         133   Coal      0     -1      352520.07      42.037732  0.00011924919      4192.9007      1.0168     -1
    10      0           0         133   Coal      1     -1      323872.47      10.208346  3.1519646e-05      15863.122      1.0185     -1
    10      1         133       166.2   Coal      0     -1      193445.74      1.6506693  8.5329833e-06      58596.154      1.0431     -1
    10      1         133       166.2   Coal      1     -1      173219.98      10.674889    6.16262e-05      8113.4323      1.0498     -1
    10      2       166.2      207.68   Coal      0     -1      311330.73      4.9581968  1.5925819e-05       31395.56      1.0618     -1
    10      2       166.2      207.68   Coal      1     -1      257320.94      9.8714085  3.8362243e-05      13033.649      1.0715     -1
    10      3      207.68      259.53   Coal      0     -1      486529.43      23.981869  4.9291714e-05      10143.693      1.1007     -1
    10      3      207.68      259.53   Coal      1     -1      396278.29      6.1848805  1.5607417e-05      32036.051      1.1129     -1
    10      4      259.53      324.31   Coal      0     -1      765002.67      23.134428  3.0240977e-05      16533.857      1.1565     -1
    10      4      259.53      324.31   Coal      1     -1      605465.89      18.088579  2.9875472e-05      16736.137      1.1699     -1
    10      5      324.31      405.26   Coal      0     -1      1221171.3      48.592055  3.9791351e-05      12565.545      1.1885     -1
    10      5      324.31      405.26   Coal      1     -1      923724.04      15.697462   1.699367e-05       29422.72      1.2019     -1
    10      6      405.26      506.42   Coal      0     -1        1953349      107.73396  5.5153465e-05      9065.6136      1.2557     -1
    10      6      405.26      506.42   Coal      1     -1      1391245.3      26.922121  1.9351096e-05      25838.329      1.2715     -1
    10      7      506.42      632.82   Coal      0     -1      3089046.5      242.41576  7.8475919e-05      6371.3813      1.3795     -1
    10      7      506.42      632.82   Coal      1     -1      2097705.2      18.179005  8.6661395e-06      57695.817      1.3981     -1
    10      8      632.82      790.79   Coal      0     -1      4877631.6      570.92674  0.00011704999      4271.6791      1.5071     -1
    10      8      632.82      790.79   Coal      1     -1      3094724.9      95.335394  3.0805773e-05      16230.724      1.5378     -1
    10      9      790.79      988.18   Coal      0     -1      7677959.4      1188.3169  0.00015476989      3230.6026      1.6958     -1
    10      9      790.79      988.18   Coal      1     -1      4392686.2      91.813898  2.0901538e-05      23921.684      1.7379     -1
    10     10      988.18      1234.8   Coal      0     -1       12006446      1903.8235  0.00015856679      3153.2455      1.7898     -1
    10     10      988.18      1234.8   Coal      1     -1      6102360.7      184.49808  3.0233887e-05      16537.735      1.8384     -1
    10     11      1234.8      1543.1   Coal      0     -1       18371378        3186.38  0.00017344263      2882.7977      1.9727     -1
    10     11      1234.8      1543.1   Coal      1     -1      8176575.8      297.42129  3.6374797e-05      13745.781      2.0453     -1
    10     12      1543.1      1928.2   Coal      0     -1       27700780        4053.05  0.00014631537      3417.2759      2.2049     -1
    10     12      1543.1      1928.2   Coal      1     -1       10783893      453.85867  4.2086717e-05      11880.233      2.3233     -1
    10     13      1928.2      2409.6   Coal      0     -1       40324921        5739.26  0.00014232539      3513.0767      2.4322     -1
    10     13      1928.2      2409.6   Coal      1     -1       14375135      603.35867  4.1972384e-05      11912.595      2.5789     -1
    10     14      2409.6        3011   Coal      0     -1       56937349        6815.12  0.00011969507      4177.2815       2.626     -1
    10     14      2409.6        3011   Coal      1     -1       19569851      1185.1925  6.0562163e-05      8255.9799      2.7925     -1
    10     15        3011      3762.6   Coal      0     -1       77975846        8210.99  0.00010530171       4748.261      3.2568     -1
    10     15        3011      3762.6   Coal      1     -1       27279754      1803.2808  6.6103265e-05      7563.9229      3.5434     -1
    10     16      3762.6      4701.8   Coal      0     -1  1.0459274e+08         9225.6  8.8204972e-05      5668.6147      3.6807     -1
    10     16      3762.6      4701.8   Coal      1     -1       39394806       2602.347  6.6058123e-05      7569.0918      4.0244     -1
    10     17      4701.8      5875.5   Coal      0     -1  1.3875422e+08       10773.92  7.7647512e-05      6439.3564      3.9936     -1
    10     17      4701.8      5875.5   Coal      1     -1       57713651      3906.9467  6.7695365e-05      7386.0301      4.3144     -1
    10     18      5875.5      7342.1   Coal      0     -1  1.8981236e+08        9216.57  4.8556215e-05      10297.343      5.6445     -1
    10     18      5875.5      7342.1   Coal      1     -1       85809774      4067.3465  4.7399571e-05      10548.619      6.1439     -1
    10     19      7342.1      9174.7   Coal      0     -1  2.7482514e+08        8094.59  2.9453601e-05      16975.853      6.3282     -1
    10     19      7342.1      9174.7   Coal      1     -1   1.320246e+08      3994.6897  3.0257163e-05      16525.013      6.7417     -1
    10     20      9174.7       11465   Coal      0     -1  4.0755494e+08        8448.66  2.0730113e-05      24119.502      7.4655     -1
    10     20      9174.7       11465   Coal      1     -1  2.0838425e+08      4387.6374  2.1055514e-05      23746.749      7.8579     -1
    10     21       11465       14327   Coal      0     -1  1.5389967e+09       32669.89  2.1228044e-05      23553.749      9.1339     -1
    10     21       11465       14327   Coal      1     -1            123       3.237711    0.026322854      18.994901           1     -1
    10     22       14327       17903   Coal      0     -1  2.0518585e+09        38634.2  1.8828881e-05       26554.95      10.829     -1
    10     22       14327       17903   Coal      1     -1            123      3.2377789    0.026323406      18.994502           1     -1
    10     23       17903       22372   Coal      0     -1   2.652423e+09       55460.52   2.090938e-05      23912.713       12.85     -1
    10     23       17903       22372   Coal      1     -1            123      3.2381182    0.026326164      18.992513           1     -1
    10     24       22372       27956   Coal      0     -1  3.2063579e+09       75380.11  2.3509574e-05      21267.931       15.05     -1
    10     24       22372       27956   Coal      1     -1            123      3.2384775    0.026329085      18.990405           1     -1
    10     25       27956       34934   Coal      0     -1  3.5468452e+09       98799.11   2.785549e-05      17949.783      17.218     -1
    10     25       27956       34934   Coal      1     -1            123      3.2389905    0.026333256      18.987398           1     -1
    10     26       34934       43654   Coal      0     -1  3.5674912e+09      112616.58  3.1567445e-05      15839.103      18.792     -1
    10     26       34934       43654   Coal      1     -1            123       3.239475    0.026337195      18.984558           1     -1
    10     27       43654       54551   Coal      0     -1  3.2495313e+09      118678.53  3.6521738e-05      13690.477      21.368     -1
    10     27       43654       54551   Coal      1     -1            123      3.2401536    0.026342712      18.980582           1     -1
    10     28       54551       68167   Coal      0     -1  2.7114062e+09      104148.46  3.8411235e-05      13017.025      22.572     -1
    10     28       54551       68167   Coal      1     -1            123      3.2405563    0.026345986      18.978223           1     -1
    10     29       68167       85183   Coal      0     -1  2.1634366e+09       78918.52  3.6478313e-05      13706.774      21.952     -1
    10     29       68167       85183   Coal      1     -1            123      3.2405563    0.026345986      18.978223           1     -1
    10     30       85183  1.0645e+05   Coal      0     -1  2.0467089e+09       39692.27  1.9393217e-05       25782.21      22.858     -1
    10     30       85183  1.0645e+05   Coal      1     -1            123      3.2386271    0.026330302      18.989528           1     -1
    10     31  1.0645e+05  1.3302e+05   Coal      0     -1  2.1066391e+09       39030.13  1.8527203e-05      26987.344      23.168     -1
    10     31  1.0645e+05  1.3302e+05   Coal      1     -1            123      3.2386271    0.026330302      18.989528           1     -1
    10     32  1.3302e+05       1e+99   Coal      0     -1  5.0504047e+09       91451.59  1.8107775e-05      27612.449      23.915     -1
    10     32  1.3302e+05       1e+99   Coal      1     -1            123      3.2386271    0.026330302      18.989528           1     -1
    10     -1           0       1e+99  Delay     -1     -1  2.6007732e+09              0              0              0           1     -1
    10     -1           0       1e+99   LogL     -1     -1              1      -28928262      -28928262              0           1     -1
    10      0           0         133   Migr      0      1      200500.89  0.00020653386  1.0300895e-09              0      1.0272     -1
    10      0           0         133   Migr      1      0      187477.07       23.29891  0.00012427605              0      1.0297     -1
    10      1         133       166.2   Migr      0      1      101696.08  0.00040422037  3.9747881e-09              0      1.0487     -1
    10      1         133       166.2   Migr      1      0       94212.33      89.062932  0.00094534263              0       1.056     -1
    10      2       166.2      207.68   Migr      0      1      159136.92    0.040718544  2.5587113e-07              0      1.0672     -1
    10      2       166.2      207.68   Migr      1      0      140695.96      44.733845   0.0003179469              0      1.0779     -1
    10      3      207.68      259.53   Migr      0      1      244551.29  0.00016938219  6.9262441e-10              0      1.1048     -1
    10      3      207.68      259.53   Migr      1      0      215593.93      17.179589  7.9684939e-05              0      1.1189     -1
    10      4      259.53      324.31   Migr      0      1      377613.64     0.31981731  8.4694323e-07              0      1.1587     -1
    10      4      259.53      324.31   Migr      1      0      329193.79      100.60337   0.0003056053              0      1.1749     -1
    10      5      324.31      405.26   Migr      0      1      590212.78     0.38973355  6.6032719e-07              0      1.1895     -1
    10      5      324.31      405.26   Migr      1      0      504844.27      127.29847  0.00025215394              0      1.2065     -1
    10      6      405.26      506.42   Migr      0      1      924052.68      1.5107932  1.6349644e-06              0      1.2551     -1
    10      6      405.26      506.42   Migr      1      0      765900.68      137.87436  0.00018001598              0      1.2751     -1
    10      7      506.42      632.82   Migr      0      1        1436897      13.767594  9.5814759e-06              0      1.3779     -1
    10      7      506.42      632.82   Migr      1      0      1163289.1      249.50765  0.00021448465              0      1.4021     -1
    10      8      632.82      790.79   Migr      0      1      2226121.5      38.303365  1.7206323e-05              0      1.5047     -1
