time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	-0	1.8534e-06	8144.1	0.0209444	0.0738482
1	1.8534e-06	3.75495e-06	9130.33	554.836	8585.41
2	3.75495e-06	5.70722e-06	987.694	25.124	1436.03
3	5.70722e-06	7.71298e-06	1127.86	75.1695	706.719
4	7.71298e-06	9.77524e-06	2200.42	248.585	645.316
5	9.77524e-06	1.18973e-05	5133.63	409.85	1074.5
6	1.18973e-05	1.40827e-05	8831.82	636.111	1507.28
7	1.40827e-05	1.63353e-05	10477.6	984.36	1757.79
8	1.63353e-05	1.86595e-05	10950	1482.38	2056.6
9	1.86595e-05	2.10599e-05	11621	2186.81	2526.14
10	2.10599e-05	2.35417e-05	11245.4	3146.47	2587.88
11	2.35417e-05	2.61106e-05	11245.4	3146.47	2587.88
12	2.61106e-05	2.87729e-05	10666.9	3861.77	2771.6
13	2.87729e-05	3.15357e-05	10666.9	3861.77	2771.6
14	3.15357e-05	3.44069e-05	9483	3846.71	2643.72
15	3.44069e-05	3.73953e-05	9483	3846.71	2643.72
16	3.73953e-05	4.05109e-05	7510.61	3444.24	2403.4
17	4.05109e-05	4.3765e-05	7510.61	3444.24	2403.4
18	4.3765e-05	4.71705e-05	5591.85	2865.3	2157.11
19	4.71705e-05	5.07422e-05	5591.85	2865.3	2157.11
20	5.07422e-05	5.44972e-05	4121.11	2241.66	1755.84
21	5.44972e-05	5.84552e-05	4121.11	2241.66	1755.84
22	5.84552e-05	6.26395e-05	3090.87	1753.87	1374.75
23	6.26395e-05	6.70776e-05	3090.87	1753.87	1374.75
24	6.70776e-05	7.18022e-05	2312.91	1434.59	1065.98
25	7.18022e-05	7.68528e-05	2312.91	1434.59	1065.98
26	7.68528e-05	8.22779e-05	1835.28	1261.44	916.866
27	8.22779e-05	8.81375e-05	1835.28	1261.44	916.866
28	8.81375e-05	9.45072e-05	1547.42	1132.55	894.761
29	9.45072e-05	0.000101484	1547.42	1132.55	894.761
30	0.000101484	0.000109197	1329.27	1032.27	917.221
31	0.000109197	0.00011782	1329.27	1032.27	917.221
32	0.00011782	0.000127595	1171.29	1065.05	958.822
33	0.000127595	0.00013888	1171.29	1065.05	958.822
34	0.00013888	0.000152227	1383.46	1334.13	1284.81
35	0.000152227	0.000168562	1383.46	1334.13	1284.81
36	0.000168562	0.000189622	2345.97	2378.84	2411.71
37	0.000189622	0.000219304	2345.97	2378.84	2411.71
38	0.000219304	0.000270046	151.027	138.693	155.252
39	0.000270046	inf	151.027	138.693	155.252
