time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	-0	1.85963e-06	1.05685e-07	12.0582	3985.18
1	1.85963e-06	3.76756e-06	1448.66	380.87	18663.8
2	3.76756e-06	5.72638e-06	521.869	4.75551	2581.94
3	5.72638e-06	7.73888e-06	1694.41	7.7479	1639.47
4	7.73888e-06	9.80807e-06	3737.92	76.2752	1377.82
5	9.80807e-06	1.19372e-05	7173.35	222.037	1738.67
6	1.19372e-05	1.413e-05	11811.8	535.341	1940.95
7	1.413e-05	1.63902e-05	15317.4	1086.33	1768.5
8	1.63902e-05	1.87222e-05	16863.1	1660.97	1576.96
9	1.87222e-05	2.11306e-05	17132.5	2246.72	1652.48
10	2.11306e-05	2.36208e-05	14125.2	2896.86	1787.4
11	2.36208e-05	2.61983e-05	14125.2	2896.86	1787.4
12	2.61983e-05	2.88695e-05	10997	3359.83	2323.26
13	2.88695e-05	3.16416e-05	10997	3359.83	2323.26
14	3.16416e-05	3.45224e-05	8915.85	3272.53	2454.42
15	3.45224e-05	3.75208e-05	8915.85	3272.53	2454.42
16	3.75208e-05	4.06469e-05	7468.65	2904.81	2038.15
17	4.06469e-05	4.3912e-05	7468.65	2904.81	2038.15
18	4.3912e-05	4.73289e-05	6452.49	2506.15	1598.47
19	4.73289e-05	5.09126e-05	6452.49	2506.15	1598.47
20	5.09126e-05	5.46802e-05	5031.7	2066.67	1283.41
21	5.46802e-05	5.86515e-05	5031.7	2066.67	1283.41
22	5.86515e-05	6.28499e-05	3693.25	1699.73	1167.47
23	6.28499e-05	6.73028e-05	3693.25	1699.73	1167.47
24	6.73028e-05	7.20433e-05	2658.08	1408.6	1133.65
25	7.20433e-05	7.71109e-05	2658.08	1408.6	1133.65
26	7.71109e-05	8.25542e-05	1970.73	1232.72	1115.36
27	8.25542e-05	8.84335e-05	1970.73	1232.72	1115.36
28	8.84335e-05	9.48246e-05	1510.21	1134.07	987.126
29	9.48246e-05	0.000101825	1510.21	1134.07	987.126
30	0.000101825	0.000109564	1237.56	1061.01	884.456
31	0.000109564	0.000118215	1237.56	1061.01	884.456
32	0.000118215	0.000128024	1160.34	1053.59	946.847
33	0.000128024	0.000139346	1160.34	1053.59	946.847
34	0.000139346	0.000152738	1352.31	1324.33	1296.34
35	0.000152738	0.000169128	1352.31	1324.33	1296.34
36	0.000169128	0.000190259	2466.26	2428.35	2598.18
37	0.000190259	0.000220041	2466.26	2428.35	2598.18
38	0.000220041	0.000270953	150.866	128.345	144.316
39	0.000270953	inf	150.866	128.345	144.316
