time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	-0	1.84946e-06	5.92139e-05	4.01302	105.811
1	1.84946e-06	3.74696e-06	1569.85	471.276	5941.57
2	3.74696e-06	5.69506e-06	991.344	44.2361	5496.82
3	5.69506e-06	7.69655e-06	2075.64	123.587	1990.54
4	7.69655e-06	9.75442e-06	3668.85	227.099	1328.39
5	9.75442e-06	1.1872e-05	6746.85	327.238	1694.14
6	1.1872e-05	1.40527e-05	11149.6	560.374	1859.77
7	1.40527e-05	1.63006e-05	14937.6	983.461	2063.9
8	1.63006e-05	1.86198e-05	16746.8	1559.53	2241.89
9	1.86198e-05	2.10151e-05	17865.6	2208.63	2573.12
10	2.10151e-05	2.34916e-05	14333.6	2904.41	2783.75
11	2.34916e-05	2.6055e-05	14333.6	2904.41	2783.75
12	2.6055e-05	2.87116e-05	11049.5	3389.58	2851.35
13	2.87116e-05	3.14685e-05	11049.5	3389.58	2851.35
14	3.14685e-05	3.43336e-05	8989.85	3353.46	2600.74
15	3.43336e-05	3.73156e-05	8989.85	3353.46	2600.74
16	3.73156e-05	4.04246e-05	7509.81	3067.04	2417.74
17	4.04246e-05	4.36718e-05	7509.81	3067.04	2417.74
18	4.36718e-05	4.70701e-05	6382.72	2716.09	2200.8
19	4.70701e-05	5.06342e-05	6382.72	2716.09	2200.8
20	5.06342e-05	5.43811e-05	5128.74	2290.19	1782.3
21	5.43811e-05	5.83307e-05	5128.74	2290.19	1782.3
22	5.83307e-05	6.25061e-05	3877.6	1860.34	1369.17
23	6.25061e-05	6.69347e-05	3877.6	1860.34	1369.17
24	6.69347e-05	7.16492e-05	2781.2	1486.36	1049.74
25	7.16492e-05	7.66891e-05	2781.2	1486.36	1049.74
26	7.66891e-05	8.21027e-05	1994.89	1237.3	885.395
27	8.21027e-05	8.79498e-05	1994.89	1237.3	885.395
28	8.79498e-05	9.43059e-05	1464.66	1081.75	835.435
29	9.43059e-05	0.000101268	1464.66	1081.75	835.435
30	0.000101268	0.000108965	1164.51	976.583	885.453
31	0.000108965	0.000117569	1164.51	976.583	885.453
32	0.000117569	0.000127323	1155.56	975.326	1026.9
33	0.000127323	0.000138584	1155.56	975.326	1026.9
34	0.000138584	0.000151902	1440.44	1270.56	1348.05
35	0.000151902	0.000168203	1440.44	1270.56	1348.05
36	0.000168203	0.000189218	2413.75	2413.03	2412.32
37	0.000189218	0.000218837	2413.75	2413.03	2412.32
38	0.000218837	0.000269471	151.794	137.639	149.496
39	0.000269471	inf	151.794	137.639	149.496
