time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	-0	1.93832e-06	5.96323e-06	4.98159	1335.95
1	1.93832e-06	3.92699e-06	2838.08	156.274	8543.63
2	3.92699e-06	5.9687e-06	687.09	2.02511	5981.75
3	5.9687e-06	8.06636e-06	1186.02	12.8587	3673.26
4	8.06636e-06	1.02231e-05	4341.66	83.2588	3719.78
5	1.02231e-05	1.24424e-05	9288.67	197.618	3582.67
6	1.24424e-05	1.47279e-05	13647.9	346.827	2384.03
7	1.47279e-05	1.70838e-05	15678.7	528.942	1823.56
8	1.70838e-05	1.95144e-05	16128	770.819	1772.49
9	1.95144e-05	2.20248e-05	16602.7	1086.68	2131.87
10	2.20248e-05	2.46203e-05	13534.5	1451.03	2509.25
11	2.46203e-05	2.73069e-05	13534.5	1451.03	2509.25
12	2.73069e-05	3.00912e-05	10608.1	1821.28	2574.31
13	3.00912e-05	3.29806e-05	10608.1	1821.28	2574.31
14	3.29806e-05	3.59833e-05	8504.39	1968.42	2233.29
15	3.59833e-05	3.91086e-05	8504.39	1968.42	2233.29
16	3.91086e-05	4.23669e-05	6888.14	1863.31	1879.63
17	4.23669e-05	4.57702e-05	6888.14	1863.31	1879.63
18	4.57702e-05	4.93317e-05	5739.14	1665.49	1724.9
19	4.93317e-05	5.30671e-05	5739.14	1665.49	1724.9
20	5.30671e-05	5.69941e-05	4436.32	1482.06	1498.95
21	5.69941e-05	6.11334e-05	4436.32	1482.06	1498.95
22	6.11334e-05	6.55094e-05	3325.3	1339.64	1226.27
23	6.55094e-05	7.01508e-05	3325.3	1339.64	1226.27
24	7.01508e-05	7.50919e-05	2403.71	1215.27	1037.15
25	7.50919e-05	8.0374e-05	2403.71	1215.27	1037.15
26	8.0374e-05	8.60476e-05	1793.26	1128.66	981.573
27	8.60476e-05	9.21757e-05	1793.26	1128.66	981.573
28	9.21757e-05	9.88372e-05	1394.27	1067.21	978.725
29	9.88372e-05	0.000106134	1394.27	1067.21	978.725
30	0.000106134	0.0001142	1136.79	997.902	981.986
31	0.0001142	0.000123218	1136.79	997.902	981.986
32	0.000123218	0.000133441	1080.75	1022.13	1045.94
33	0.000133441	0.000145243	1080.75	1022.13	1045.94
34	0.000145243	0.000159201	1344.76	1329.4	1400.82
35	0.000159201	0.000176285	1344.76	1329.4	1400.82
36	0.000176285	0.00019831	2412.67	2423.58	2698.12
37	0.00019831	0.000229352	2412.67	2423.58	2698.12
38	0.000229352	0.000282419	154.946	128.823	144.245
39	0.000282419	inf	154.946	128.823	144.245
