time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	-0	1.83612e-06	4685.45	37.8724	0.687526
1	1.83612e-06	3.71994e-06	12533.2	533.1	5467.17
2	3.71994e-06	5.654e-06	3724.25	167.241	228.095
3	5.654e-06	7.64105e-06	6955.72	105.559	1244.33
4	7.64105e-06	9.68409e-06	9386.14	150.382	1896.8
5	9.68409e-06	1.17864e-05	12157.3	253.128	1971.1
6	1.17864e-05	1.39514e-05	15412.3	487.798	1449.72
7	1.39514e-05	1.6183e-05	17970.6	870.579	1179.94
8	1.6183e-05	1.84855e-05	19239.4	1361.16	1293.95
9	1.84855e-05	2.08636e-05	19700.8	1949.15	1947.2
10	2.08636e-05	2.33222e-05	16853.5	2781.85	2319.59
11	2.33222e-05	2.58671e-05	16853.5	2781.85	2319.59
12	2.58671e-05	2.85046e-05	13986.6	3438.79	2684.08
13	2.85046e-05	3.12416e-05	13986.6	3438.79	2684.08
14	3.12416e-05	3.4086e-05	11581.4	3396.52	2585.96
15	3.4086e-05	3.70466e-05	11581.4	3396.52	2585.96
16	3.70466e-05	4.01331e-05	9122.74	3043.39	2097.16
17	4.01331e-05	4.33569e-05	9122.74	3043.39	2097.16
18	4.33569e-05	4.67307e-05	7069.79	2622.02	1754.84
19	4.67307e-05	5.02691e-05	7069.79	2622.02	1754.84
20	5.02691e-05	5.3989e-05	5204.67	2133.74	1504.45
21	5.3989e-05	5.79101e-05	5204.67	2133.74	1504.45
22	5.79101e-05	6.20554e-05	3738.31	1714.79	1310.72
23	6.20554e-05	6.64521e-05	3738.31	1714.79	1310.72
24	6.64521e-05	7.11326e-05	2658.49	1376.94	1158.04
25	7.11326e-05	7.61362e-05	2658.49	1376.94	1158.04
26	7.61362e-05	8.15107e-05	1983	1162.65	1090.79
27	8.15107e-05	8.73157e-05	1983	1162.65	1090.79
28	8.73157e-05	9.3626e-05	1528.64	1041.59	1054.6
29	9.3626e-05	0.000100538	1528.64	1041.59	1054.6
30	0.000100538	0.000108179	1204.73	987.088	995.923
31	0.000108179	0.000116721	1204.73	987.088	995.923
32	0.000116721	0.000126405	1082.11	1014.03	1010.62
33	0.000126405	0.000137585	1082.11	1014.03	1010.62
34	0.000137585	0.000150807	1320.98	1242.75	1274.77
35	0.000150807	0.00016699	1320.98	1242.75	1274.77
36	0.00016699	0.000187854	2302.35	2276.73	2457.99
37	0.000187854	0.000217259	2302.35	2276.73	2457.99
38	0.000217259	0.000267528	159.059	148.255	161.096
39	0.000267528	inf	159.059	148.255	161.096
