time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	-0	1.91463e-06	4366.95	25.7379	1136.15
1	1.91463e-06	3.879e-06	12136.4	116.248	9601.36
2	3.879e-06	5.89576e-06	4391.26	0.168772	4041.85
3	5.89576e-06	7.96779e-06	7026.29	0.794349	2220.25
4	7.96779e-06	1.00982e-05	11302.2	11.8613	3636.34
5	1.00982e-05	1.22903e-05	13395.5	61.1075	4757.59
6	1.22903e-05	1.45479e-05	15799.7	193.048	2966.02
7	1.45479e-05	1.6875e-05	18129.2	438.529	1944.98
8	1.6875e-05	1.9276e-05	19625.3	760.781	1735.32
9	1.9276e-05	2.17557e-05	20806.6	1081.13	1974.97
10	2.17557e-05	2.43194e-05	17256.4	1383.8	2109.4
11	2.43194e-05	2.69732e-05	17256.4	1383.8	2109.4
12	2.69732e-05	2.97235e-05	13091.6	1675.95	2146.43
13	2.97235e-05	3.25775e-05	13091.6	1675.95	2146.43
14	3.25775e-05	3.55436e-05	10053.6	1779.12	2020.57
15	3.55436e-05	3.86307e-05	10053.6	1779.12	2020.57
16	3.86307e-05	4.18492e-05	7614.33	1702.35	1977.37
17	4.18492e-05	4.52108e-05	7614.33	1702.35	1977.37
18	4.52108e-05	4.87289e-05	5935.33	1587.17	1997.6
19	4.87289e-05	5.24186e-05	5935.33	1587.17	1997.6
20	5.24186e-05	5.62976e-05	4415.69	1453.47	1787.5
21	5.62976e-05	6.03864e-05	4415.69	1453.47	1787.5
22	6.03864e-05	6.47089e-05	3200.23	1326.65	1467.04
23	6.47089e-05	6.92936e-05	3200.23	1326.65	1467.04
24	6.92936e-05	7.41742e-05	2361.36	1184.81	1184.25
25	7.41742e-05	7.93918e-05	2361.36	1184.81	1184.25
26	7.93918e-05	8.49961e-05	1873.53	1074.27	1039.64
27	8.49961e-05	9.10493e-05	1873.53	1074.27	1039.64
28	9.10493e-05	9.76294e-05	1504.93	990.541	952.413
29	9.76294e-05	0.000104837	1504.93	990.541	952.413
30	0.000104837	0.000112805	1204.6	939.183	919.9
31	0.000112805	0.000121712	1204.6	939.183	919.9
32	0.000121712	0.00013181	1079.86	984.265	980.687
33	0.00013181	0.000143468	1079.86	984.265	980.687
34	0.000143468	0.000157256	1345.32	1291.04	1316.24
35	0.000157256	0.000174131	1345.32	1291.04	1316.24
36	0.000174131	0.000195886	2463.65	2333.96	2560.65
37	0.000195886	0.000226549	2463.65	2333.96	2560.65
38	0.000226549	0.000278968	140.347	134.191	160.079
39	0.000278968	inf	140.347	134.191	160.079
