time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	-0	1.67696e-06	2319.41	594.488	16750.7
1	1.67696e-06	3.39748e-06	14109.6	102.356	10766.9
2	3.39748e-06	5.16389e-06	4539.58	20.8632	3846.37
3	5.16389e-06	6.97869e-06	4558.97	180.18	1786.44
4	6.97869e-06	8.84463e-06	6613.23	602.871	1295.9
5	8.84463e-06	1.07647e-05	10744.5	901.529	1539.95
6	1.07647e-05	1.2742e-05	14615.5	1304.6	1617.94
7	1.2742e-05	1.47802e-05	17370.9	1920.17	1773.4
8	1.47802e-05	1.68831e-05	18945.7	2685.59	2061.39
9	1.68831e-05	1.9055e-05	20167.3	3577.76	2794.88
10	1.9055e-05	2.13005e-05	17757	4703.09	3341.66
11	2.13005e-05	2.36248e-05	17757	4703.09	3341.66
12	2.36248e-05	2.60337e-05	15272.6	5749.7	3956.26
13	2.60337e-05	2.85335e-05	15272.6	5749.7	3956.26
14	2.85335e-05	3.11313e-05	13049.2	5781.35	4235.51
15	3.11313e-05	3.38352e-05	13049.2	5781.35	4235.51
16	3.38352e-05	3.66542e-05	10563.7	5067.24	4037.22
17	3.66542e-05	3.95985e-05	10563.7	5067.24	4037.22
18	3.95985e-05	4.26798e-05	8417.72	4193.13	3549.05
19	4.26798e-05	4.59115e-05	8417.72	4193.13	3549.05
20	4.59115e-05	4.9309e-05	6395.38	3285.53	2563.4
21	4.9309e-05	5.28902e-05	6395.38	3285.53	2563.4
22	5.28902e-05	5.66762e-05	4856.81	2546.84	1796.35
23	5.66762e-05	6.06917e-05	4856.81	2546.84	1796.35
24	6.06917e-05	6.49665e-05	3567.85	1963.79	1400.17
25	6.49665e-05	6.95364e-05	3567.85	1963.79	1400.17
26	6.95364e-05	7.4445e-05	2611.48	1584.33	1285.97
27	7.4445e-05	7.97467e-05	2611.48	1584.33	1285.97
28	7.97467e-05	8.55101e-05	1862.29	1316.22	1195.85
29	8.55101e-05	9.1823e-05	1862.29	1316.22	1195.85
30	9.1823e-05	9.88017e-05	1345.44	1130.16	1032.72
31	9.88017e-05	0.000106603	1345.44	1130.16	1032.72
32	0.000106603	0.000115448	1131.8	1043.02	954.249
33	0.000115448	0.000125658	1131.8	1043.02	954.249
34	0.000125658	0.000137735	1250.86	1214.98	1179.11
35	0.000137735	0.000152515	1250.86	1214.98	1179.11
36	0.000152515	0.00017157	2209.23	2318.57	2427.91
37	0.00017157	0.000198426	2209.23	2318.57	2427.91
38	0.000198426	0.000244338	165.634	156.712	168.381
39	0.000244338	inf	165.634	156.712	168.381
